"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9661590524535","20.1619433198381","23.5959153902261","21.9724924521972","21.8547341115435","21.4195402984363","24.8419722988295","24.8902241079819","24.4446509390647","22.8866788053061","22.8359748330604","22.3230008475629","21.4144525595569","21.2483204015552","24.8330340013432","26.4651444384815","25.1084551379907","26.1779453788038","26.1933092353851","24.8237206145142","23.2556245254405","23.4875843310001","23.0215595997143","23.0710479682749","22.902519428814","29.2830075164293","22.7802165741967","21.5911465992149","20.9419410491846","17.9115911171681","",
"Africa Eastern and Southern","AFE","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","12.4542592223609","12.6137545297297","12.8351596572125","12.793500537052","13.8898451818797","13.1781461313532","14.3464728030363","15.7627899978922","15.0244564826382","14.3341864250144","14.789663419123","15.1422214919484","17.2728825041321","17.0456989414005","17.7174841684943","16.3276559044779","16.6825183939524","16.5896686347418","16.6580582570602","16.6011082072451","15.5888851134441","15.8711280949365","15.222169674553","16.1063800010854","15.9365572406839","15.2335050242801","14.8400598438231","14.8981757022528","15.2060769859483","15.8299579882435","15.7372986009467","16.3157535330138","16.5189482198196","17.0382308207548","16.5073494401501","15.9844321206349","15.9485501587196","15.766855069193","15.3192211588011","15.4245689648657","15.9579082911315","15.3454533741339","15.4739827901911","15.0651535647196","14.8453529889399","14.8587598682672",
"Afghanistan","AFG","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.1092193573017","21.2623843883974","21.8454919236646","21.2145146604881","23.6261958140944","",
"Africa Western and Central","AFW","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.4017007468367","23.1132272313579","15.0796361852356","17.289937451519","16.5479425373284","16.7686575547829","18.2010283694854","20.6806178972155","18.0528160551517","19.6108702785925","19.2206005773457","23.2187693016577","19.2372167776511","17.5157411959452","14.555607382944","12.3308886198412","11.1252055982753","13.4813021731039","15.265867731588","14.9441364663494","17.364053926307","16.9187607132023","15.7752348204393","",
"Albania","ALB","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","9.3116515041052","8.84353390708875","8.89861279321276","9.09399523742266","9.75153050082957","9.63955140756505","9.61342983715576","9.99617333989332","9.80506206927652","9.13190329724955","19.1885468896252","22.8753325986112","21.4082882933696","14.6384098004022","14.6234019156112","10.0145358633844","9.59940257545617","10.5565146074516","10.9090460292713","11.147365193997","9.73155830514379","10.5939074940139","11.2361484858024","11.0505142453075","11.1885774385069","11.0832938282823","10.554951865021","10.3858870895021","10.7049766567384","11.5158448272289","11.6894266755022","11.8730326134018","11.7429129944326","11.7676839794264","12.2746384670784","11.6995817212428","12.1050326390236","11.851016747215","11.8666140811981","12.6759912713341","13.6673304618118","12.9573410290912","12.1443449725759","12.1218077852414","12.4199102780456","12.8457490142259",
"Andorra","AND","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","18.3339153767723","18.7246594589793","18.4671091854866","18.4376294717362","18.4206585867353","17.3975798289409","12.5114218550182","16.0666350469566","16.8435988498288","16.6999020045759","19.5373234696875","17.6949406845325","15.3151376260511","18.713054950426","22.3386135387584","24.3831236302331","23.6275921461863","23.3571245245818","25.7329894594736","24.8239969430307","24.165681963943","23.4758561532015","17.6774819032214","22.6459577273098","22.5455894896553","20.0465149555207","18.9035328415397","17.9338026437519","17.8898355254572","18.4337884000501","19.2419088390092","17.549639560717","16.9450943847554","17.85329860141","17.9011869601438","17.0085863567169","16.652887701917","15.4060787853653","14.7764333581456","14.4879973755007","13.3248732190301","16.4618837455577","15.4725147891003","16.0833694794277","15.9583446389789","17.1156380593528","18.4153803521559","20.1517605035632","18.9966210455645","18.3635193468564","17.9136226097801","18.2976945096206","20.485877585489","17.4694364541947","15.5021867397445","17.0210395729444","17.4704709298106","17.3340444555568",
"United Arab Emirates","ARE","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.91402435735447","10.1464964903165","9.75022428101858","8.74670463597211","7.87259315599401","6.91782233204942","6.73299747635001","7.29683561739809","10.2341429132706","9.4459931021159","9.4618383565027","9.27950176070323","10.4608846885988","10.3711009119775","11.6529388706552","11.7168915659623","12.6302337938855","12.1263449583366","12.6068493727808","14.8528224511216","14.3597240223926","12.4330650109139","12.2173865726797","","",
"Argentina","ARG","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","9.88044509523395","7.78963204832989","12.1923745358372","10.2521949603684","7.22902581011462","8.08948631250583","10.8043385563998","9.73927816603499","9.82935062849218","9.50117537009171","9.74254326207249","10.1462160701663","9.3516969606052","11.5393235681285","13.1532327349931","12.5891776401825","9.42009472768441","9.01540997692467","11.1661116654098","11.0078459559273","","","","","","","","4.7144944990421","4.32191028434568","4.49439596541391","3.13542839161188","3.32176128752774","2.97553802761558","13.5103784728742","13.1869043660659","13.3494556774505","12.5016776609201","12.0620142457633","12.4947749986829","13.7232114149469","13.7841913064131","14.1562743129569","12.235247296692","11.4380567929249","11.114636067696","12.1418612359575","12.4294153726307","12.9893238963619","13.6335132595631","15.903896746884","15.1637178886417","15.6889565165983","16.6454378106252","16.8062377968797","16.9498757371062","18.098379759087","17.6545781863509","17.6968939223042","15.8050971558947","16.4432415862976","16.8730073837365","15.9158179423023","15.7026090548718","16.3015627890885","14.9167656550539","14.9273063065132",
