country_code_3,country_name,year,gdp_per_capita_ppp,gdp_growth_annual_pct,general_government_final_consumption_expenditure_pct_gdp,inflation_gdp_deflator_annual_pct,unemployment_rate_pct,population_total,population_growth_annual_pct,urban_population_pct,urban_population_growth_annual_pct,life_expectancy_years,fertility_rate_births_per_woman,under_5_mortality_rate_per_1000,access_to_electricity_pct,co2_emissions_per_capita,mean_years_of_schooling_adults,internet_users_pct_population,trade_pct_gdp,agriculture_pct_gdp,industry_pct_gdp,services_pct_gdp
AGO,Angola,2014,-0.14455273376360092,-0.24374519734540218,0.5372616649034834,0.1924999591882914,1.2802665971452307,0.6086081129829113,1.2514262692808222,0.11495914838740029,1.1049149665658684,-1.332913789717597,1.9281152925241383,1.2065495648678253,1.5198865913892523,-0.7636203662007359,-1.3995462301479935,-0.8215521759734943,-0.22363391866176832,0.5507718735196163,1.381557874747673,-0.9670308868373296
ALB,Albania,2014,-0.028638994529576207,0.6115000787794562,-0.685721816418324,-0.27185865294942163,1.4179480220137488,-0.7213051738567219,-1.6774900398142973,-0.25443680263741253,-1.3565315465052041,0.7470374695096027,-0.8119139064097393,-0.5088863687881088,-0.911607098950596,-0.25106353577514917,0.4353310440231296,0.3116980619840291,-0.06816689243330867,1.0731844630623368,-0.15891169695988136,-1.0812278308667271
ARE,United Arab Emirates,2014,1.480541349989889,-0.5124213123372335,-1.1346381108571026,-0.8064849459383501,-1.3351656638868188,-0.09956777323326664,1.7622753963749371,1.1052237972579235,1.1953060801581685,1.2142686234708648,-1.0829640420620372,-0.7027976301610401,-0.911607098950596,2.1906229443844945,0.5862255095681297,1.5537519442901941,1.4964360037021696,-1.6510525658698563,1.7337896737152463,-0.539633684103279
ARG,Argentina,2014,0.629022089290915,-1.475752683993294,0.18939366699619747,4.412454158135054,0.17478239817420135,0.8767315530677436,-0.24803526196974243,1.4405543533617555,-0.5019862772572677,0.5393136467058205,-0.16443439449543412,-0.32574386245826853,-0.911607098950596,0.37318587249261115,0.7101111776094514,0.6695194865459116,-2.0565003988035606,0.03100620900253948,-0.11273977390058908,-0.14939005846480638
ARM,Armenia,2014,-0.07596144117946221,0.6261968091448346,-0.7272651465317872,-0.10996634536726071,1.3737759525933921,-0.6729275923428307,-0.9716536070007216,0.1931409234543386,-1.1019029799954647,0.3747825463262851,-0.8348568403306814,-0.11810271030327892,-0.7609408242759504,-0.31614423692986965,0.8823589125408892,0.32280451866334153,-0.04740579794923953,1.0090915656896047,-0.013398829820946428,-0.65028894160194
AUS,Australia,2014,1.2252298793834653,-0.16957138548705789,0.45865786438018474,-0.2769958824101296,-0.056599764883008934,0.5236172001071869,0.007237127954983852,1.2244141304331435,-0.2634699633065759,1.2508355655885102,-0.6997921463119067,-1.254378659868614,-0.911607098950596,1.7094881592782314,1.0942395495421653,1.3335537275111127,-1.246520481421065,-0.9103202936456058,0.015806344589559446,1.0005785578488824
AUT,Austria,2014,1.3064052762450198,-0.48528757337566386,0.6657782646669896,-0.1651804410808328,-0.14410737495722006,-0.06537464001197421,-0.38693579805558015,0.33188116949677504,-0.5842358367451865,1.1553184547855333,-1.1105220140448533,-1.2934284619823373,-0.911607098950596,0.8884031983471513,1.0454613435824556,1.2301923400066295,0.6177901870802239,-1.287696697218553,0.03666253534199356,0.6572179203368022
AZE,Azerbaijan,2014,0.3570315974951062,-0.044437463808803264,-1.0062240129939561,-0.9436694752488846,-0.325122321273547,-0.0015636912583752056,-0.1278636839483924,-0.2590904053016444,-0.07625028579876728,0.02761237281439068,-0.5526183843527008,0.47853866123123534,-0.911607098950596,0.18805175585984704,0.6064574899450683,1.0239010414395469,-0.2265105229577213,-0.18424330311907305,1.8718486691841492,-1.8488332433776806
BEL,Belgium,2014,1.2489397662813486,-0.10346053969054361,1.1627184883768658,-0.3930663623602303,0.38519445487521875,0.09271635796359852,-0.5743625399142815,1.1903295661628812,-0.6879076457244491,1.1314391770847945,-0.7913080783707974,-1.2354357178018331,-0.911607098950596,1.0316561736728669,0.932661742300627,1.3680022342332379,1.4840877084246855,-1.5922724668054624,-0.6378201510505357,1.332049524623227
BEN,Benin,2014,-1.3485032529618775,0.4496578670638258,-1.1837439818967457,-0.6422896534170147,-1.3586848492334809,0.08333005476857178,0.8196780701381772,-0.6910497174472311,0.9668336615421893,-1.496639324102407,1.7087948792314729,1.605544019231022,1.5021375144012699,-1.11669623023437,-1.8195875562185437,-1.3501075476245756,-0.35560009046737,1.3692550060726472,-1.0736723064195675,-0.45858281759771
