iso3,feature,available_from,available_to,missing_years,status
ZAF,secondary_school_enrollment_pct,2010,2023,"2013;2024",partial
ZMB,secondary_school_enrollment_pct,2024,2024,"2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023",partial
ZWE,secondary_school_enrollment_pct,2012,2013,"2010;2011;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
BWA,internet_users_pct_population,2010,2024,"2023",partial
CAF,internet_users_pct_population,2010,2024,"2020;2021",partial
COD,internet_users_pct_population,2010,2024,"2017",partial
COM,internet_users_pct_population,2010,2024,"2018",partial
ERI,internet_users_pct_population,2010,2020,"2021;2022;2023;2024",partial
FSM,internet_users_pct_population,2010,2024,"2021",partial
LIE,internet_users_pct_population,2010,2024,"2018",partial
MCO,internet_users_pct_population,2010,2024,"2018",partial
MMR,internet_users_pct_population,2010,2020,"2021;2022;2023;2024",partial
NRU,internet_users_pct_population,2011,2024,"2010;2012;2013;2014;2015;2016;2018",partial
PAK,internet_users_pct_population,2010,2024,"2021;2022;2023",partial
PLW,internet_users_pct_population,2022,2024,"2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021",partial
PRK,internet_users_pct_population,,,,unavailable
PSE,internet_users_pct_population,2010,2023,"2021;2024",partial
SDN,internet_users_pct_population,2015,2017,"2010;2011;2012;2013;2014;2018;2019;2020;2021;2022;2023;2024",partial
SMR,internet_users_pct_population,2011,2024,"2010;2012;2013;2014;2015;2018",partial
SOM,internet_users_pct_population,2011,2024,"2010;2017;2018",partial
SSD,internet_users_pct_population,2012,2019,"2010;2011;2020;2021;2022;2023;2024",partial
SUR,internet_users_pct_population,2010,2023,"2020;2021;2022;2024",partial
SYR,internet_users_pct_population,2010,2018,"2019;2020;2021;2022;2023;2024",partial
TKM,internet_users_pct_population,2010,2016,"2017;2018;2019;2020;2021;2022;2023;2024",partial
TLS,internet_users_pct_population,2010,2021,"2022;2023;2024",partial
TUN,internet_users_pct_population,2010,2024,"2022;2023",partial
TUV,internet_users_pct_population,2010,2017,"2018;2019;2020;2021;2022;2023;2024",partial
VEN,internet_users_pct_population,2010,2024,"2017;2018",partial
VUT,internet_users_pct_population,2010,2015,"2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
WSM,internet_users_pct_population,2010,2014,"2015;2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
YEM,internet_users_pct_population,2010,2019,"2017;2018;2020;2021;2022;2023;2024",partial
AFG,trade_pct_gdp,2020,2024,"2010;2011;2012;2013;2014;2015;2016;2017;2018;2019",partial
AND,trade_pct_gdp,,,,unavailable
ARE,trade_pct_gdp,2010,2023,"2024",partial
ATG,trade_pct_gdp,2014,2022,"2010;2011;2012;2013;2023;2024",partial
BDI,trade_pct_gdp,,,,unavailable
BRB,trade_pct_gdp,,,,unavailable
DJI,trade_pct_gdp,2013,2024,"2010;2011;2012",partial
ERI,trade_pct_gdp,2010,2011,"2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
ETH,trade_pct_gdp,2011,2024,"2010",partial
GRD,trade_pct_gdp,,,,unavailable
GUY,trade_pct_gdp,,,,unavailable
JAM,trade_pct_gdp,,,,unavailable
JOR,trade_pct_gdp,,,,unavailable
KNA,trade_pct_gdp,,,,unavailable
LAO,trade_pct_gdp,2010,2016,"2017;2018;2019;2020;2021;2022;2023;2024",partial
LBR,trade_pct_gdp,,,,unavailable
LCA,trade_pct_gdp,,,,unavailable
LIE,trade_pct_gdp,,,,unavailable
LKA,trade_pct_gdp,2015,2024,"2010;2011;2012;2013;2014",partial
MCO,trade_pct_gdp,,,,unavailable
MDV,trade_pct_gdp,2014,2024,"2010;2011;2012;2013",partial
MMR,trade_pct_gdp,,,,unavailable
MWI,trade_pct_gdp,2017,2024,"2010;2011;2012;2013;2014;2015;2016",partial
NGA,trade_pct_gdp,,,,unavailable
PNG,trade_pct_gdp,,,,unavailable
PRK,trade_pct_gdp,,,,unavailable
QAT,trade_pct_gdp,2010,2022,"2023;2024",partial
SMR,trade_pct_gdp,2015,2023,"2010;2011;2012;2013;2014;2024",partial
SOM,trade_pct_gdp,2012,2024,"2010;2011",partial
SSD,trade_pct_gdp,2010,2015,"2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
SUR,trade_pct_gdp,2010,2010,"2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
SWZ,trade_pct_gdp,2013,2024,"2010;2011;2012",partial
SYR,trade_pct_gdp,2010,2022,"2023;2024",partial
TGO,trade_pct_gdp,2010,2023,"2024",partial
TTO,trade_pct_gdp,,,,unavailable
TUV,trade_pct_gdp,,,,unavailable
VCT,trade_pct_gdp,,,,unavailable
YEM,trade_pct_gdp,2010,2018,"2019;2020;2021;2022;2023;2024",partial
ARM,agriculture_pct_gdp,2012,2024,"2010;2011",partial
CAN,agriculture_pct_gdp,2010,2022,"2023;2024",partial
DJI,agriculture_pct_gdp,2013,2024,"2010;2011;2012",partial
ERI,agriculture_pct_gdp,,,,unavailable
LIE,agriculture_pct_gdp,2016,2023,"2010;2011;2012;2013;2014;2015;2024",partial
MCO,agriculture_pct_gdp,,,,unavailable
NRU,agriculture_pct_gdp,,,,unavailable
NZL,agriculture_pct_gdp,2010,2023,"2024",partial
PRK,agriculture_pct_gdp,,,,unavailable
SMR,agriculture_pct_gdp,2015,2023,"2010;2011;2012;2013;2014;2024",partial
SOM,agriculture_pct_gdp,,,,unavailable
SSD,agriculture_pct_gdp,2010,2015,"2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
SYR,agriculture_pct_gdp,2010,2022,"2023;2024",partial
TUV,agriculture_pct_gdp,2010,2015,"2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
USA,agriculture_pct_gdp,2010,2021,"2022;2023;2024",partial
VEN,agriculture_pct_gdp,2010,2011,"2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
YEM,agriculture_pct_gdp,2010,2018,"2019;2020;2021;2022;2023;2024",partial
ARM,industry_pct_gdp,2012,2024,"2010;2011",partial
CAN,industry_pct_gdp,2010,2022,"2023;2024",partial
DJI,industry_pct_gdp,2013,2024,"2010;2011;2012",partial
ERI,industry_pct_gdp,,,,unavailable
LIE,industry_pct_gdp,2013,2023,"2010;2011;2012;2024",partial
NRU,industry_pct_gdp,,,,unavailable
NZL,industry_pct_gdp,2010,2023,"2024",partial
PRK,industry_pct_gdp,,,,unavailable
SMR,industry_pct_gdp,2015,2023,"2010;2011;2012;2013;2014;2024",partial
SOM,industry_pct_gdp,,,,unavailable
SSD,industry_pct_gdp,2010,2015,"2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
SYR,industry_pct_gdp,2010,2022,"2023;2024",partial
TUV,industry_pct_gdp,2010,2015,"2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
USA,industry_pct_gdp,2010,2021,"2022;2023;2024",partial
VEN,industry_pct_gdp,2010,2011,"2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
YEM,industry_pct_gdp,2010,2018,"2019;2020;2021;2022;2023;2024",partial
ARM,services_pct_gdp,2012,2024,"2010;2011",partial
CAN,services_pct_gdp,2010,2022,"2023;2024",partial
DJI,services_pct_gdp,2013,2024,"2010;2011;2012",partial
ERI,services_pct_gdp,,,,unavailable
LIE,services_pct_gdp,2016,2023,"2010;2011;2012;2013;2014;2015;2024",partial
NRU,services_pct_gdp,,,,unavailable
NZL,services_pct_gdp,2010,2023,"2024",partial
PRK,services_pct_gdp,,,,unavailable
SMR,services_pct_gdp,2015,2023,"2010;2011;2012;2013;2014;2024",partial
SOM,services_pct_gdp,,,,unavailable
SSD,services_pct_gdp,2010,2015,"2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
SYR,services_pct_gdp,2010,2022,"2023;2024",partial
TUV,services_pct_gdp,,,,unavailable
USA,services_pct_gdp,2010,2021,"2022;2023;2024",partial
VEN,services_pct_gdp,2010,2011,"2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
YEM,services_pct_gdp,2010,2018,"2019;2020;2021;2022;2023;2024",partial
