"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.0363790186125","80.9753036437247","79.5882567469001","79.4659510231466","80.8553826199741","79.0896322626048","79.3222468949744","79.3752598456588","77.40907252334","76.456580991723","75.541061032835","73.7471756386862","72.0518850702006","73.1525399615721","75.7664029190885","78.5445335192497","77.4233295663828","79.5391289840283","80.1808370111718","80.2286442466312","79.1390682899908","78.7310715745525","78.9879081107466","79.7290794451106","77.9252090208447","77.2439934560581","78.4712339495121","79.0196575319383","76.27980785132","","",
"Africa Eastern and Southern","AFE","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","39.4633626195449","41.8711520090949","42.4125241181285","38.0117614052937","39.867974779975","44.1513528621867","43.2872962562507","43.7577319602241","45.4432875218931","47.1963262005713","50.6060121943779","51.4873109568508","54.1628468212522","54.5245934461763","53.2417264784603","53.1718918371605","53.8501058129483","55.0070810943433","55.0506187010843","53.6688266721125","51.2459634299608","54.120096555498","54.0537869958723","52.8647005877964","52.1312551176027","49.7723904870173","48.2721105766744","53.3922781866708","55.132859255432","54.4417351384343","53.7338463903116","53.8726568715199","53.7550065513887","54.5230550162298","54.0308774483521","54.0275027524522","53.9730229688753","53.2449584883372","52.3858789489294","51.408496678233","50.053776473184","50.0141168378593","51.0561445214273","50.5339162017231",
"Afghanistan","AFG","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.1511545995992","37.4448038407261","41.1108953364243","39.0077871841904","39.8310243252872","40.294685221301","45.4098308716488","45.2444349261482","48.8793769096891","49.6968203962567","50.5793979236606","52.6827434733525","52.9908650351499","53.2352934986503","59.0232164144095","58.3290500097748","59.4774229106653","55.4728067408306","52.5721090890613","47.160422387969","45.0499087998591","46.3743698691993","45.1614722268607","",
"Africa Western and Central","AFW","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","46.4290788874514","47.8489195579791","44.845693256455","42.0619155993503","38.6743151570508","45.9105618244749","44.3603535906162","43.39005939749","42.7484953244785","43.3088061719803","42.8239317234457","43.3028585038301","44.1392334412193","43.3881819535166","39.6658661284798","37.0869175689587","37.534688698738","42.1825338421172","41.4607492407676","41.1469299151973","42.7545979561692","39.1215397823692","39.4634356250408","41.5741920895953","41.5659210294331","44.9688627418141","46.3239865813593","45.0941458531387","47.1713461337811","46.7779457692667","45.2639509671084","46.3092167352803","47.5772963186768","48.9988394990564","53.3098397867684","54.1623881188254","51.3381672431458","48.9944751062138","50.4931178493136","50.2520065920874","49.0304471345562","48.399184766805","48.4916751081006","47.9109165001726","49.6545819833255",
"Angola","AGO","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.8662138843585","40.67328377417","39.5769219502253","35.3991288225964","36.9867318113165","33.8874052551591","34.0512438732676","46.4498079531523","40.2372398198261","37.6975621074608","38.0294790823922","40.3587407582939","43.9177454496788","47.8808485052352","45.8633066698305","45.7963043301289","42.8506625299305","43.2679607784459","45.3907678638756","43.0765796492149","44.4812270107558","43.5544158271394","44.6075572777557","46.8292323477206",
"Albania","ALB","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.4328782613505","39.4663599187019","41.4134800460265","42.9661858111346","45.4551517846673","42.1159390377732","42.1990520460137","40.8693014913812","39.0975551528255","39.5598988272926","40.3981318981217","40.1991972841068","40.5451705003217","41.0750286540131","42.0040238601938","41.3131845921318","42.2390195525462","43.5059236088597","42.6287844572944","42.6575638095964","42.8778647519282","43.4481768975831","44.5621307131911","44.3970282534603","45.4534114346696","45.7213497398907","45.278770333241","46.2991272417493","47.6649908239316","48.6899937474805","49.716107038347",
"Andorra","AND","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.5609990393852","75.1939329781511","74.7463595290032","74.9370367361373","74.7942373593759","74.4198860237398","74.1242699981489","74.5592619910865","75.3640750593347","76.035601397438","76.991211654261","77.375135201479","76.8249491306888","78.021575852346","78.2437091148297","78.6674143272447","78.1008536948862","77.8688586318041","77.6557919031876","77.5555098246535","79.8154154929299","79.3818503932806","78.1921372079332","78.3110227448023","77.5805312008222","77.7911393517321",
"Arab World","ARB","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","30.1086888088009","31.5279135174294","33.7399805807734","36.0299299370014","32.7166209398882","29.9027148551739","33.9851241226887","41.3119493165126","45.2649339618316","45.8343073376327","45.3907266470339","48.1920136637813","46.2242114624705","47.1642184875856","47.184342959681","38.4058964769193","45.5964415445475","43.038047789635","45.1811615890445","44.6085500678529","44.9441762752281","43.3225933956334","44.0061269906454","47.3293606267382","44.5471891410656","40.2950517789183","43.7429261143462","44.8329130059289","43.590028605478","42.3435948102458","39.0733424383982","38.1789885596535","39.3014895294277","37.1556773559795","45.3369484089839","43.7465701762052","40.7201494980785","41.2891046613373","43.2433960246545","45.8234617734871","53.5559426237779","55.3373420771401","53.2658265753963","49.5380897884625","51.3428326448557","55.9898851107189","49.1769989350474","44.198741477673","47.8287913839954","49.0239194103774","49.9912022519804",
"United Arab Emirates","ARE","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","33.9082194609428","39.6879156187708","44.1966611814848","41.8202873391016","36.5729744271259","35.2343727699663","42.9333112370462","50.7166753705292","54.7054439534025","51.3953045539527","51.8887297332591","63.1474384794566","60.0989927681513","61.1636495607528","59.7954813165052","53.7374812072418","56.6836793615884","58.3654416475785","64.0752625316218","51.6440137649114","52.2627973312214","51.5999586293633","51.8168423460506","57.7638710194886","54.9779527125226","47.3877779674041","50.7748778790004","53.208762397967","51.8972166065256","49.5272281189755","46.2940208184641","44.0204518548963","47.8324636502354","45.0863075463021","52.2306158967865","49.0084240426132","43.5988661537274","44.0158340074629","46.379278260974","48.6341423067556","57.1249813061687","59.3841849383177","57.8340556265115","53.5503234370583","55.7984475821678","58.7154277120232","53.7285079833623","49.9258054331506","53.8352243799769","54.9012850392245","",
"Argentina","ARG","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","38.6813582857261","40.1170927423721","42.6362011624409","43.2426585257493","43.4271542070252","48.0836525009197","43.1787867210794","43.4334758186795","44.6950283481664","46.176359627142","43.2747682872493","40.9540839979597","44.1066558208208","46.3979525030898","48.1755980563708","52.4268325075777","53.1862535979657","49.3009953094612","49.7853685268061","51.9458352298589","53.0895381715363","54.8191624683246","54.0769662656489","52.5355207001495","48.0360922412516","55.8544476443929","60.5611985052019","63.3252164422299","61.056897614085","61.5907929226228","62.263779670525","61.3509955456509","60.8492831021072","61.5396856144834","63.4877305192171","63.469313441501","65.0812573281962","54.7764456459146","51.0316942508769","47.8369882937827","48.4861459282405","48.7491333682456","49.5083307772744","50.2551922042782","53.3060010032753","51.4951802052167","51.8119007511102","53.6581179163924","53.9190936666216","52.9405434663365","55.8149012843362","56.1222358547004","57.3499373815692","56.3697502721818","55.4388171093669","54.8578674557962","52.8340319497207","53.5341356683759","53.1990739500308","53.6514046050424","56.1530253074106",
"Armenia","ARM","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.6989324054448","45.749756861728","47.4130437470384","48.2126693907876","49.9105094267778","50.7652583569469","52.6163051198371","53.9731853016919","53.2412027973394","53.0783701392799","55.6162023383919","60.3450320849135","61.9893697453885","61.3382272018929",
"American Samoa","ASM","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","74.1673436230707","74.8643304867275","74.488864857558","73.113919803143","72.7308788893021","75.202492211838","76.2110830628681","76.4564208174805","75.628382441371","72.3880411241941","72.0300254126893","72.0365152101695","71.9358487188459","73.1172729664072","73.0390464930125","74.1053418532154","75.2483156440493","75.4686796388027","74.9329662005363","75.1417913703591","75.4657226138965","75.8449280867367","75.6818574715089","77.4218875246125","77.5399896202094","77.0022888013692","76.712879950935","76.071148898087","75.4202660173805","71.5729334757608","71.1680731486854","70.9330112254288","71.4897424938562","73.6585518921479","75.0560291380288","74.9984395226839","74.1365917448112","73.9444622042654","73.0844247026056","71.1511637447693","70.2893986887414","67.9048534037132","68.4305821629078","67.8301000676913","68.4398507538595","68.2470419069006","68.7982099003617","69.9504486682116","68.6622958817575",
"Australia","AUS","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.5198906329814","61.2653705030609","61.9052786788558","62.5748570298169","62.5576199586549","62.4354861769758","62.4898308188008","63.4679920291714","63.6315274975307","64.3645943199495","64.4043847717005","64.2239165646111","64.0243636867564","64.3356156550363","64.3168864121386","64.4367967376177","63.8069766675422","64.3888123066094","64.5204265131048","64.0980944516659","65.7221133234751","64.6277803155417","65.156327929036","66.2010159886715","65.630632060795","67.1766453865526","68.1551944466641","66.9319819368015","66.5920108343803","66.0475607167608","66.2547020974296","65.7262019595193","63.3627768729711","63.6365823532904","66.1399054113301","67.4930017197471",
"Austria","AUT","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","48.9851687156932","49.9359095684725","49.9283321092541","51.0981920225424","51.0101263251924","51.6238929409722","52.878233524076","53.4458924087911","53.6595798616555","54.0256594922766","54.4705713659572","55.0419474436907","55.1958381901928","55.5287805383226","55.5729516173706","55.9352223994154","56.8566006010626","57.929507323704","57.7216291795385","58.4507297015153","58.2611483509957","58.1272796510889","58.4481246778572","58.3158834130484","58.894981312158","59.1867003943807","59.9083022318199","60.1110513234663","59.9626359213759","60.1404134231844","60.2518374028565","59.9241173078912","60.4339457519","61.5565047607551","61.6368683831245","61.6607142402264","61.3539590600962","61.5862394505333","61.8415922139115","62.1631640037401","61.764351964317","61.8559536613009","62.2430323743685","62.5614077818279","62.8123620241372","62.30330605534","62.4358937094137","62.579986897047","63.9706809373681","64.050393646334",
"Azerbaijan","AZE","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.7544338335607","34.2440119760479","28.8230534636211","35.9009554140127","38.0427808913798","37.9417002530696","30.8497401741931","35.816736852104","43.3412776841249","39.045323302694","35.7855916576588","34.4796448190232","32.4552577319588","31.9247183936193","31.7987854915477","25.0852465561988","23.5098313258154","21.755963399799","23.6588501440061","31.3211521986433","28.216178028965","27.7128374486387","29.522301196302","31.4925578357568","34.1869146526","40.6504229496138","39.322666701972","38.1231713246647","35.2831743494981","36.972533524144","42.3542363329985","37.7011733502712","32.0714593346256","39.7566280403221","42.5024619796055","45.2948239267511",
