country_code_3,country_name,RMSE_Mean,RMSE_Std,Similarity_Mean,Similarity_Std
AGO,Angola,0.30381561779298416,0.18106711211016574,0.9507259663303552,0.04648625103840892
ALB,Albania,0.22356318036003023,0.12155693004342367,0.9623282160524352,0.03769369876340719
ARE,United Arab Emirates,0.46251824813815673,0.23745906950497828,0.9171956903366631,0.07435175864453808
ARG,Argentina,1.4109231938031959,0.7407923500206728,0.840820905020168,0.03804729300410981
ARM,Armenia,0.3723627403949912,0.1259225340242647,0.8563524425234067,0.08295067567545969
AUS,Australia,0.19771649964048116,0.05462920413259538,0.9804265422943063,0.00972167914307395
AUT,Austria,0.1914313707083847,0.03118668496694117,0.9776631575523925,0.007157646553554349
AZE,Azerbaijan,0.5689325242965322,0.2716987600227615,0.767253370379348,0.17338524653894588
BEL,Belgium,0.14540579242716817,0.028882553457735372,0.990984923453006,0.003259669116109914
BEN,Benin,0.16702502172411207,0.042768820882901695,0.9873902251867318,0.005962473331731837
BFA,Burkina Faso,0.1695659246398904,0.03034902243640009,0.9869383551099808,0.0043345594237001695
BGD,Bangladesh,0.1553995432307751,0.011464314322628316,0.9874557291312456,0.0020327019559738383
BGR,Bulgaria,0.20887616284584296,0.07808432608621478,0.9615397999603782,0.022797562845507588
BHR,Bahrain,0.43498339768761185,0.12648630527929694,0.9331245108134693,0.04159869443206865
BHS,Bahamas,0.39996750395018127,0.332582583380871,0.9243948358280997,0.08909290605523171
BIH,Bosnia and Herzegovina,0.1946884515942198,0.10523325232974153,0.9665514276369978,0.028025923094323675
BLR,Belarus,0.2095123061834403,0.10148832212281186,0.9710818786309845,0.028816832544123448
BLZ,Belize,0.3375256984723398,0.24983321537026357,0.8764589009914955,0.12855055607042756
BOL,Bolivia,0.3030750756838537,0.11893060625116358,0.803665727858272,0.12554016273434193
BRA,Brazil,0.16621251099810602,0.07045980380217691,0.9772481320265559,0.018637457348804766
BRN,Brunei,0.5914926958625577,0.2398760251625725,0.8835750234956379,0.07600898210869397
BTN,Bhutan,0.1975044354906634,0.03381242949111348,0.962616455627162,0.01137390188872336
BWA,Botswana,0.3146815719088789,0.13676213848391935,0.917788294814622,0.06166540825285434
CAF,Central African Republic,0.6551266256492144,0.32606689533142813,0.9277819939130383,0.058323175551280616
CAN,Canada,0.24465388333505433,0.037108748745538045,0.9691719710388685,0.009770978912508499
CHE,Switzerland,0.17193553261861627,0.03000323246803198,0.9868539787001344,0.004955585812738756
CHL,Chile,0.22910841161667825,0.14686040619456722,0.9502623029200357,0.06048370164330213
CHN,China,0.21883571988385303,0.05021443275211722,0.9767547179562155,0.011561032799083278
CIV,Cote d'Ivoire,0.14230394883695452,0.02745024718968379,0.9861604964105583,0.004902347652076894
CMR,Cameroon,0.11574324179775858,0.020519360771589577,0.9901736159981,0.003929589084735712
COD,Democratic Republic of the Congo,0.2742274484780475,0.15499514826260957,0.9674704279186707,0.03132039040977177
COG,Congo,0.47395948472935656,0.27884258906522397,0.8133051650912859,0.19684665100542453
COL,Colombia,0.28461085321211027,0.15158571958402722,0.8893954171704269,0.08904297448799643
COM,Comoros,0.1267695907228129,0.03621791425733457,0.9927737581481855,0.0042523392770696345
CPV,Cabo Verde,0.3585165326719999,0.24063004069718585,0.9079402749889937,0.10463506164618258
CRI,Costa Rica,0.211638928014232,0.08550863006604843,0.9546443120482371,0.029146733070782672
CYP,Cyprus,0.20983192902980377,0.14396445896596594,0.9776518656974358,0.02498332549162
CZE,Czechia,0.3367932901557421,0.14572429756153632,0.9342425499104754,0.0531020238342064
DEU,Germany,0.14686149710404864,0.04017414338475995,0.9895906166313406,0.005177425417376922
DJI,Djibouti,0.1582369229071025,0.015619207450494948,0.9909468727231908,0.001675211486811591
DNK,Denmark,0.21754832966726478,0.06483191474098968,0.9755451638474325,0.01177165136437676
DOM,Dominican Republic,0.23872233482146477,0.1918236401182972,0.9002471672082841,0.11925849220491797
DZA,Algeria,0.28131968055609924,0.14582832573060742,0.8934758727599824,0.09167235167962187
ECU,Ecuador,0.2598314273627115,0.0905345140177409,0.8501854403454829,0.08842884706165145
EGY,Egypt,0.2849260307789878,0.17300377725003527,0.9420538795290778,0.04674627093048882
ESP,Spain,0.18687895481939393,0.07862676562077722,0.9791524278292242,0.013942390746926521
EST,Estonia,0.3363389761838679,0.10074060937469317,0.9402802072401913,0.03304376382516667
ETH,Ethiopia,0.4046856515408935,0.09706137634153181,0.9620005763911749,0.018369857276665787
FIN,Finland,0.15019588515241766,0.032614160451796805,0.9869931331451406,0.005649182364182465
FJI,Fiji,0.4477069560897327,0.24885598580800578,0.8000358382771063,0.1526760834794948
FRA,France,0.1352542841047932,0.07215686961713833,0.9884618712251564,0.012606808822200471
GAB,Gabon,0.47348540426438657,0.22589983844454664,0.846509960948941,0.12587584576685762
GBR,United Kingdom,0.20273755168045698,0.08899824559614646,0.9790174761391516,0.0157600078265832
GEO,Georgia,0.38401452770307154,0.08428729901824153,0.8516061710326736,0.06752040295834129
GHA,Ghana,0.33844421610910636,0.19609542138391176,0.9389318885461658,0.0518295732333874
GIN,Guinea,0.15593489680013042,0.048929456344512665,0.9881919706544843,0.006165738504931454
GMB,Gambia,0.1623368356729315,0.04709732926507841,0.9831019160882193,0.009637413085702498
GNB,Guinea-Bissau,0.15170175979570413,0.0049539428115075975,0.9905586003281288,0.0005999495775194343
GNQ,Equatorial Guinea,0.4629569245073849,0.1964002068484134,0.8566627496972067,0.10020384881631902
GRC,Greece,0.23095935408522805,0.1353554926630094,0.967552619231193,0.030804055556545713
GTM,Guatemala,0.20941668638412278,0.08130791202103947,0.9204607162462701,0.06298303267992826
HND,Honduras,0.20855884960772422,0.11793981640174636,0.851011918142862,0.11093894689263359
HRV,Croatia,0.31285002210764895,0.1714889935459802,0.9240429802208912,0.06303821585829883
HTI,Haiti,0.45204657473662024,0.0640764065554962,0.9242208964647258,0.014275315558934423
HUN,Hungary,0.22284821357028917,0.05994617986983392,0.967612605988034,0.015242099553845385
IDN,Indonesia,0.1736784528826146,0.036124782901622465,0.9777395499519012,0.008061116039553898
IND,India,0.20535438853800692,0.09161063815918116,0.9710970148480813,0.022866839847220276
IRL,Ireland,0.37196736613461195,0.18116691184084727,0.9360621626545107,0.05353516071009541
IRN,Iran,0.40190310973074694,0.1671598286246121,0.9431211389819221,0.026101165220754695
IRQ,Iraq,0.782957257235418,0.31345839163789874,0.6295675537199795,0.2950350196179932
ISL,Iceland,0.2771702038784544,0.11283151987588134,0.9658410040117131,0.026028993114686073
ISR,Israel,0.2586588213990389,0.0608432676213669,0.9650713844646175,0.01849691905678537
ITA,Italy,0.194524335392132,0.11050434385596612,0.9743513070861778,0.026248355527815414
JPN,Japan,0.12109284398680914,0.018577925935147056,0.9947630303181105,0.0014796967225192078
KAZ,Kazakhstan,0.20218166960532427,0.05352661929763351,0.9629512051978015,0.017188423332797294
KEN,Kenya,0.15331992687639437,0.04744513694223686,0.9817174986332582,0.010444800337253311
KGZ,Kyrgyzstan,0.31424913339306404,0.04454804737548755,0.8968413639800725,0.04951081679411571
KHM,Cambodia,0.18734004674501697,0.06367427086094735,0.984396284716908,0.01091168403821605
KOR,South Korea,0.11169764239221633,0.014785200793009129,0.9948922207681616,0.0016298084297435727
KWT,Kuwait,0.8204942761214225,0.2217859055628971,0.7968946136569827,0.12129544721105089
LBN,Lebanon,1.6115467313940695,0.9232285907231338,0.8374988593129675,0.11695436106083014
LBY,Libya,1.1187357563676577,0.9285610734596239,0.6780714005598734,0.418470588473002
LKA,Sri Lanka,0.4454270572758802,0.41202835982049146,0.8620985984245721,0.18180257363599545
LSO,Lesotho,0.1734648912800843,0.029706494748545205,0.9846630239003672,0.004646045628481494
LTU,Lithuania,0.23598199391797686,0.08790974152315757,0.9609263619695266,0.021783161362940583
LUX,Luxembourg,0.227881846698901,0.035592377446051586,0.9895335013161506,0.0030635264860519097
LVA,Latvia,0.22632217577073893,0.04416736715804039,0.9711905143680063,0.011969001346014354
MAR,Morocco,0.1535508362739773,0.06953831376226104,0.9573117321617775,0.028248228025814365
MDA,Moldova,0.3719863452867811,0.18405076375553384,0.9260644431967004,0.056627809859305614
MDG,Madagascar,0.14813087971996328,0.025314974944688477,0.9886785514491482,0.003868168713718585
MDV,Maldives,0.6334768106756407,0.6286488118032669,0.8367802019058905,0.202167751735507
MEX,Mexico,0.13738348915054857,0.014077220606573567,0.9786241037290462,0.0039788797101633095
MKD,North Macedonia,0.13420240334680175,0.039247313247049734,0.9856527048746737,0.007430748967577704
MLI,Mali,0.11773903484549894,0.0255173187967905,0.9952371462102367,0.002084314546345864
MLT,Malta,0.39063154989908977,0.14778764936701316,0.9552739012640071,0.029889276263798586
MNE,Montenegro,0.3574031975283797,0.2108386025789611,0.9215697771401578,0.07329480618516376
MNG,Mongolia,0.2844178336714921,0.05642135283475352,0.9270318236060244,0.030289223300851834
MOZ,Mozambique,0.19305728089989493,0.03655018040278544,0.9841141938415191,0.005249897752456561
MRT,Mauritania,0.195943957176208,0.050657911183707674,0.9690303062737433,0.014816701695415437
MUS,Mauritius,0.1917357467355251,0.08185246883840999,0.9737423150258019,0.021516794325018778
MWI,Malawi,0.327658116376481,0.14131795079826112,0.9555115499852231,0.029909030380722738
MYS,Malaysia,0.2029983074021725,0.08188282104541536,0.9648498257446714,0.022744791329946393
NAM,Namibia,0.16475880758376896,0.07536685197732697,0.9721445806822528,0.017834190036149042
NER,Niger,0.24306766005308686,0.0728081148961128,0.9870136877627288,0.008167261487081892
NIC,Nicaragua,0.19951651554526878,0.09192188859214977,0.9093658657910866,0.0729745305930208
NLD,Netherlands,0.15826451171171005,0.03860911455457269,0.9890430171521483,0.00491644548871584
NOR,Norway,0.5536189496313754,0.22304424793730096,0.8648980256559398,0.08581362549053892
NPL,Nepal,0.18358824678554575,0.04314013942743223,0.9804436670401167,0.007047586764264004
NZL,New Zealand,0.25310983800610243,0.13784003107677162,0.9534430138718508,0.04613533445817423
OMN,Oman,0.536434431361455,0.2801921763101054,0.8615143848838149,0.14283164932050404
PAK,Pakistan,0.23522196533320627,0.13809649365649132,0.9677445506154196,0.03540430657640102
PAN,Panama,0.3289180803490959,0.22517733398955622,0.842544702070099,0.15660863154446444
PER,Peru,0.2574360131368038,0.2228132128319304,0.8663246555166891,0.18579740931397248
PHL,Philippines,0.18664764982908422,0.031681999764765253,0.9498314158102306,0.018261633335970244
POL,Poland,0.19296964513183026,0.04612445287536334,0.9795216336991239,0.007267056263257727
PRT,Portugal,0.190617322250701,0.06908709579516352,0.9680040510636607,0.019900605257596366
PRY,Paraguay,0.1656290309734672,0.06332588440995018,0.9380437903151126,0.04015749784678369
PSE,Palestine,0.5527989673439146,0.4846656400773243,0.8285227431251925,0.1836491303081545
QAT,Qatar,1.981865722518154,0.9084201738710012,0.4306172321552244,0.3360389489237301
ROU,Romania,0.18449082424922184,0.008944507970187384,0.9693289747257887,0.004208404942627884
RUS,Russia,0.24579270664295325,0.09310370176170658,0.9644219054332043,0.031132339907044577
RWA,Rwanda,0.32399518198036553,0.11409037530142523,0.950492459230799,0.02264874140633183
SAU,Saudi Arabia,0.7260581579342789,0.6070367980489122,0.7120780676361769,0.33030301576566523
SEN,Senegal,0.17311276730744318,0.0576863390895278,0.971928210509367,0.018569049682518976
