country_code_3,country_name,gdp_per_capita_ppp,gdp_growth_annual_pct,general_government_final_consumption_expenditure_pct_gdp,inflation_gdp_deflator_annual_pct,unemployment_rate_pct,population_total,population_growth_annual_pct,urban_population_pct,urban_population_growth_annual_pct,life_expectancy_years,fertility_rate_births_per_woman,under_5_mortality_rate_per_1000,access_to_electricity_pct,co2_emissions_per_capita,mean_years_of_schooling_adults,internet_users_pct_population,trade_pct_gdp,agriculture_pct_gdp,industry_pct_gdp,services_pct_gdp
AFG,Afghanistan,2967.692067153,-1.66505744749013,,2.44756300147404,9.032,33831764.0,3.11995924146907,24.4649118421568,4.24580956643691,62.27,5.652,71.9,71.5,0.27738428,2.12431,8.260000229,,20.6343227166798,22.1240424906926,53.2352934986503
ALB,Albania,13876.7616296598,3.81743447071763,11.6995817212428,0.771576290611591,17.193,2731293.0,-1.54312006878448,55.1579291374894,-0.768944889658625,78.358,1.631,9.6,100.0,1.625643,9.99802,56.90000153,71.2794476606014,18.7471602773412,24.4814091473313,42.8778647519282
DZA,Algeria,15239.5171456469,1.09962061859601,20.5244656437501,-4.98674479608955,11.206,40019529.0,2.05624795728459,70.1433070861612,2.9101879451251,75.159,3.091,24.9,99.4,4.0060844,6.3001347,38.20000076,53.2046225904145,10.5327896965018,32.7565009315894,52.1103711658838
AND,Andorra,62105.1542389675,3.63079793724701,,0.660588959137868,,72174.0,-2.14248382559065,88.5180850122057,-2.1722987391862,84.532,1.223,3.5,100.0,6.4454327,10.57,87.90000153,,0.513420109683398,9.98126871637019,78.6674143272447
AGO,Angola,11389.7609549481,-2.80470818378251,17.5157411959452,-2.95734582604562,16.472,28157798.0,3.60507162233632,63.51567832685,4.86073952875732,61.042,5.774,61.8,42.0,0.9768244,5.31563,22.0,54.9793808780995,13.663772327968,36.8949662869579,47.8808485052352
ATG,Antigua and Barbuda,25734.1516444171,0.691094824520249,,2.80180153658335,,89409.0,0.722892009464778,25.0,0.363041879589354,76.892,1.567,11.0,100.0,6.474005,11.29516,70.0,130.071549851721,1.44568317612291,15.9280224466081,73.0844247026056
ARG,Argentina,28669.2061336796,1.66091253843923,18.098379759087,26.5799916024707,7.577,43477012.0,1.04725888735726,91.4923019108628,1.15089236473826,76.6,2.35,11.7,99.7,4.4117293,10.92,68.0430641088122,22.4862260889792,5.15668590274786,23.153056135905,55.8149012843362
ARM,Armenia,13112.7600902915,3.51599547257022,13.1115978061212,1.21390990471085,18.261,3004600.0,-0.305729335573084,64.4929623431549,-0.183652129408332,74.8707317073171,1.6,14.7,100.0,1.8722591,11.57,59.1008337674937,71.6820743427575,17.2231200318056,25.7086994351611,48.2126693907876
AUS,Australia,55879.9958817103,0.704511799724457,19.1109568570267,-0.627407934606055,6.055,23815995.0,1.43921665259925,86.8778642539361,1.61863464615058,82.4,1.814,3.9,100.0,16.72746,12.25,84.5605149091408,41.4947506939901,2.37664391487055,23.6861098353126,67.1766453865526
AUT,Austria,60951.6037273662,0.174259722821304,20.128570640961,2.29263470154871,5.802,8642699.0,1.12099250236958,67.5576175537383,1.33168467457813,81.190243902439,1.49,3.7,100.0,7.6767116,12.08,83.9401419315026,103.11758174626,1.14362854172989,25.5152402246539,62.1631640037401
