country_code_3,country_name,gdp_per_capita_ppp,gdp_growth_annual_pct,general_government_final_consumption_expenditure_pct_gdp,inflation_gdp_deflator_annual_pct,unemployment_rate_pct,population_total,population_growth_annual_pct,urban_population_pct,urban_population_growth_annual_pct,life_expectancy_years,fertility_rate_births_per_woman,under_5_mortality_rate_per_1000,access_to_electricity_pct,co2_emissions_per_capita,mean_years_of_schooling_adults,internet_users_pct_population,trade_pct_gdp,agriculture_pct_gdp,industry_pct_gdp,services_pct_gdp
AFG,Afghanistan,1964.45228895456,-0.975915304703463,23.6261958140944,-8.30513956740795,13.687,42647492.0,2.83657317243522,25.7007352636188,3.72642057446598,66.289,4.761,53.0,87.8,0.25384834,2.51479,16.09499931,83.763025087768,34.2931004992905,14.5203506635167,45.1614722268607
ALB,Albania,21640.9835773271,5.55729254637092,12.4199102780456,2.35318090275747,10.689,2377128.0,-1.44214414486444,58.5463634043555,-0.867022200402391,79.776,1.341,9.2,100.0,1.5919901,10.175311,85.86389923,79.4546360752224,15.4519031294331,22.4011031082403,48.6899937474805
DZA,Algeria,15501.9197003966,2.25996527082104,18.0567770044615,3.37497744499591,11.655,46814308.0,1.39838651912702,75.2792907190618,2.12697498648782,76.475,2.723,21.6,100.0,4.233817,7.416387,77.4178009,40.1345741170703,13.9597061505767,36.1956789537864,46.7949847002474
AND,Andorra,66232.7444195598,2.47782130029728,,2.78151511775771,,81938.0,1.32930689449906,88.8850044816278,1.40343962866922,84.188,1.087,2.5,100.0,5.1816607,11.61,94.39759827,,0.49084154971042,12.7985462097612,77.5805312008222
AGO,Angola,8752.7974709833,1.80585033622316,15.7752348204393,27.8748539125374,14.02,37885849.0,3.04419972245653,70.6551379036435,4.18812173875964,64.805,5.048,49.0,55.5,0.5894967,5.956173,40.70479965,49.8489506740963,21.5526709882832,33.8842284287983,44.6075572777557
ATG,Antigua and Barbuda,29298.6474164727,2.04180224398706,,2.66285878537451,,93772.0,0.487472101887911,24.3906919254799,0.245141078812535,77.766,1.582,9.1,100.0,7.092406,11.6475,72.73040009,118.302584056113,1.61106058348278,17.2052569287081,69.9504486682116
ARG,Argentina,26771.9657650571,-1.68352700528746,14.9167656550539,207.605241734472,7.15,45696159.0,0.345829819817895,92.2742315972952,0.432261342079918,77.543,1.504,9.5,98.4,3.7434063,11.184582,89.66715228,27.929760849367,5.80601710916249,23.9965975604249,53.6514046050424
ARM,Armenia,20078.7848984844,3.48421625230606,10.6635241281693,1.40106081544975,12.405,3033500.0,2.30761515133256,65.8113671449901,2.4835668663192,78.319512195122,1.7,9.6,100.0,2.498691,11.344978,81.33930206,150.064726588742,7.80588621754673,22.8570663651858,61.9893697453885
AUS,Australia,60309.5831772339,-0.618565861462017,22.1458381918079,2.58838430384326,3.942,27194286.0,1.98454886891555,87.6021469990446,2.11642390080543,83.0512195121951,1.481,3.6,100.0,14.477199,12.87,96.13140106,47.1453811065195,2.03565265249391,25.5307319894404,66.1399054113301
AUT,Austria,63787.9891749462,-1.15937778694629,21.5978374083965,4.08681239792917,5.2,9177982.0,0.504879813795986,69.4658181096788,0.849927327322192,81.9951219512195,1.31,3.3,100.0,6.180112,12.361465,94.91974877,108.825777834405,1.21663375792448,24.5834201904085,63.9706809373681
AZE,Azerbaijan,22090.5298026929,3.65914632279566,14.2465235899535,-1.34423961292765,5.648,10202830.0,0.480155257252915,58.573795837717,0.593338193383289,74.576,1.43,17.9,100.0,3.8533201,11.07,90.43979645,82.5675246316515,5.58264743029397,42.4573322731936,42.5024619796055
BHS,Bahamas,36244.0500123244,2.90387123462988,12.9111717447325,0.288421376901312,9.049,401283.0,0.460334786075668,81.3249262966481,0.464700693280409,74.71,1.374,12.4,100.0,7.64968,12.814419,92.47270203,79.2424586933455,0.514754181193472,9.62558738820676,77.1859683694609
BHR,Bahrain,59060.1818363183,2.14506863901964,14.0837999698669,-0.672760487023226,1.084,1588670.0,0.733546811160036,100.0,0.733546811160036,81.423,1.805,8.8,100.0,24.270082,11.13,100.0,157.480869430187,0.244977877737017,42.1777148976475,53.3036182185741
BGD,Bangladesh,8486.78495660517,2.96499837954917,5.90807444317003,6.88285460605802,3.635,173562364.0,1.21462115417186,32.6783196323307,2.82015881681108,74.93,2.138,30.5,99.5,0.6240862,6.79,53.42171316,26.7780758040478,11.1648014276903,34.0971743458877,51.4166555046575
BRB,Barbados,21557.5276350385,3.31901066583377,,1.75612477212653,6.448,282467.0,0.0463878564204179,59.5397032429174,0.241699874179416,76.332,1.708,9.8,100.0,4.8328743,9.928357,70.36470032,,1.55475800099254,12.2073080339376,75.841887607388
BLR,Belarus,29135.9465139232,4.87181326291299,18.3153538551027,12.1668402198719,3.458,9132629.0,-0.49881794290787,79.1551015210848,-0.0677739479304782,74.3653414634147,1.217,2.3,100.0,6.163221,12.335373,94.26182128,128.242832314614,7.04092359721265,31.1972364832501,49.5341876623229
BEL,Belgium,63311.2766917178,0.427122650657566,23.7383780306407,1.88024411217241,5.7,11858610.0,0.66555918543206,87.6126557010527,0.735388565890222,82.3,1.44,3.7,100.0,7.2798314,12.689651,95.77579144,159.023481148927,0.792093358711035,18.7466235252195,71.0243496560734
BLZ,Belize,12621.4081961897,2.02408347328358,15.9425733631437,1.40200536796821,8.698,417072.0,1.44077799785791,41.7532107338224,0.980436784126819,73.739,2.021,12.7,99.6,1.9085852,8.76229,80.00582262,108.972446521476,7.94787809260727,14.5714201613306,62.4409630969452
BEN,Benin,3901.32588494392,4.84017869082697,9.01434833677519,1.57105014461685,1.637,14462724.0,2.46175361912328,52.5455354818423,3.99546291254476,60.961,4.48,74.7,59.0,0.4194466,3.1942,33.98379898,40.6398022401523,24.2317229519649,17.3838276050023,48.8795399933978
BTN,Bhutan,15603.8871298469,6.80062352055369,19.9712549581897,4.66637888315755,3.282,791524.0,0.651370664586926,42.5645249803412,2.61867173932571,73.262,1.449,17.2,100.0,2.0939395,5.8357944,91.27739716,79.3625417953324,14.1490576006591,31.6714138415403,51.5211183188511
BOL,Bolivia,11329.1518061536,-2.47074604396363,16.5336899279322,6.04628385410035,3.274,12413315.0,1.37206798819615,71.2361453773988,1.82370068528301,68.739,2.523,15.7,96.6,2.3127308,10.021223,79.70469666,46.9778716148403,8.82625884280481,31.2590732889611,53.36246116287
BIH,Bosnia and Herzegovina,20578.4995446816,3.90600654036231,19.5791977729204,4.31037453758105,10.69,3164253.0,-0.655819991673837,52.1224302754935,0.418022707993025,78.044,1.492,6.9,100.0,6.1391783,10.97,86.10091103,94.7601778509961,4.4959659036757,22.4415017755464,56.6511610029932
BWA,Botswana,18107.614452913,-4.3568819642385,31.7519352688551,1.93467323010725,23.81,2521139.0,1.63538411022867,67.4623537838418,2.29137163491074,69.293,2.703,33.3,80.2,2.9596071,10.478,57.45950036,69.4453508747185,1.76210010863351,29.0804641383636,63.5075554087284
BRA,Brazil,19652.365499171,3.00083291892194,18.7696027831652,4.07967448515818,6.801,211998573.0,0.405467027627251,87.8958549533146,0.724401697459186,76.023,1.614,14.2,99.8,2.2783718,8.425372,84.46347227,35.5845239386244,5.75227640931944,20.9406935314976,59.1707527173878
BRN,Brunei,79071.7333801445,3.20430381881549,22.6553278739746,-2.84270585148234,5.18,462721.0,0.81851878860359,74.8983133873697,0.923255175797745,75.501,1.731,9.9,100.0,26.046202,9.282,96.29828801,132.58743952196,1.17447666573414,61.67552249634,38.9532912458051
BGR,Bulgaria,34221.3866940362,3.47015020389682,19.7573359347068,7.20423580050331,4.2,6441421.0,-0.0803071609561488,73.9499356882481,0.214487368088234,75.7609756097561,1.72,5.7,100.0,4.6793866,11.454531,82.438955,110.226317731322,2.35105689831119,21.1316951784786,63.7625821557051
BFA,Burkina Faso,2548.50247702504,2.50565566182472,19.408039142067,9.72565562090332,3.441,23548781.0,2.24597728439097,28.3352514896662,4.19892549480939,61.292,4.11,74.9,34.0,0.27634817,2.26655,28.25270081,60.492898852298,20.9246381216982,26.5128276060609,43.961173085479
BDI,Burundi,1048.05557098193,1.4565402745951,21.2052616974158,18.5946790364748,0.915,14047786.0,2.5839340108674,24.8302838651025,7.86300205226695,63.818,4.789,47.1,20.1,0.065253265,3.4739356,8.595999718,,35.051222340227,17.2629747721706,43.3401181504744
CPV,Cabo Verde,9825.53410093619,6.46991608888079,22.1863507240005,1.39134617417365,11.883,524877.0,0.486246288487151,76.7721471004354,1.62016548003139,76.224,1.511,11.1,98.4,1.1312839,6.0900393,74.73519897,96.9022561569006,4.94662582763129,10.7133600078346,68.8339507034776
KHM,Cambodia,7011.58146903703,4.72405869487767,5.81720387772918,2.31446297896073,0.254,17638801.0,1.22593986324555,40.8727033252729,1.82378198623233,70.817,2.548,18.4,99.2,1.2405994,5.1971,68.47530365,143.447009703011,16.576872609135,41.7506561774631,35.5947222438947
CMR,Cameroon,4916.93354019494,0.854978148597212,11.5403419956554,5.4257265725534,3.603,29123744.0,2.61268294319567,55.4031748609078,3.10935129574733,63.968,4.261,64.8,72.0,0.33071235,6.5741806,46.25880051,34.4031785915423,18.4616384352121,23.2350957105105,50.7191439587575
