country_code_3,country_name,gdp_per_capita_ppp,gdp_growth_annual_pct,general_government_final_consumption_expenditure_pct_gdp,inflation_gdp_deflator_annual_pct,unemployment_rate_pct,population_total,population_growth_annual_pct,urban_population_pct,urban_population_growth_annual_pct,life_expectancy_years,fertility_rate_births_per_woman,under_5_mortality_rate_per_1000,access_to_electricity_pct,co2_emissions_per_capita,mean_years_of_schooling_adults,internet_users_pct_population,trade_pct_gdp,agriculture_pct_gdp,industry_pct_gdp,services_pct_gdp
AFG,Afghanistan,2757.05258747725,-3.21329500579925,,16.5933467401627,7.83,29347708.0,3.69150308391849,22.8205691572485,6.17194562448142,61.25,6.094,84.3,43.2,0.38877392,1.9370431,5.0,,23.7436639877543,22.7402524820273,49.6968203962567
ALB,Albania,12153.0636591785,2.73953255678821,11.8730326134018,1.69479180198789,13.481,2905195.0,-0.269017331764615,53.2917382892465,2.41275942237856,78.303,1.677,12.2,99.7,1.7775874,9.8,47.0,80.6989985298954,16.7202229491786,26.9409865024688,42.2390195525462
DZA,Algeria,14641.9640935685,1.00399237129356,20.1129065782839,16.9087083630482,9.96,36903376.0,1.9568943735315,67.7344007507578,2.86288407843621,74.383,2.899,27.3,99.0,3.3795078,5.58,14.89999962,62.2200899610479,7.08352512171367,44.9869856015855,44.6513051761826
AND,Andorra,60470.4662377044,3.7495175357235,,0.196764152031051,,77783.0,-3.68900236441521,88.6888340319763,-3.76946916853388,84.296,1.321,4.3,100.0,6.310664,10.559999,81.0,,0.490560827241276,11.908853107908,77.375135201479
AGO,Angola,11034.5919687814,-0.356512141669299,19.6108702785925,29.6448791405981,16.77,24218352.0,3.8879459971363,60.8431610396073,5.06528893008459,58.093,6.12,77.2,34.6,0.9660866,3.868798,4.699999809,89.0369443426985,9.55630602212879,52.3009161856827,37.6975621074608
ATG,Antigua and Barbuda,25023.9174488179,-3.10800074739414,,1.13459175890502,,86332.0,1.17914352935743,25.694689859722,-0.0675964965690748,77.023,1.746,11.8,94.6,6.3223624,10.695868,52.0,141.546161057996,1.41518526297013,13.2274797388855,75.0560291380288
ARG,Argentina,29425.7593876084,4.88127252804149,15.6889565165983,23.7034721839593,7.18,41730660.0,1.06474009749784,91.1072286738406,1.19019303632813,76.1,2.393,13.9,99.0,4.550224,10.7,51.0,35.2061549999644,6.99873377085717,25.2126976058843,51.8119007511102
ARM,Armenia,10990.177099035,5.28437530828725,11.9102932556784,4.28154999826118,18.884,3027900.0,-0.556590762896162,64.3207449145194,-0.571642093307427,73.8170731707317,1.5,17.8,99.5,1.6997676,11.19,32.0,69.4355736620453,17.9126819526397,27.8270946139077,45.6989324054448
AUS,Australia,53257.0473237603,0.981771621515961,18.6079623317755,6.19890348463792,5.083,22340024.0,1.38952731561803,86.3268946146423,1.51359196582587,81.8951219512195,1.926,4.5,100.0,17.96612,12.12,79.4876977139029,41.7219860149689,2.30485962261499,26.461435749675,64.6277803155417
AUT,Austria,61272.1724662899,2.5811033185299,20.1261020626005,1.81993743804168,4.637,8391643.0,0.337080841831645,67.1484255415056,0.402148758531327,80.9829268292683,1.43,4.2,100.0,8.327111,11.71,78.7399930986888,105.775098372378,1.46130648071081,25.8570853999006,61.6607142402264
AZE,Azerbaijan,19358.0778100345,-2.84718268648209,10.1276832686917,24.6069496884519,5.42,9173082.0,1.30300085487651,53.5085461893249,1.72196316630026,70.565,1.96,35.5,99.9,3.2637987,10.61,50.0,80.5080450059522,5.07622595138436,61.7339963903076,27.7128374486387
BHS,Bahamas,32535.6625139135,-0.537416355238307,13.7590673703757,-0.858605322784499,14.52,371729.0,1.15016412529445,82.4130347470308,1.14178527077696,73.571,1.791,15.1,100.0,5.677289,11.943745,65.0,88.3336891598687,1.09230471329484,12.0451419747876,79.8623696061248
BHR,Bahrain,53132.3284162611,4.78747209697194,13.3095861279241,9.48596325068939,1.21,1195020.0,-2.76659927564461,100.0,-2.76659927564462,79.141,2.025,8.3,100.0,23.654049,8.245,76.9999665032303,167.529641035854,0.279873967809159,48.2947958378082,50.6068677586612
BGD,Bangladesh,4352.42643359325,5.501503282369,5.0974466876342,7.85945085272492,3.737,153591076.0,0.908525895582217,28.1100162712427,2.28609018354601,68.499,2.309,46.5,59.6,0.36195275,5.2,4.5,47.4208498356898,16.8099867573503,25.0452996007551,53.045792114203
BRB,Barbados,20383.2530917687,-0.398444637384998,,2.55329602162956,11.19,276139.0,0.325001827653213,59.236693205614,0.325147781566834,75.599,1.758,13.7,100.0,5.8889804,9.661142,66.5,,1.58993660808425,14.424862924854,75.4702660513008
BLR,Belarus,25404.7566082412,5.7975501732946,13.4483555468763,70.76129097803,6.024,9461643.0,-0.234282914157686,75.0597534179688,0.446977582256702,70.5536585365854,1.515,5.2,95.0,6.476822,11.38,39.6488956598961,157.974255073313,8.00188774430829,36.0880730361763,44.138000618399
BEL,Belgium,56585.302500068,0.613616927857308,23.86685092413,2.29252172328242,7.14,11038264.0,1.3010029017038,85.2349607044689,1.61007193292056,80.5853658536585,1.81,4.4,100.0,9.526456,11.47,81.6099959955952,160.765516888126,0.726239843441003,20.7514599517248,68.1083915474617
BLZ,Belize,11641.7717375703,-2.28218512422295,16.285214809732,4.85845161527571,8.424,327298.0,2.17847430341063,44.9417819131729,1.62502676392259,70.975,2.531,18.3,91.7,1.7463291,10.176686,30.70000076,106.914960208874,8.86425886505326,18.8728842204643,60.9175526201005
BEN,Benin,2732.01249647957,-0.0571230167535077,11.0235419657792,3.73308304042652,2.647,10093623.0,2.97782202797765,43.4616136137276,4.29782353859138,58.462,5.436,105.1,36.9,0.44381663,2.57415,4.14832306562512,47.2170288118403,25.7970008253273,18.1374491115974,46.9792375495936
BTN,Bhutan,10714.686566371,7.30476940871061,21.1374784281586,8.88020592126544,3.23,709377.0,1.0978069996978,34.4637606688377,2.73169433592469,69.28,2.155,37.9,81.8,1.4192859,2.2887266,14.39999962,102.795600221106,11.7996340560809,37.4178826768856,44.7529435650107
BOL,Bolivia,9554.44502513,3.51064972680194,13.7771015326236,14.6023542294594,2.255,10348929.0,1.62276978666345,66.833715633176,2.26243348520799,66.282,3.143,34.4,88.3,1.5510005,7.94,30.0,82.4803954243518,9.7695858816954,30.3691066361261,41.013191725216
BIH,Bosnia and Herzegovina,12487.6490566037,2.83942425948602,23.0899893417252,2.43252743901144,27.582,3741798.0,-1.84492216631166,46.0528777644843,-1.16145833489124,76.963,1.209,6.8,99.7,6.3511963,7.24,43.88769913,87.8363477136556,6.75774539555131,22.1932597066813,55.814728624189
BWA,Botswana,15236.7188843522,4.75557328946104,28.3311194802288,12.6534472954255,18.049,2073535.0,1.96877479635498,64.0187810722889,2.79092713809452,59.715,3.103,58.8,53.2,1.9429603,9.1,9.0,98.9614677801469,2.11892300680962,41.4322152540452,51.7079246698274
BRA,Brazil,18627.8104529397,3.13169854409105,18.669256936864,8.31859222192008,7.578,195284734.0,0.81381388423754,84.6225758599683,1.14373726656016,74.047,1.777,17.9,99.3,2.3653224,7.01,45.69,23.9344051758721,4.34203412783304,23.1020509663714,57.5681693201729
BRN,Brunei,90279.6634042123,1.91129549119837,18.7287967375108,20.1807687225469,6.506,399389.0,1.78274591747739,75.312125504778,1.86442097275366,74.835,1.957,10.0,100.0,23.924784,8.82,56.0,99.5379309038179,0.572775314042004,73.6724144504971,27.3573206532471
BGR,Bulgaria,22321.033168819,2.74691105411546,15.8499839968092,6.11282837292184,11.26,7348328.0,-0.641228920515067,72.6101653885532,0.878627709438502,74.1634146341463,1.51,10.4,94.1,7.1978717,10.78,47.9799930506026,117.418101416931,4.66136930031581,25.0301018138525,57.590505300629
BFA,Burkina Faso,1939.86659989406,3.51633623623128,14.2866253805326,6.73800480732596,3.827,16661908.0,2.95657078370668,24.4682976845657,4.41061818413126,57.001,5.869,116.6,14.8,0.12899202,1.1571429,3.0,57.4972531038508,23.043650452489,28.3722709055706,40.5626068793802
BDI,Burundi,991.659881666872,0.368535841377152,22.9000817159208,8.3723788158744,1.602,9717978.0,3.57769854786004,11.5616652230006,8.70036095016159,57.804,6.108,84.7,6.2,0.042604737,2.23,1.110000014,,36.7043515146528,14.8097338415988,41.7536789897869
CPV,Cabo Verde,7325.78441834692,3.58680088003479,19.8861881451878,2.74704089816066,10.956,511447.0,0.325685661710053,62.7419929036884,1.84272226771072,72.913,2.329,25.6,82.3,1.2035358,5.709056,32.0,90.5564501122747,5.39925327001121,14.5699784845003,67.2515707697687
KHM,Cambodia,3921.97911563308,5.66993084409259,6.16017209860721,4.95076723151411,0.577,14722584.0,1.51839242344005,22.3824788531276,7.30891542673121,67.869,2.782,40.3,37.4,0.3580236,3.804,3.099999905,109.790505166814,28.0358544598065,26.6606926732023,39.0826288683331
CMR,Cameroon,4307.85195558527,0.496174364645441,12.054704648339,2.58904424747894,3.988,20232304.0,2.82842297078772,51.2229843034125,3.55825175007158,57.482,5.052,105.2,53.7,0.40061057,5.3524637,5.0,51.521987603918,16.6973907363193,25.7767597299444,51.7703818821919
CAN,Canada,53681.1084809345,2.13607718389216,21.1457595858567,3.24460708125697,7.637,34339221.0,0.97540725097113,81.1031425434213,1.08773638886182,81.4826829268293,1.63,5.6,100.0,16.287806,13.56,83.0,62.4984217100546,1.76565550890832,27.4568337699936,64.4807538814659
CAF,Central African Republic,1517.14839091011,2.55065326927321,7.14770875692839,4.00911505710052,5.638,4565021.0,1.59035970102042,38.8030669465007,2.05159237549988,50.107,6.009,125.1,10.4,0.033710234,3.3565626,2.200000048,34.4756183327299,37.5690227836114,26.6383554299084,28.5700359301451
TCD,Chad,2741.0708339941,0.870883386044198,12.0219212195258,8.17434340145252,0.92,12754997.0,3.53020185416521,21.9558736797638,4.02620372114781,50.426,6.948,142.9,9.0,0.100087225,1.8545539,1.899999976,57.5437561870898,27.1563338879622,41.0747792133064,29.3196564962166
CHL,Chile,25372.2741480772,5.18104033334399,12.3111911458171,3.26051486618304,7.492,17351816.0,0.986604121119825,87.0109164653326,1.04972318808154,79.236,1.823,8.6,99.6,4.4993253,9.54,52.2496072877744,72.481642209343,3.6261825670011,32.441754237811,54.0451165491945
CHN,China,11404.9179835542,8.86552016620182,15.511543498627,8.01535579905837,4.55,1345035000.0,0.546457594880274,51.8300285339355,5.68492664212314,75.889,1.668,14.6,99.9,6.998823,7.154565,38.3,49.9458272253643,9.0338458593332,45.8002054108107,45.1659405665759
COL,Colombia,14852.3699513061,5.80823503363762,13.3492616590983,6.38680337285258,10.288,45259614.0,1.07133727666266,76.839003613206,1.22203107314956,75.18,1.938,17.6,96.7,1.6613352,7.52,40.3509157546318,39.4704235545367,6.09169610822215,33.3021551703249,51.4400918867312
COM,Comoros,3293.83407668409,2.08263580496299,10.6599505269987,3.0457286845164,4.12,668056.0,1.99871797531046,29.1136750253686,2.8945044841069,63.105,4.722,54.0,69.3,0.21389568,4.4443965,5.5,40.0009485841888,30.5642731101881,11.6973185669348,54.3921363004447
COG,Congo,8492.42098392103,-1.06295910259951,12.8349574887585,10.953325511462,19.435,4609724.0,3.25058981932031,62.5597508130231,3.51863244092681,62.286,4.826,60.0,40.8,1.0947329,7.6871653,5.6,124.591742710141,3.98393619152519,65.8738951997526,25.5372291556931
COD,Democratic Republic of the Congo,1124.7720535769,-3.61710580676336,11.4925113672991,11.3185337043754,4.317,70849311.0,3.28016564590395,39.7849692825859,4.27442453978763,56.911,6.582,98.3,13.7,0.042922717,5.7474775,1.200000048,83.4133637998303,15.741544467002,38.636424619178,40.2616539649032
CRI,Costa Rica,19264.4566461776,3.18309276687559,16.9618360921605,4.59322533425421,9.518,4609833.0,1.17549258554055,72.8426586679914,3.02453188023227,79.624,1.877,10.2,99.2,1.5784479,8.35,39.2121959961842,68.6391459050112,5.59987200236542,22.3631868044306,63.4087696323105
CIV,Cote d'Ivoire,4017.43753814324,-7.40424970030114,9.599949106189836,5.70932050005679,7.144,22982000.0,2.17265768049368,47.6797551269623,3.10468439770448,55.972,5.244,98.4,55.8,0.28383818,4.2278447,2.900000095,64.7159030611345,18.4866714886447,16.7624007263304,34.0131352473082
HRV,Croatia,28769.0229490882,0.233948098216914,22.7561477677682,1.67118441203004,13.678,4280622.0,-0.345264228485821,55.2773793281248,-0.354494885386375,76.7756097560976,1.41,5.3,100.0,4.8155785,11.14,57.7899789891444,77.7839261603843,3.62557825538414,21.5033533278736,60.1938953938777
CUB,Cuba,,2.76444210196216,35.421075518191,4.32376713223725,3.18,11301571.0,0.0368335212213653,76.707663902788,0.164349066028095,78.051,1.734,6.1,98.0,2.572717,11.367,16.0172907996413,46.9604290476881,3.60487027105378,22.258298304102,73.0062327873605
CYP,Cyprus,41212.6875,-2.1129375771815,19.3608887386673,1.61625502234671,7.942,1146493.0,1.6424698555703,67.3979892758544,1.45728788630941,80.855,1.36,3.0,100.0,6.7966948,11.58,56.8598923503507,110.617131287039,2.14531860991971,12.7453636495298,73.9856217691986
CZE,Czechia,39708.1626280195,1.56218619113156,19.7936930986447,-0.221133416037063,6.712,10496088.0,0.206747667335417,73.2878338394746,0.122560305261246,77.8731707317073,1.43,3.3,100.0,10.974041,12.47,70.49,136.750855542438,1.96393230867654,33.3153047782183,55.1142697031149
DNK,Denmark,60391.7799332206,0.894526404293345,26.5845819349879,0.646380343342173,7.769,5570572.0,0.411737855195019,87.1567653955846,0.746778015158289,79.8,1.75,4.1,100.0,7.9407773,12.47,89.8100133895232,102.012930474308,1.26832807403315,19.8459237938884,65.1652486553664
DJI,Djibouti,4469.07409933135,5.28018025983934,19.6559696152364,1.3297387508826,26.31,948558.0,1.94884944824561,70.6776532458676,1.98992879395316,61.337,3.341,73.4,58.1,0.33219022,2.6851149,7.0,347.720317058403,1.19392304728354,11.3865800627511,80.5749435790169
DMA,Dominica,17475.0411061698,-0.238324807305119,,2.30733865943149,,69053.0,0.281339010328044,68.3978165602727,0.867592147557042,71.517,1.861,25.7,90.1,2.1748586,8.937545,48.59999847,,13.1398699725745,14.7847029833916,57.6624298701118
DOM,Dominican Republic,15258.0858148503,1.89038252427819,9.33525688896479,7.96628942136113,6.087,9945621.0,1.26934108138221,74.2440389501301,1.37683172832955,72.496,2.527,34.8,97.9,2.103672,7.33,38.0,59.0692578401698,5.4136207001604,27.543253721519,60.705409096801
ECU,Ecuador,12449.0785549218,6.71524931054121,13.0638269394594,6.83751222954146,3.458,15326227.0,1.6415369766541,62.7949053547691,1.72817287923561,75.179,2.605,18.2,96.9,2.510752,7.91,31.3668083587433,70.0356837525249,7.90853917487421,37.4057005178901,51.5008663236349
EGY,Egypt,13082.4263680239,-0.354646268621011,11.4506600539713,11.6629763517622,11.849,91093059.0,2.1044607622412,42.8634168470177,2.00582252594129,69.232,3.311,29.5,99.4,2.4335008,7.6154547,25.6,45.2556341623514,13.8691050980964,35.9517175990081,45.7160236306615
SLV,El Salvador,8945.93132970006,3.43396823026714,15.7558896813119,5.91935853963467,4.297,6090127.0,0.359883978139975,66.334413642034,1.7284049532239,71.192,2.224,17.6,92.6,1.0618316,6.21,18.89999962,79.2766437025052,7.33019190703113,26.1954132809565,57.8388249133051
GNQ,Equatorial Guinea,34341.9342607505,1.99905762799257,11.7810521849986,17.045106569847,7.837,1241835.0,4.34060206449919,55.9743349096911,9.57110605962947,58.827,5.126,105.6,66.1,4.8854165,7.46637,11.5,114.37734663649,1.05350238777482,78.0648736933954,22.1315186516791
ERI,Eritrea,,6.74798297853228,26.6169943369009,19.5382281454081,5.801,2998485.0,1.79351881087532,35.6706275939941,1.89436480581747,64.231,4.486,53.3,41.2,0.1927028,4.666127,0.699999988,47.3937901188684,,,
EST,Estonia,32453.1008476709,7.93414724975237,18.2999173867033,5.53917467550018,12.328,1327439.0,-0.303582823643979,67.8775556334506,-0.196359268496707,76.2292682926829,1.61,4.2,100.0,14.274907,13.4,76.5,166.7460724339,3.66566862923271,25.3466745057015,58.4513474222125
SWZ,Eswatini,8350.89190932865,1.27643647351354,18.8520941345052,5.47649943337463,26.105,1117833.0,0.554659161024556,22.4634753665393,1.13664439385607,49.057,3.317,67.6,51.2,0.8587666,6.1140566,18.13,85.2034551274939,7.97421442671441,37.8793869465389,49.2864972661237
ETH,Ethiopia,1492.53396469943,8.06141676362226,10.3182460672537,20.0618750792177,2.27,93149970.0,2.84354457485296,17.863790512085,4.93656502383621,60.595,5.08,78.6,23.0,0.07895706,2.17,1.100000024,48.232935411689,41.2499638574537,9.6646421928884,41.4300565862634
FJI,Fiji,10020.6957548052,2.41603454017945,17.3214453218454,9.39134128198071,4.406,912989.0,0.28188992280493,52.5335449475105,1.22276992588198,66.88,2.631,21.6,92.5,1.0193485,9.796,28.0,124.476834805196,9.21771557173261,17.4133402875203,58.1562651146195
FIN,Finland,55053.3906850323,1.91685338301681,23.4297133894918,2.60092840038482,7.781,5388272.0,0.463558707499131,70.0583261874252,0.853634959104373,80.4707317073171,1.83,2.9,100.0,10.512902,12.46,88.70999491353,78.7159444486606,2.25898661809719,25.0390832511194,59.3372290101439
FRA,France,50085.6829779109,1.94433505424516,23.9675950446463,0.851478363204762,9.228,65340830.0,0.482667411007127,77.1182717387509,0.511182130966785,82.1146341463415,2.01,4.2,100.0,5.572035,10.85,77.8199989926706,60.6056354816406,1.55137276231397,17.6800048726048,70.2766502820806
GAB,Gabon,19153.0878200945,3.35937600321799,12.7937160493487,12.68122777311,19.895,1781985.0,3.54739719912158,86.5665383650315,3.98884571113285,65.102,4.151,51.3,88.7,3.0566165,7.852,18.0,90.4983773331323,3.43228977977158,60.8812104614947,25.6325683424911
GMB,Gambia,2519.83983255672,-10.7772609082744,9.23149910484917,4.57212350369147,10.276,1983784.0,2.92337692748517,56.6696692994225,4.09237754154315,61.561,5.542,69.7,48.3,0.22348389,3.3056123,10.87030029,42.6397020468894,27.202420609824,11.5126603208193,54.9002009575039
