country_code_3,country_name,gdp_per_capita_ppp,gdp_growth_annual_pct,general_government_final_consumption_expenditure_pct_gdp,inflation_gdp_deflator_annual_pct,unemployment_rate_pct,population_total,population_growth_annual_pct,urban_population_pct,urban_population_growth_annual_pct,life_expectancy_years,fertility_rate_births_per_woman,under_5_mortality_rate_per_1000,access_to_electricity_pct,co2_emissions_per_capita,mean_years_of_schooling_adults,internet_users_pct_population,trade_pct_gdp,agriculture_pct_gdp,industry_pct_gdp,services_pct_gdp
AFG,Afghanistan,3017.94254424696,-0.939984755736006,,0.56694454253261,7.915,32792523.0,3.63251884652008,24.1910166387726,5.22969224047253,62.26,5.77,74.6,89.5,0.26523322,2.0774932,7.0,,22.1370413719574,21.2296632181805,52.9908650351499
ALB,Albania,13366.5040948145,3.83017022939833,12.2746384670784,1.44342053888136,18.055,2773767.0,-1.54313753739282,54.7325813178673,-0.745949138851179,78.029,1.721,9.9,100.0,2.091259,10.008679,54.29999924,75.0212023084129,19.2377589164282,23.8286690584956,42.6575638095964
DZA,Algeria,15073.7629403565,2.00005200987388,18.9932826125176,1.45036466218247,10.207,39205031.0,2.03786524232338,69.5468765157615,2.90504768262655,74.992,3.084,25.4,99.3,3.8881397,6.120101,29.5,56.9235419669867,9.40707440856373,38.5614138325673,47.9036022305248
AND,Andorra,59929.2444670501,4.52989381717444,,-0.0840193165570753,,73737.0,-1.95667320426838,88.544042920911,-1.99858052540775,84.485,1.168,3.7,100.0,6.2594266,10.65,86.09999847,,0.537623493009676,10.1535313011382,78.2437091148297
AGO,Angola,11718.4286832376,0.821220988941135,19.2372167776511,4.0817318808473,16.372,27160769.0,3.73272806660513,62.723115793241,4.67751677790276,60.396,5.864,64.5,32.0,0.9606558,3.99,21.3623407584103,69.5801424480502,11.4782158930435,44.1321246613696,43.9177454496788
ATG,Antigua and Barbuda,25557.5249124716,1.39120573166151,,1.77707213641139,,88765.0,0.792860528793727,25.0899726107741,0.166273490728923,76.912,1.526,11.2,100.0,6.396648,11.143802,67.77999878,141.546161057996,1.44123185699971,15.3667820905787,73.9444622042654
ARG,Argentina,28200.8152571318,-3.51326421042003,16.9498757371062,40.2829716315506,7.268,43024071.0,1.0317435786984,91.3975345472954,1.13692628317335,76.268,2.386,12.2,100.0,4.3821793,10.91,64.69999695,28.4067936452275,6.7127035133689,24.2773944936602,52.9405434663365
ARM,Armenia,12667.3757330249,3.88187670110254,12.0858534859076,2.30918242990974,17.498,3013800.0,-0.271712284863074,64.4142934233291,-0.184909382527369,74.8731707317073,1.7,15.4,99.7,1.917619,11.474999,54.6228058583362,75.778866962639,18.0720363470662,25.2705329463993,47.4130437470384
AUS,Australia,55489.068844146,1.08218148890933,18.6961228698943,1.41703057182264,6.078,23475686.0,1.49156648912847,86.7221289343356,1.66246486076665,82.3,1.826,4.0,100.0,16.639103,12.17,84.0,42.2993095385282,2.22695769265967,25.5698594984676,65.630632060795
AUT,Austria,60845.5743980711,-0.0285805465757676,20.1541074285657,2.00674413208939,5.674,8546356.0,0.781541632525841,67.4154327591781,0.955700455115768,81.490243902439,1.46,3.8,100.0,7.5058665,12.01,80.9958249574764,104.49673998926,1.27555801772568,25.7857017006482,61.8415922139115
AZE,Azerbaijan,20709.201611232,1.52243135535144,10.8858730371216,-1.33020421239041,4.91,9535079.0,1.24820899735588,54.6319175926151,2.07497820790512,71.93,1.97,29.6,100.0,3.5660133,10.57,75.0000156363396,69.4832251953347,5.31940671805552,53.5868546669355,34.1869146526
BHS,Bahamas,32712.6356664811,0.955837779605616,11.1355495506818,4.40841904386082,13.8,382298.0,0.878822235669929,82.3180931037043,0.823527872287064,74.029,1.687,14.2,100.0,5.395677,12.198545,76.91999817,80.5370272284116,0.838487849108097,13.1841890278389,78.3941251986247
BHR,Bahrain,55065.8189472129,-0.560855463138182,15.4830750309573,-1.44043683471969,1.144,1314562.0,4.78104318433597,100.0,4.78104318433597,80.214,2.149,7.8,100.0,23.590342,8.889999,90.5031334814656,168.57585814186,0.287965783699072,45.3135767644884,53.7209538895267
BGD,Bangladesh,5068.63965672741,5.09905460197942,5.33752075651661,5.66878852513904,4.417,157964929.0,0.911167733810249,29.1944442321013,2.13023875711627,70.016,2.228,40.5,62.4,0.4276385,5.19,9.052900314,44.5140801968096,15.3516208986344,26.3110467833576,53.6357543166708
BRB,Barbados,19840.8306179644,0.559968073840309,,-0.365487083623734,12.17,278348.0,0.245677832545378,59.2410313429534,0.249559150836374,75.926,1.727,13.1,100.0,4.9132366,9.686,71.92459869,,1.73293958856979,13.551897385724,75.7410762298235
BLR,Belarus,26564.4347246547,1.59406202466224,13.7542695534472,18.1925984572644,5.908,9448515.0,0.056151567510169,76.3405227661133,0.569408698098076,72.9707317073171,1.696,4.3,96.8,6.7245016,11.665,59.0163187101542,110.651424367582,7.30305697730942,35.3790497233345,45.6522130319622
BEL,Belgium,57002.9092185206,1.31477462306464,24.1076426881484,0.840395740063599,8.523,11209057.0,0.44392928847521,85.9848336685807,0.727273585166951,81.2878048780488,1.74,4.1,100.0,8.660123,11.64,85.0012379539925,158.571610953523,0.716518219283319,19.6190570732838,69.2884674792442
BLZ,Belize,12272.2957895446,1.71986752597024,16.263195067425,1.12730426417622,8.244,348923.0,2.11317688838933,44.1850161758379,1.54259490600527,71.437,2.474,16.3,91.5,1.4385759,9.236744,38.70000076,107.112517468788,10.1795484159839,15.8379696182219,61.9065487529897
BEN,Benin,2987.38236326153,3.26077217060734,10.1801970840633,-0.247782653882282,1.952,11030004.0,2.9550187594558,45.2880529235999,4.37327321723222,59.008,5.374,98.4,34.1,0.4328207,2.6122,6.0,65.2682749404551,25.6184529738008,16.4115774866134,49.528551651517
BTN,Bhutan,11744.5189124825,4.74506543590765,18.1267964157003,5.72222881975419,2.63,733139.0,1.07871798585886,36.1326606084122,2.63692532080841,70.504,1.923,31.2,91.4,1.8172723,2.956,30.29999924,87.9342562013295,12.0637822394106,37.6449550742574,43.0401099714327
BOL,Bolivia,10790.8472887528,3.84418415353171,14.7070466402409,2.04949774010372,2.021,10848888.0,1.54455877769864,68.037425413,2.08649576914007,66.97,2.947,28.4,90.0,1.8343189,8.676667,34.6016202324676,85.2644695625131,9.74021753770169,27.6254998805738,41.4653506578459
