country_code_3,country_name,gdp_per_capita_ppp,gdp_growth_annual_pct,general_government_final_consumption_expenditure_pct_gdp,inflation_gdp_deflator_annual_pct,unemployment_rate_pct,population_total,population_growth_annual_pct,urban_population_pct,urban_population_growth_annual_pct,life_expectancy_years,fertility_rate_births_per_woman,under_5_mortality_rate_per_1000,access_to_electricity_pct,co2_emissions_per_capita,mean_years_of_schooling_adults,internet_users_pct_population,trade_pct_gdp,agriculture_pct_gdp,industry_pct_gdp,services_pct_gdp
AFG,Afghanistan,2958.7853992308,-0.300121027406746,,-2.19752646733461,10.116,34700612.0,2.53571991833963,24.6588345720126,3.32526007388198,62.646,5.542,69.4,97.7,0.24800518,2.2685916,11.0,,25.7403140364582,10.4668076938201,59.0232164144095
ALB,Albania,14643.4285614716,5.52482598081943,12.1050326390236,-0.864265221201691,15.418,2689469.0,-1.54313470861992,55.5738734464276,-0.79189609231711,78.643,1.555,9.4,99.9,1.5718573,9.98736,59.59999847,74.0144504546815,19.167190753497,23.8670178864359,43.4481768975831
DZA,Algeria,15511.6858768094,1.78594064734014,20.0218426111777,0.856688224051865,10.202,40850721.0,2.05569111181654,70.7353778263851,2.89623687610993,75.31,3.091,24.5,99.4,3.8752885,6.480169,42.94549942,49.7609327925216,11.0683130545794,32.205164049828,52.3939905220294
AND,Andorra,64402.8092369468,3.69962046811506,,0.347795381575793,,72181.0,0.0096983131938399,88.5027454634853,-0.0078266246156032,84.489,1.184,3.4,100.0,6.546754,10.56,89.69999695,,0.521999648433619,10.1407794073814,78.1008536948862
AGO,Angola,10963.9967887173,-3.73813083448252,14.555607382944,20.8685538437151,16.572,29183070.0,3.57644143982026,64.2992302517989,4.80252986936282,61.619,5.686,59.6,41.8,0.87261665,5.417391,23.20000076,46.3256130571521,14.4558424371022,37.0197637586645,45.8633066698305
ATG,Antigua and Barbuda,26627.71453894,3.47228425039911,,-0.475117518871471,,89969.0,0.624381829779871,24.9239807471655,0.321601134788121,76.968,1.458,10.8,100.0,6.596666,11.446518,70.27159882,132.025917905085,1.45850375317323,17.7641082763748,71.1511637447693
ARG,Argentina,27802.1057201498,-3.02450095578762,17.6545781863509,41.1193799882279,8.088,43900313.0,0.968911125580978,91.5856817228217,1.07092245651493,76.105,2.241,11.4,99.9,4.3284545,10.93,70.9689808206024,26.0938878488799,6.2645658204639,22.0541072112108,56.1222358547004
ARM,Armenia,13192.9940731731,0.611877151180408,13.4541585167703,0.268575076501392,17.617,2992300.0,-0.410212518071397,64.5928753345316,-0.255414782023444,74.8682926829268,1.6,14.0,99.8,1.7838441,11.68974,64.3460297653742,76.0779674593548,16.39047353385,25.5771330395605,49.9105094267778
AUS,Australia,56529.951824687,1.16312811538609,19.8952681410756,-0.673417495929741,5.711,24190907.0,1.56194049810399,87.0166295249235,1.72153704896083,82.4487804878049,1.752,3.8,100.0,16.837934,12.35,86.54000092,40.813402217321,2.41300232330254,22.3130168026382,68.1551944466641
AUT,Austria,61572.6257402404,1.01887723192984,19.9765754686425,1.81475082333313,6.064,8736668.0,1.08139629872802,67.7218061923556,1.32412222255029,81.6414634146342,1.53,3.6,100.0,7.692762,12.11,84.3237425711653,101.573494597172,1.14928264077268,25.9124691845374,61.764351964317
AZE,Azerbaijan,19822.4105943941,-4.14117487259738,12.8320634437288,14.6283389647903,5.0,9757812.0,1.11785721013911,55.7574797205266,2.20055294155423,72.568,1.9,26.5,100.0,3.5189948,10.65,78.2,90.0773187345677,5.60511177455763,47.5578070076723,39.322666701972
BHS,Bahamas,32172.3365152976,-1.84653148444181,10.718043245882,1.54010313518333,12.7,388055.0,0.700545015838571,82.1784378570728,0.605155085176367,74.042,1.495,13.8,100.0,5.787847,12.371425,80.0,67.212921580015,0.877037934836586,13.1841863831865,76.489996549083
BHR,Bahrain,54107.0752236423,-0.0791098754103388,16.2780346984139,0.35724777804711,1.19,1423726.0,3.82316300255316,100.0,3.82316300255316,80.407,2.042,7.6,100.0,22.128733,9.32,97.9999807024146,132.822997902774,0.315996684624948,38.2033398636175,60.7104509663565
BGD,Bangladesh,5682.53553494306,6.16181560014782,5.86529831496558,27.8507377248339,4.35,160811932.0,0.892432416039535,29.8753915517965,2.0230746254932,71.075,2.227,36.7,75.9,0.5084272,6.11,16.89909935,31.3341501346142,13.4647923176039,31.0691513830358,51.2078039865767
BRB,Barbados,19877.1120083968,1.19578953850676,,-1.75274683001335,8.247,279598.0,0.217691837314076,59.2510255301153,0.227827010523342,76.168,1.724,12.4,100.0,4.9049907,9.733643,71.57299805,,1.69589629439235,13.307652419376,75.045232420832
BLR,Belarus,24846.8301529359,-2.61191381567238,15.6531401067942,8.34191706191312,5.844,9469379.0,0.0877210878706449,76.8458709716797,0.373744765075005,73.8268292682927,1.733,3.9,98.0,6.125662,11.8550005,71.1130457603832,125.209322899662,6.89528062433517,30.9584092512823,48.5229965560459
BEL,Belgium,57901.497690315,0.682454832714654,23.3188265796837,1.89528913569444,7.83,11331422.0,0.506300002451376,86.4507790979645,0.772115743211402,81.4390243902439,1.68,4.1,100.0,8.807806,11.99,86.5164766644457,159.057696611945,0.673190543684684,19.0981057822176,69.5878866778803
BLZ,Belize,12063.0600374093,-2.31386521552362,18.1188316269796,2.13988044008869,7.0,364705.0,2.32231207163985,43.6765514309211,1.74147616449427,71.843,2.396,15.0,93.3,1.8484907,8.908745,44.57569885,96.4998358304218,7.70348583128466,15.4437192148553,61.8503566890223
BEN,Benin,2962.66381572265,0.361166139903119,10.2808187596981,0.683591111274652,1.834,11697842.0,2.92460216679542,46.6094559006664,4.36972283746272,59.283,5.254,94.0,37.0,0.4539761,2.6375666,14.5,58.9869283378276,27.7536354980493,15.7020683118185,48.2031996094347
BTN,Bhutan,13320.9759036882,7.42464056841786,18.1053243492064,4.04891299347933,2.707,747866.0,0.973884473914115,37.2745234641407,2.53175320399705,71.119,1.738,27.4,99.3,2.0862627,3.692,46.50320053,76.3847528498375,12.0023717482714,38.448996403302,43.4015603426375
BOL,Bolivia,11448.02180322,2.72220716291487,17.4582521973373,-1.35487058636205,3.498,11180020.0,1.48970583998181,68.7446327876947,1.99842910811731,67.392,2.829,25.0,91.8,1.9006767,9.1625,39.69749832,56.4010345026573,11.1718754150532,25.3263589797711,49.8023324477813
BIH,Bosnia and Herzegovina,14873.6411107879,4.59597025623206,20.9094484105117,1.3333075043618,25.408,3473003.0,-1.30267774814121,48.0248845752382,-0.353411503493823,77.124,1.36,6.8,100.0,6.258016,9.69,60.2565354318987,88.2440340022738,6.16559062107215,22.3443510624615,54.1749753827059
BWA,Botswana,16905.588740873,5.69319455388396,28.4757218286483,11.9049111318198,19.328,2234776.0,1.41970172619868,65.6949296854899,1.85382980093925,64.32,2.99,45.1,64.2,2.837354,10.1,41.16859818,100.464689766026,1.97588757367029,40.3451621913098,54.1248911898208
BRA,Brazil,17620.9272434136,-4.01012719354725,20.3792974264123,8.10360437618169,11.58,203218114.0,0.761972670496742,85.9487048448108,1.05925972214881,75.081,1.727,16.8,99.7,2.4197884,7.73,60.8725400681261,24.5336820777006,4.89135358790863,18.3547582766688,63.2036958324333
BRN,Brunei,78880.6228501768,-3.69864300009469,26.2231785594048,-9.16949538892618,8.537,427564.0,1.25964272152269,74.8816070556641,1.17059243594279,74.905,1.915,10.7,100.0,17.851791,9.06,90.0,87.319801332806,1.20365462606268,57.2893638536308,42.9760421304837
BGR,Bulgaria,25636.7443903478,4.37288142099703,15.5888635959359,3.32355888853566,7.575,6894139.0,-1.29824041616821,73.1750030517578,-1.19988025388411,74.8121951219512,1.67,7.7,97.3,6.3618603,11.23,59.825547661014,122.805519071127,4.05489960163599,24.4597733742659,57.5930631888419
BFA,Burkina Faso,2162.72578977814,2.9035090911533,16.5070965979117,2.60429919226561,4.598,19334856.0,2.92508251378454,25.821510372001,3.70295599634333,59.173,5.331,97.4,16.6,0.20624086,1.6049999,7.140999794,57.8931727994406,21.7147178290213,24.8815173666488,43.8058266776224
BDI,Burundi,1006.55907385999,1.43842310958158,23.7098417296399,6.33813181947818,1.352,11239451.0,1.72186004024144,15.6180905635494,7.98774207472562,60.789,5.587,63.7,8.5,0.038141336,2.5433333,2.200000048,,35.5553158342758,16.9063592990669,40.2511188119853
CPV,Cabo Verde,7881.30336227784,4.24816232606327,19.8316445191845,1.67992479299215,12.085,512554.0,0.0312210963482392,68.0354078358316,1.70726295941253,74.35,1.966,17.6,87.5,1.0365306,5.8965096,50.3228178676892,95.3781398609533,6.31352277353712,12.6668493291087,69.284837494372
KHM,Cambodia,5283.72964943779,6.34300627617029,5.32085003676989,1.58007480575829,0.716,15852803.0,1.45860767566845,32.4767436038024,9.1684596553929,69.635,2.725,27.5,68.8,0.67139864,3.9520924,32.3984517141849,122.704555602667,18.9079815555917,33.0562094608004,41.7636314521345
CMR,Cameroon,4767.13186148953,1.45711722669677,12.1243456243326,0.661808977155886,3.529,23454161.0,2.98933225067819,52.9815033836792,3.62822886976368,60.293,4.842,85.1,59.8,0.424868,6.114783,20.60000038,40.6386315268268,17.1926623891151,24.1821445706245,50.4664605241712
