country_code_3,country_name,rank,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
DZA,Algeria,3,0.6482 (IRN),0.6236 (AGO),0.6053 (EGY),0.5368 (CHN),0.5468 (IRN),0.5632 (SAU),0.5290 (MAR),0.5833 (AGO),0.6333 (AGO),0.5514 (AGO),0.5865 (MAR),0.5864 (BRA),0.5726 (TUR),0.5240 (MAR),0.5686 (COL)
ECU,Ecuador,1,0.5390 (IDN),0.7552 (PER),0.6765 (PER),0.7492 (PER),0.6674 (PER),0.5941 (IRN),0.6583 (BRA),0.5520 (JPN),0.6082 (COL),0.6234 (PER),0.6403 (COL),0.5408 (CHN),0.6273 (CHN),0.5771 (CHN),0.5359 (BOL)
ECU,Ecuador,2,0.5381 (VNM),0.5834 (IDN),0.6169 (PRY),0.6749 (PRY),0.6512 (CHN),0.5283 (PER),0.6210 (COL),0.5452 (CHN),0.5846 (PER),0.4953 (COL),0.5925 (BOL),0.5072 (JPN),0.5875 (JPN),0.5694 (LKA),0.5029 (MEX)
ECU,Ecuador,3,0.5355 (DZA),0.5772 (PRY),0.5843 (VNM),0.6058 (CHN),0.5874 (THA),0.4974 (BRA),0.5012 (JPN),0.5049 (PER),0.4955 (JPN),0.4768 (BOL),0.5919 (PER),0.4979 (PHL),0.5727 (BOL),0.5617 (MEX),0.4649 (COL)
EGY,Egypt,1,0.8445 (IDN),0.7441 (IDN),0.7291 (IRN),0.6932 (IDN),0.6667 (IDN),0.7174 (IDN),0.7005 (IDN),0.6478 (ZWE),0.7569 (UZB),0.7913 (IDN),0.8342 (BGD),0.8250 (BGD),0.8442 (IDN),0.8072 (BGD),0.7762 (BGD)
EGY,Egypt,2,0.7375 (IND),0.6972 (IND),0.6459 (PAK),0.6365 (IND),0.6553 (IRN),0.6526 (IND),0.6761 (UZB),0.6185 (IRN),0.6909 (IDN),0.7673 (BGD),0.7856 (IDN),0.8128 (IDN),0.8394 (BGD),0.7998 (IDN),0.7106 (PAK)
EGY,Egypt,3,0.6403 (DZA),0.5972 (IRN),0.6395 (IND),0.6105 (IRN),0.5975 (UZB),0.6393 (UZB),0.6598 (IND),0.6182 (IDN),0.6647 (BGD),0.6622 (IND),0.6533 (UZB),0.6849 (IND),0.6962 (IND),0.6953 (IND),0.6807 (GHA)
ESP,Spain,1,0.9416 (ITA),0.9305 (PRT),0.9427 (GRC),0.9471 (ITA),0.9431 (ITA),0.9301 (ITA),0.9468 (ITA),0.9457 (ITA),0.9532 (ITA),0.9197 (FRA),0.9032 (ITA),0.9206 (ITA),0.9312 (ITA),0.9070 (FRA),0.9034 (FRA)
ESP,Spain,2,0.9179 (FRA),0.9277 (ITA),0.9349 (PRT),0.9359 (GRC),0.9428 (GRC),0.9100 (GRC),0.9210 (GRC),0.9198 (FRA),0.9272 (FRA),0.9195 (ITA),0.9013 (FRA),0.9083 (FRA),0.8888 (FRA),0.9043 (ITA),0.8913 (ITA)
ESP,Spain,3,0.9102 (PRT),0.9176 (FRA),0.9323 (ITA),0.9318 (PRT),0.9255 (PRT),0.9081 (PRT),0.9073 (PRT),0.9174 (GRC),0.9068 (GRC),0.8858 (GRC),0.9006 (GRC),0.8734 (SWE),0.8590 (PRT),0.8697 (PRT),0.8867 (GRC)
EST,Estonia,1,0.9016 (SVK),0.8897 (LTU),0.9253 (LTU),0.9159 (SVN),0.9157 (LTU),0.8910 (LTU),0.9408 (SVN),0.8795 (CZE),0.9229 (SVN),0.9331 (SVN),0.9413 (LTU),0.9559 (LTU),0.9265 (LTU),0.9515 (LTU),0.9542 (LTU)
EST,Estonia,2,0.8900 (HUN),0.8888 (SVK),0.9028 (SVK),0.9091 (CZE),0.9089 (CZE),0.8746 (LVA),0.8972 (SVK),0.8747 (SVN),0.8801 (AUT),0.9176 (LTU),0.9271 (SVN),0.9437 (SVN),0.8604 (DNK),0.9008 (AUT),0.9321 (LVA)
EST,Estonia,3,0.8856 (LTU),0.8790 (LVA),0.8970 (LVA),0.9052 (LTU),0.8985 (SVK),0.8733 (AUT),0.8858 (CZE),0.8727 (LTU),0.8764 (SVK),0.8926 (AUT),0.9208 (LVA),0.9169 (LVA),0.8535 (LUX),0.8968 (LVA),0.9043 (AUT)
ETH,Ethiopia,1,0.9047 (KEN),0.9082 (TZA),0.9010 (TZA),0.9155 (TZA),0.9332 (TZA),0.9377 (TZA),0.9532 (TZA),0.9184 (NER),0.9396 (UGA),0.9488 (TZA),0.9530 (TZA),0.9264 (PAK),0.9232 (SLE),0.9433 (UGA),0.9191 (UGA)
ETH,Ethiopia,2,0.8791 (TZA),0.9055 (KEN),0.8952 (KEN),0.9078 (BEN),0.9055 (CIV),0.9019 (UGA),0.9059 (MLI),0.9162 (TZA),0.9372 (TZA),0.9420 (UGA),0.9437 (UGA),0.9192 (TZA),0.9171 (UGA),0.9235 (TZA),0.9047 (TZA)
ETH,Ethiopia,3,0.8776 (BFA),0.9040 (MDG),0.8840 (BEN),0.8925 (CIV),0.8906 (KEN),0.8917 (MLI),0.8963 (UGA),0.9138 (MLI),0.9071 (TCD),0.9047 (MLI),0.9094 (NER),0.9145 (SLE),0.9156 (PAK),0.9002 (SLE),0.9022 (SLE)
FIN,Finland,1,0.9460 (SWE),0.9579 (SWE),0.9610 (DNK),0.9496 (SWE),0.9413 (AUT),0.9302 (AUT),0.9324 (NOR),0.9439 (AUT),0.9451 (AUT),0.9465 (AUT),0.9566 (NOR),0.9549 (AUT),0.9438 (SWE),0.9502 (SWE),0.9399 (SWE)
FIN,Finland,2,0.9412 (AUT),0.9486 (DNK),0.9537 (SWE),0.9468 (DNK),0.9398 (DNK),0.9229 (DNK),0.9273 (DNK),0.9257 (DNK),0.9211 (DNK),0.9348 (NOR),0.9309 (AUT),0.9403 (SWE),0.9186 (AUT),0.9457 (AUT),0.9219 (AUT)
FIN,Finland,3,0.9283 (DNK),0.9456 (AUT),0.9453 (AUT),0.9443 (AUT),0.9358 (SWE),0.9128 (SWE),0.9265 (AUT),0.9085 (NOR),0.9092 (SWE),0.9280 (DNK),0.9287 (SWE),0.9059 (DNK),0.9048 (DNK),0.9137 (DNK),0.8855 (DNK)
FJI,Fiji,1,0.7493 (TON),0.6848 (BLZ),0.7592 (TON),0.7565 (BLZ),0.6143 (TON),0.7478 (TON),0.8053 (TON),0.7650 (TON),0.6649 (TON),0.7256 (TON),0.6787 (BLZ),0.6309 (SLB),0.7145 (CPV),0.6196 (KGZ),0.6469 (TON)
