country_code_3,country_name,rank,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
KEN,Kenya,1,2.0243 (SEN),1.5991 (MDG),2.0400 (TZA),1.9306 (CMR),2.1029 (MDG),2.1336 (MDG),2.2125 (MDG),2.1068 (PAK),2.0354 (PAK),2.2489 (PAK),1.9671 (PAK),2.2103 (PAK),2.2247 (CMR),2.2332 (CMR),2.1695 (CMR)
KEN,Kenya,2,2.1756 (TGO),2.0925 (CMR),2.0538 (PAK),1.9775 (PAK),2.1033 (PAK),2.1936 (PAK),2.2783 (CMR),2.4188 (MDG),2.4878 (CMR),2.6338 (CMR),2.1191 (CMR),2.2815 (CMR),2.2516 (PAK),2.4405 (TGO),2.5502 (CIV)
KEN,Kenya,3,2.2523 (CMR),2.0989 (SEN),2.0759 (MDG),2.0012 (MDG),2.1102 (CMR),2.3457 (CIV),2.3708 (PAK),2.5233 (CMR),2.4980 (CIV),2.6611 (CIV),2.3332 (CIV),2.3378 (CIV),2.4687 (TGO),2.4811 (CIV),2.5552 (TGO)
KGZ,Kyrgyzstan,1,2.8010 (NIC),2.2522 (TJK),2.4558 (TJK),2.3228 (TJK),2.4515 (NIC),2.3523 (NIC),2.4280 (NIC),2.5429 (NIC),2.6168 (PRY),2.4286 (UZB),2.6681 (UZB),2.4475 (UZB),2.5460 (UZB),2.5400 (UZB),2.9271 (UZB)
KGZ,Kyrgyzstan,2,2.8389 (FJI),2.4594 (NIC),2.4862 (MDA),2.4753 (NIC),2.6257 (TJK),2.4239 (HND),2.5855 (HND),2.6974 (TJK),2.9005 (HND),2.7644 (HND),2.7358 (NIC),2.7793 (PRY),2.8347 (NIC),2.7720 (FJI),3.2096 (PRY)
KGZ,Kyrgyzstan,3,2.8685 (TJK),2.6380 (MDA),2.7318 (FJI),2.5657 (MDA),2.6523 (HND),2.7183 (BOL),2.7097 (PRY),2.7542 (PRY),3.0121 (BOL),2.8353 (PRY),2.7799 (HND),2.9376 (NIC),2.9261 (HND),2.8948 (PRY),3.2151 (GEO)
KHM,Cambodia,1,3.2337 (TZA),3.4330 (TZA),3.6281 (UGA),3.5444 (UGA),3.9008 (UGA),4.3203 (UGA),4.6948 (TZA),4.5970 (GHA),4.5637 (VNM),3.8539 (GHA),3.2431 (GHA),3.3655 (GHA),3.1601 (VNM),2.8749 (VNM),2.8729 (VNM)
KHM,Cambodia,2,3.5738 (GHA),3.7143 (TGO),3.9218 (TZA),4.1020 (TZA),4.0921 (TZA),4.4470 (TZA),4.7603 (UGA),4.8970 (TZA),4.5763 (GHA),3.9687 (VNM),3.7233 (VNM),3.4097 (VNM),3.6121 (GHA),3.3131 (GHA),3.6560 (GHA)
KHM,Cambodia,3,3.7762 (PHL),3.9602 (BGD),4.0017 (TGO),4.3146 (TGO),4.4757 (TGO),4.8681 (ETH),4.8810 (VNM),4.9089 (VNM),5.3290 (PHL),4.5783 (TZA),4.4552 (GTM),4.2285 (SEN),4.1003 (NIC),3.8890 (NIC),3.9562 (IDN)
KOR,South Korea,1,2.2122 (DEU),2.0736 (AUT),1.8315 (DEU),1.8948 (DEU),1.7490 (DEU),1.8847 (DEU),1.9406 (DEU),1.8870 (DEU),2.0129 (DEU),1.9281 (DEU),1.9397 (DEU),1.8658 (DEU),1.8619 (DEU),1.7344 (DEU),1.8874 (POL)
KOR,South Korea,2,2.5286 (AUT),2.1596 (CZE),2.0434 (CZE),2.1348 (CZE),2.0682 (CAN),2.1493 (POL),2.0006 (POL),2.0526 (POL),2.2565 (AUT),2.1571 (NOR),2.3268 (AUS),2.1622 (CAN),2.2642 (JPN),1.9014 (POL),1.8917 (DEU)
KOR,South Korea,3,2.5316 (POL),2.4215 (CAN),2.0715 (AUT),2.2197 (AUT),2.1614 (CZE),2.2695 (CHL),2.1835 (CZE),2.2579 (CZE),2.3502 (CAN),2.2382 (AUT),2.3366 (NOR),2.3150 (AUS),2.2898 (ITA),2.1358 (JPN),1.9242 (CZE)
KWT,Kuwait,1,2.7677 (BHR),2.9746 (SAU),1.9215 (QAT),2.6150 (SAU),3.1642 (BHR),2.5062 (OMN),2.3873 (OMN),2.6217 (OMN),3.1147 (OMN),3.7865 (OMN),2.8578 (OMN),2.3263 (OMN),2.3332 (OMN),2.7321 (OMN),2.9192 (BHR)
KWT,Kuwait,2,3.5223 (OMN),3.1180 (ARE),2.9782 (SAU),2.7545 (ARE),3.2287 (OMN),2.7126 (BHR),2.6992 (QAT),2.9331 (QAT),3.5243 (QAT),3.9405 (NOR),3.7270 (BHR),3.2057 (SAU),2.7333 (QAT),3.2135 (SAU),3.5628 (NOR)
KWT,Kuwait,3,3.9244 (ARE),4.2805 (BRN),3.1375 (ARE),2.8422 (BHR),3.5333 (ARE),3.0819 (SAU),2.8209 (BHR),3.3658 (ARE),3.9123 (ARE),3.9700 (ARE),3.8929 (ARE),3.2249 (NOR),2.9027 (ARE),3.6830 (BHR),4.2694 (BRN)
LBN,Lebanon,1,2.4324 (PAN),2.4268 (CRI),2.2305 (CRI),5.4540 (OMN),6.6028 (PSE),2.3529 (CRI),3.0106 (LVA),3.3237 (BGR),3.4808 (BGR),4.2560 (URY),4.8162 (BHS),7.4712 (STP),6.1343 (STP),6.3278 (BHS),6.5392 (ARG)
LBN,Lebanon,2,2.7269 (URY),2.7649 (CYP),2.7755 (URY),5.8847 (MDV),6.6590 (TUR),2.8002 (CHL),3.1252 (BGR),3.3290 (LVA),3.6210 (URY),4.3470 (GRC),5.0591 (URY),7.8556 (URY),6.5066 (BHS),6.5773 (STP),6.6399 (ECU)
LBN,Lebanon,3,2.8503 (CRI),2.8709 (URY),2.8266 (ISR),5.8955 (SAU),6.6774 (BHR),2.8035 (NZL),3.2085 (PRT),3.4246 (HRV),3.8063 (HRV),4.4440 (LVA),5.1315 (GRC),8.0534 (NPL),6.6809 (CYP),6.5963 (NPL),6.6898 (MNE)
LBY,Libya,1,2.8498 (GAB),9.3546 (GRC),11.2017 (MNG),5.3362 (DZA),7.7672 (PSE),3.9692 (BWA),4.0991 (ZAF),7.7845 (TUR),3.2652 (BWA),5.1515 (BWA),4.3203 (CPV),5.7155 (BWA),4.6030 (BRN),4.9126 (GAB),3.9878 (IRQ)
LBY,Libya,2,3.2929 (DZA),9.8573 (TUN),11.3733 (ZWE),5.3422 (COG),7.8803 (UKR),4.3382 (ZAF),4.5930 (TUN),7.7891 (ROU),4.5167 (TUN),5.2504 (ZAF),4.8698 (PAN),6.0818 (TUR),4.6681 (GNQ),5.2331 (BWA),4.1712 (MNG)
LBY,Libya,3,3.3005 (IRQ),10.0340 (SRB),11.4342 (LVA),5.5936 (BRN),8.0019 (ZAF),4.4848 (DZA),4.7200 (BRA),8.0500 (ARM),4.5225 (DZA),5.3030 (NAM),4.9287 (BWA),6.0884 (PER),4.9220 (GAB),5.2861 (MNG),4.2997 (GAB)
LKA,Sri Lanka,1,3.5093 (MDA),3.0238 (PHL),3.0641 (ECU),3.6385 (MDA),2.7657 (PHL),2.9268 (PHL),3.0789 (PHL),2.9259 (BGD),3.2557 (ECU),3.1568 (ECU),3.2401 (ECU),2.8033 (EGY),4.2041 (EGY),3.3774 (EGY),3.5872 (BGD)
LKA,Sri Lanka,2,3.5381 (TJK),3.1146 (ECU),3.0803 (PHL),3.7589 (ROU),3.0462 (GTM),3.1545 (IDN),3.1012 (PRY),3.0541 (IDN),3.2736 (PRY),3.2466 (EGY),3.2587 (GTM),3.0143 (BGD),4.3933 (PRY),3.3969 (ECU),3.8025 (ALB)
LKA,Sri Lanka,3,3.6641 (IDN),3.2845 (SLV),3.2634 (NIC),4.0557 (ECU),3.0614 (PRY),3.1552 (BGD),3.1283 (IDN),3.1259 (PHL),3.3288 (IDN),3.3737 (PRY),3.2699 (EGY),3.1950 (ECU),4.4492 (GTM),3.6813 (GTM),3.8456 (IDN)
LSO,Lesotho,1,2.6622 (NAM),2.8507 (NAM),3.0650 (NAM),2.6571 (NAM),2.7251 (NAM),2.7200 (NAM),3.1883 (SWZ),3.0592 (NAM),3.0277 (NAM),2.8306 (NAM),2.7026 (SWZ),2.6988 (NAM),2.5478 (NAM),2.6650 (NAM),2.6958 (NAM)
LSO,Lesotho,2,3.5998 (SWZ),3.4173 (SWZ),3.4937 (BWA),3.5348 (SWZ),3.3955 (SWZ),3.0477 (SWZ),3.3068 (NAM),3.4003 (SWZ),3.0470 (SWZ),3.6807 (SWZ),2.9552 (NAM),2.8459 (SWZ),2.8906 (SWZ),2.9704 (SWZ),2.9597 (SWZ)
LSO,Lesotho,3,3.6286 (BWA),3.4839 (BWA),3.6746 (SWZ),4.0458 (ZWE),3.7599 (BWA),4.0824 (ZMB),4.1998 (ZWE),4.5111 (COG),4.7671 (ZMB),3.8285 (BWA),3.7874 (BWA),3.8309 (BWA),3.7223 (BWA),3.7270 (BWA),3.9747 (MRT)
LTU,Lithuania,1,1.7639 (LVA),1.2591 (LVA),1.0555 (LVA),1.0963 (LVA),1.2158 (LVA),1.1299 (LVA),1.1342 (LVA),1.1771 (LVA),1.0276 (LVA),1.3815 (HUN),1.2133 (LVA),1.1986 (EST),1.3979 (LVA),1.3973 (EST),1.3340 (EST)
LTU,Lithuania,2,2.2646 (EST),2.1229 (EST),1.4042 (HUN),1.2989 (HUN),1.3785 (HUN),1.3398 (HUN),1.5188 (BGR),1.4940 (BGR),1.4632 (HUN),1.5362 (EST),1.3124 (EST),1.4496 (LVA),1.5225 (EST),1.4454 (LVA),1.5339 (HRV)
LTU,Lithuania,3,2.3958 (BGR),2.3562 (HUN),1.6101 (EST),1.5802 (SVK),1.3847 (SVK),1.5048 (SVK),1.5272 (HUN),1.6328 (HUN),1.6749 (BGR),1.5524 (LVA),1.4671 (SVK),1.5474 (HUN),1.7354 (HUN),1.5270 (AUT),1.6498 (HUN)
LUX,Luxembourg,1,3.4271 (MLT),3.1820 (MLT),2.8875 (MLT),2.8951 (MLT),2.9424 (MLT),3.2324 (MLT),2.6192 (MLT),3.6388 (CYP),3.0752 (MLT),3.0223 (MLT),2.3103 (MLT),2.9458 (MLT),2.1830 (MLT),2.8490 (CYP),2.6790 (CYP)
LUX,Luxembourg,2,3.5775 (CYP),3.4670 (BEL),3.5247 (SGP),3.3399 (SGP),3.4248 (SGP),3.3993 (SGP),3.1111 (SGP),3.7177 (MLT),3.6061 (BEL),3.2415 (SGP),2.9131 (CYP),2.9519 (CYP),3.3776 (CYP),3.4634 (BEL),2.7535 (MLT)
LUX,Luxembourg,3,3.6176 (BEL),3.4785 (SGP),3.6084 (CYP),3.6776 (BEL),3.6374 (CYP),3.5569 (CYP),3.4243 (CYP),3.9298 (BEL),3.6349 (NLD),3.3040 (CYP),3.4956 (BEL),3.2785 (BEL),3.4676 (SGP),3.4880 (MLT),3.2117 (BEL)
LVA,Latvia,1,1.7639 (LTU),1.2591 (LTU),1.0555 (LTU),1.0963 (LTU),1.2158 (LTU),1.1299 (LTU),1.1342 (LTU),1.1771 (LTU),1.0276 (LTU),1.4937 (HRV),1.2133 (LTU),1.4496 (LTU),1.3979 (LTU),1.4454 (LTU),1.5030 (EST)
LVA,Latvia,2,2.4950 (HRV),2.0476 (HUN),1.8919 (EST),1.5830 (HUN),1.8268 (BGR),1.6684 (HRV),1.5326 (HRV),1.6263 (HRV),1.4719 (HRV),1.5524 (LTU),1.5111 (EST),1.5229 (EST),1.6604 (HUN),1.5318 (HUN),1.7354 (HUN)
