Real_Country,Predicted_Country,Count
UGA,TZA,3
CMR,GHA,2
TLS,SWZ,2
ARM,GEO,1
BEN,CIV,1
CIV,GHA,1
EST,CYP,1
LTU,EST,1
SRB,BGR,1
ZWE,GHA,1
