,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LBN,LBY,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SEN,SGP,SLB,SLE,SLV,SRB,STP,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TLS,TON,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VNM,ZAF,ZMB,ZWE
AGO,0.0,7.984595643334093,8.427764039314441,6.631318059887755,7.615888026445198,8.140954470311497,8.614528098668236,6.0486053615450555,9.17426581700472,5.779464774663444,4.794829116870102,5.863570929777779,8.190014247113288,8.64044250680619,8.928934659079752,8.34114442385296,7.563281637995544,6.390397723715484,4.590642163658064,6.836320757327525,8.154650553812166,6.207045839550478,8.961938363764915,5.159156075176598,8.523609981954682,9.106574899539059,6.769394629357964,7.033158730062931,5.793095237218558,3.969538112660357,3.4033144282150074,3.2894743667889275,5.641348617170714,6.3482975186421875,7.491436896042423,7.148796084958421,9.432384452284543,8.862786136126399,8.911400273824253,8.039227631145065,8.959601508353455,6.113048058819698,4.4918999950752525,6.3360371883554105,4.543622290298283,8.536106585087651,9.120258372892948,5.267324012698028,8.783598785625383,7.120950022790339,8.744309236467217,3.9483242148505524,8.880849167765055,7.111806152069136,4.37111426186464,4.688314085511619,4.441410295403627,5.209925265230866,4.514872882752397,8.892286628202394,5.35886437545728,4.78737742360586,9.127459408648244,3.7282307740078036,8.528841506176786,5.461577059733258,5.585774696781407,8.96250698361448,5.6997061686417965,4.136395119955831,9.194317227177159,8.49895616196985,8.612436452137695,9.584067832759157,6.423094244076204,4.6279630183487335,5.775277351009596,7.427454547118878,8.949712077545046,8.04052963705573,9.336768026019204,10.96022191485106,6.434630459547216,6.002189280965586,9.016746248964992,10.667519672439738,8.809571812298422,6.229836586408522,8.54649638942473,4.8258167424307885,7.905186952611337,6.327182083401896,7.676794067664298,5.180264725178383,10.101442556063715,8.258451831049566,5.466501624889016,4.649622859130935,3.825748715872394,8.171829460564297,4.840091422233544,6.996876638565122,3.8396251039986886,6.096090249481513,5.575231714568908,9.303745053073827,8.609054582767953,6.360115073202257,7.805043263595674,6.978060838572119,5.22594503201463,6.452371669249311,5.4022364406399666,5.673430247626372,8.486677215275842,8.56438126154122,5.373930899911568,5.665212550369957,9.26253040875988,8.172397541097249,7.5673322571430255,4.557036711004794,7.801708531975865,4.640946561534553,10.350772933150338,6.501342099437869,4.417892026096872,6.395155417234008,7.763043599273148,7.046243085731726,8.662775016578554,8.713567802953287,8.423058889497222,5.4074740912772885,5.230248863826002,5.433303510189061,5.766159877318021,7.653305590779191,5.120374380734818,7.564404977978896,8.069336934849897,5.954360825647623,6.341221194559611,4.796261176394679,4.140174316940914,7.390203204666345,7.289371244673097,9.07997972778712,5.96139241128707,6.87741293698038,5.890683982758398,3.3484676967439317,4.812608911197917
ALB,7.984595643334093,0.0,7.363409511900046,5.106737895239044,1.693590796503644,5.816999378840259,4.844607534231302,4.684263461829335,5.621912285469923,8.090916818361414,7.929074653639293,5.739706472041644,3.213201506163256,8.768525144285954,5.262443608524425,2.615617799253356,3.480045781628452,5.396074645747162,5.198446564792229,5.237522631292895,6.0709397831404965,4.691866143966248,7.7624415327534715,8.374159712619145,5.572657715897323,5.866051102410425,4.483845771353729,5.615056604242105,7.43942682524138,7.104037291100229,8.909010628297075,7.3030920355632425,4.382283704540701,6.963180757793001,4.61298517505593,4.003055082825953,5.39033957453565,4.716370544474352,5.469027836927243,7.656745043235238,5.315873093206559,4.066350763844495,5.0830941391247935,4.158630970545543,5.390304941839339,4.5516257047140005,4.587943454253921,8.181277595946856,4.459594066144689,3.7860537035800603,5.3104947391178525,6.099945910677743,5.642543015213484,2.796557569514781,6.2194624117253685,7.521014815553779,6.825462750544044,7.557593778515652,8.562645702729348,4.507094537443106,5.355362517003991,4.822452243815674,3.255303139909026,5.996698691639332,3.8904037985073576,5.084233164630679,5.77326389238658,5.28094190531634,4.676930679307159,6.257811908094746,6.406013848858062,6.225231391032718,4.473237123527379,6.1759485780621155,5.193243792745958,6.508920531470029,4.591376065952117,8.293261634677547,4.962583159082774,8.669562057159311,4.452157184714553,9.181578855659138,4.608833132493581,7.763476766780622,3.4313540551856,8.177988657408772,3.5052756136453915,4.074969729060303,3.4048119693363934,7.533395650973189,6.223549147765054,4.807321469856823,2.5229980197730275,8.819330448583003,7.142166120751228,3.672730315094736,4.88755831917607,8.245909945530128,6.881135268822158,3.757023758589622,7.64246738488725,4.738997797929834,7.0161701284409785,9.505657870755986,4.2077344093974975,5.816972909687145,5.240794454594351,4.938900998556502,5.10977425744039,7.164106570893215,6.5794734716221965,4.6016148564636765,4.656206243653489,5.177190440506414,4.015569063933984,3.788263446088225,3.8810910343779375,5.0660324900741065,8.43592012906656,3.29713835531434,4.761346563251187,7.9678188325046895,5.348050468951853,7.00369139797446,6.387514308675311,8.537507271718836,7.7299728153999165,3.967267185695042,2.636314051272182,6.717731740707827,4.24716331458783,4.62279148986707,5.571119159294304,5.748600473815968,5.1558654105774595,9.726679755273901,6.97264661048715,5.217086496947712,5.231783910780065,8.055708897340454,4.6584901181590865,3.792380627549403,4.3105385265534615,8.079104612866109,8.39784783636734,3.617784975647551,3.991805310387743,6.653943793867125,4.770269602154061,5.089817628194221,5.321828573008851,7.448033943413939,7.8907693522737015
ARE,8.427764039314441,7.363409511900046,0.0,6.102122736181754,7.058665022144519,4.302171686098554,4.060814517329358,4.7982107888680225,4.585208114405866,9.7363994032232,9.951654964644638,8.524157046688378,5.736590882327576,2.96824657137983,6.0315826645507435,6.773305474259082,4.847146921590482,6.40364766226659,6.3128667789233,6.884466616026248,4.843113359475324,6.491389489633577,8.98448308962623,11.039696113690711,4.189316454398289,4.109020554675164,4.064878838204029,6.449135399367472,9.052903880937587,8.553141374994505,9.501806502028526,7.866862207865734,5.695387296047105,9.827449980211021,7.491483603336894,5.503199640741394,5.810705820947418,4.35028572120418,4.490533899489902,8.937787857847802,4.680501200877967,5.577325757976167,5.869146087686349,5.7820168255020485,6.832720729490437,5.708403745086548,4.8337361884085075,10.326149917877604,4.998026865631614,7.105713623338044,5.803773714075397,6.247980659238551,5.072978948166617,6.142705698556948,8.003982611887402,9.541418483450148,8.8581721827413,9.892406214806126,6.984134186474135,6.532080050446394,6.7784077097677145,6.484742190065612,6.722983771700016,8.729567659017077,5.110027655875849,6.975772773910824,8.387055460603031,4.510401158324882,5.271882264272239,6.012555646611168,4.46352449215305,5.140050465154575,5.85419603496047,5.676146332558047,4.3026582811222625,8.744157697596103,6.162565457071965,8.699334396457791,4.2153227603253205,3.3657920529223646,7.619945934241169,11.185005527147908,6.947871613958184,8.794209224749213,5.935860029287774,5.149860250338768,6.011244987621527,6.5909023845316925,7.357598302493295,9.247863268364902,6.132084262776304,4.693544858256112,5.992910459672365,10.222200756517832,6.1420130124259105,6.263378479899364,5.582504772650979,9.668059362603833,8.489228013623539,6.132534543867258,9.75458265206941,3.8254535152081273,7.631477491785619,11.064898576398141,6.462636324913344,4.685644957629828,4.1038377427128285,9.304188255439973,4.31248472413851,3.1783680884876064,9.072070626347545,4.924306607905173,5.291761644805415,6.643993100131487,4.992982083067502,5.59295496790523,5.686966528032349,6.802747449573882,3.144396244651139,6.198116905820003,5.078113232454807,9.799199384573301,4.754923149243043,8.437124773510515,4.797094213320139,9.112363672570806,9.88411256891004,6.334092037970029,5.616327410898051,8.798086043892528,4.856394276198554,4.7101273056771715,4.432526782811536,8.549091091230174,8.613680040132245,10.865380503808131,9.460770149136902,5.245351666114539,7.855407311018031,9.586816963746399,8.17946997932644,5.8012801403533505,5.597803021138695,9.556904404110583,9.483947564356166,6.099518336140431,5.949686781149266,5.950227347784129,7.290917852092654,6.145260249277992,6.743860499463465,7.877006482356163,9.066578223070122
ARG,6.631318059887755,5.106737895239044,6.102122736181754,0.0,4.913557363107644,3.3626982459304786,4.695024806116765,4.735644373221014,5.148324709589449,8.47378302510345,8.255200790328068,6.139825649927705,4.555958882727796,7.081060210410771,5.230872183121916,5.0917028075281445,4.264380712778155,5.794198110750298,3.5139043149970006,2.7320368111575593,5.818470200266215,5.908450554890692,8.912938041368067,8.764173972759485,3.8502156886959367,5.805271843622473,2.8166651301793446,4.254424899254973,7.706096645440394,6.741769025999704,7.878324087622508,6.984611376145552,2.6219710351275856,7.782161050999896,5.810648619493992,3.623166482609329,5.913594299735846,5.123890890503466,4.2986682842065065,8.346112145404224,4.670633611817664,3.4056434099783885,3.779782791676021,3.852739774688294,4.1174407508082265,4.053226954030392,5.161458726767617,7.993539036946898,4.439155439753605,5.330925020173575,4.236997971320777,5.679211418339453,4.086479367562279,4.131899929951493,6.394334050148631,7.989663729459397,7.089363541955893,7.672932195258638,7.5064993331665715,4.771435137791548,5.094201907148164,5.290395063659345,5.112124547067148,6.11636155790228,4.759512668601818,4.887836798587963,5.7928170702467074,6.270051481287661,2.6005999234273744,4.792281275247667,5.477771475857505,4.657116905795339,4.15843321716452,4.629988835801418,3.707265415907815,6.074875379534361,5.075923592588256,9.104216140788644,4.456390533463587,6.399399134094178,5.068742181230996,9.004047153246677,5.415456851311776,8.088644546074258,5.094011593088916,7.750629354114394,4.906579226175811,4.848363969144085,5.47297652223199,7.540454242519741,6.595431983803666,3.6219749263590657,4.912876972058957,8.855177866596488,6.979576954488258,4.746082001607166,5.157650281899076,8.257849829694552,7.25493194439606,5.506965591119325,7.367124746860891,4.649270597565585,6.34911347649917,9.531061226898906,5.106021252035595,5.1667833056476224,4.050728070524937,5.823627164664672,3.447648889859393,5.362344185729662,6.088005866761847,4.605215148312699,3.4960865538642483,5.12120168873763,4.464756602597095,4.413558630935168,4.572850806712585,4.441327705857872,6.801460008110342,4.399139589098145,2.977892940475313,7.985781450115591,3.8590293301047827,7.0610441770089,6.73970291843746,8.613265219456915,7.918013533400169,4.707926227478167,4.313738761387917,6.993470389468039,5.460831462880398,5.637361704205862,4.240103219265544,6.81194742290491,5.0716679865365215,9.794300336091318,7.922039860798823,5.568325863186408,5.871331445750193,8.079415391913765,6.572172868956959,3.9007486505348443,2.656837599011981,7.933436840137717,8.104956597871714,3.5858446148868497,2.9200627444884506,4.181859990145438,4.137171174109973,6.213456912001264,4.18251326611979,6.8091847013109605,6.629452422278075
ARM,7.615888026445198,1.693590796503644,7.058665022144519,4.913557363107644,0.0,5.499898503577908,4.5815484848409325,4.653479455589729,5.268304677201812,7.826170329953547,7.6457093148933755,5.674572925409436,3.1368883812946198,8.21546463583085,4.760586217023942,2.6247902571945696,3.3876713890400403,5.291550656008594,4.895101043352946,5.0271289762767735,5.854245236176033,4.827771830441801,7.081114650549576,8.088414888874054,5.151188399278959,5.464888182755155,4.174026035546569,5.371004767844909,6.930193813478065,6.744118893377567,8.50630930778173,7.077065345471297,4.142196108177938,6.906863810217705,4.207742705100602,3.5580622253092717,4.868348339542642,4.411503058023827,5.193735956384181,6.890309311050841,4.9168137967953145,3.567405974672803,4.74850006555485,3.7359470812634914,5.080472383329352,4.244292589639287,4.188948790473993,8.028743096107627,4.19607477563045,3.4470375283835133,5.0375133769234575,5.507949949852565,5.317858035751851,2.112610342299784,5.842117392132396,7.102998372332232,6.504634675820289,7.444145164633651,8.250600362549138,4.284399185948976,5.173824192892229,4.385314896080035,3.28925282395608,5.749906751959149,3.6775289178070927,4.940069882184354,5.596228666990279,4.628468408677005,4.293271840582246,6.008340320360394,6.032236104223548,5.72811101993702,4.396220009571486,6.050516126700082,4.7902226695635415,6.333754336325571,4.208075334192958,8.150272631283412,4.828035689868125,8.459195764142272,4.449106913773023,8.050032629507896,4.553888238021143,7.379934076718742,3.179061834533142,7.753925645058402,3.2141151914903934,3.6379866579688076,3.7482076932478186,7.3407705516390465,5.793988915512866,4.5484152753349765,2.2835866275504957,8.647355992523188,6.348094923276472,3.3762530865335374,4.40991453443888,8.051328086606208,6.417385023889569,3.507725267789975,7.463401198039067,4.223756108960308,6.540518767355051,9.436384646907532,3.9615077987411027,5.434735303628363,5.046723286762714,4.778686816080838,4.719307199722869,6.8240376171688135,6.51727017767158,3.9232858330980807,4.352653741784126,4.693869049089043,3.729403644934626,3.702454451330777,3.428199871399727,4.494525862936684,8.354755062918219,2.952290190601816,4.580618687815658,7.703440438732539,5.219637909083303,6.573183635922875,6.0361611634929675,8.410962358584358,7.602037028055824,3.7545186452842034,2.5072986847525875,6.276353500589994,3.8818231905911937,4.262599851024635,5.204149330722636,5.265964114243443,5.350689737997684,9.7351548588678,6.703150307966449,5.117710175013824,4.947413565402508,7.955357328996801,4.9614731623264,3.3181027743403635,3.7117937056998382,7.896616558410785,8.209800805868923,3.607623525224772,3.822695568802101,6.375024849302122,4.823162860278329,4.923801982521877,4.743226122147001,6.992375227013919,7.619051942532818
AUS,8.140954470311497,5.816999378840259,4.302171686098554,3.3626982459304786,5.499898503577908,0.0,2.6639054915759144,5.459505158915304,3.27945411417513,9.12651524450862,9.260071931218125,7.457871123688901,4.388633270904196,5.342652779569422,4.332501369623464,4.932803243099308,4.2028257871888774,5.636798555383347,5.297983014481776,3.8223071166253066,5.037704847683477,6.312313496178071,7.89402128455209,10.301506700951565,1.29763690083393,3.656057345361302,2.2986007949324936,4.627709057807605,8.123244833815509,7.731599072172786,9.414227945504399,8.006867715868633,3.666456143280782,8.558709938983752,5.868813872814437,3.365490213664647,4.372583270065303,3.6555753199012346,2.3976766085033656,8.302400916685073,2.7404507753833185,4.114038098169278,4.551388719504527,3.9239577639307455,5.870685774641254,2.8706005044275336,3.7301957929209717,9.3765007526213,2.6528740901573094,5.6790157008220365,2.729308879020424,6.294653055817817,2.3389104300275796,4.641950087853743,7.77715057405601,9.290286538484205,8.21761097808587,9.033287034014167,7.922080329411686,3.690501813170023,5.634072891075095,5.878300632527909,4.61549598696,7.8309918349298,4.092016677962696,6.044090879871241,7.039418526815698,4.902565868632089,3.643457159264064,5.80552216286273,3.314767624859033,2.489369111630455,3.0047400416398222,2.788490975523312,3.5091834485354934,7.45435206293141,5.605750937114345,9.401373493975862,2.9565049243461465,5.223395233418715,5.226875872014177,9.107692071221429,6.051065773565737,8.451785113297603,4.647453710751966,5.6340952097607735,4.348150303218361,5.0738850365329595,6.089377287649445,8.58225338497217,5.703125807346147,3.9498974972906695,4.84855764676636,9.824081125452112,5.629913337211884,4.425797705528757,5.569621787485755,9.346242117671315,8.00128412938544,5.013966085430867,8.63441561143287,4.0124091591020745,7.053601399578003,10.579684833292195,5.720733857521877,3.1308280430877016,2.2258655964714356,7.586264635847334,1.73399781422887,4.19698361807733,7.532793645824315,4.130556342964254,4.073361190283135,5.687044639701652,3.4226115670923942,3.3988937625236497,5.094304977026817,5.136317542907533,5.290266287142936,4.520241054711359,2.7583771022595474,9.051812677093153,3.2110931612027804,7.6763438670884385,5.208192732447337,8.84502598725036,9.377473031274494,4.9859255634285695,4.099565522802213,7.402264064589169,4.204160744992627,4.156529792879075,2.3499343165022686,7.705525704866051,7.264996682425819,10.848707222331319,8.504429110912756,4.9987558999942285,7.185849203111954,8.139576916396445,7.0412001109975435,4.327797202003936,3.7603355295804417,9.023032745609697,9.170040224951524,4.607744051013721,3.4361030281876084,2.8073595595613936,5.853616463901278,6.481484825594781,4.814402970171916,7.811727967015441,8.705306542986872
AUT,8.614528098668236,4.844607534231302,4.060814517329358,4.695024806116765,4.5815484848409325,2.6639054915759144,0.0,4.94308528104916,1.8485552348131882,9.040218168322953,9.075060922757107,7.496210650162006,3.1007216463638785,5.505169095790943,3.8792376827829633,3.65453300072958,3.1943662136006585,5.091766420925173,5.636846286954349,4.799284087464818,4.365183463594615,5.574222836469319,6.970945367277705,10.186236649093244,1.921141389298153,2.3812367467495763,2.7973351882858535,5.144557266218686,8.03565943013288,7.892464594262321,9.597776796116827,7.837769727894429,4.23492404867665,8.488066336723453,5.113894161577251,3.0642349923279864,3.285697075157102,1.9038875622490863,1.8280858232451251,7.35273097553977,1.486534955518915,4.119731200563714,4.998481001572726,3.906734621079859,6.277097155340262,2.618997873306151,2.191839085356501,9.547290010451889,1.2976381286972372,4.745868186583953,2.4810525768603457,6.215801088586737,2.284794804350317,3.7781370110154553,7.687656982532096,8.95167183758672,8.250843778326868,9.03722047170848,7.826605588247839,3.265290632782095,5.673006917729585,5.472154472815705,3.056927316510749,7.955308594868471,2.371728911718974,6.172422346344368,7.150126735854109,3.1551062390664213,4.444421834063074,6.028373735757329,3.2242499644515368,2.903166059553174,2.5358903862538407,3.3351303786389317,3.976923342703036,7.655658469954793,5.01177931442273,8.967951085884149,2.3862572749633606,5.668188820858593,4.755743124536112,9.094119230115442,5.670834327043492,7.766031943123523,2.981006508445713,4.821689957509585,2.7571020838424154,4.576102584536238,5.02246397836916,8.506300175994683,5.072345075683608,3.9095289767877106,3.5769980009264253,9.816329278911194,4.833589142145598,3.3844539687607624,5.269271719485796,9.138829257821632,7.876947386736034,3.523074405883419,8.691916043304971,3.452107705935153,6.9749106467190565,10.618179619331238,5.157861938763961,2.1198547005682786,1.7602142829765368,7.602836159120257,2.588313659654688,4.402954944429357,7.910590034789288,3.488256594188821,4.342488167658392,5.487198809925299,2.0618303815660624,2.0956304465787103,4.629988155792813,5.152898641915407,5.3995463316059675,3.4387365767201263,3.1810706961573674,9.097863740018846,3.3687565562772317,7.627277154929162,3.753575254477947,8.675559310692691,9.48077837678938,4.298572632672619,2.830389567150013,7.221756101026526,1.9173608138501539,2.1996575594947334,1.7813537324159991,6.961541269586696,7.435012075103986,10.866663169885056,8.151084942041125,4.198023385648437,6.997188250053445,7.869085142323978,6.106685516370041,3.927855706749977,4.207482664685066,9.220687509895953,9.394397095563631,4.1993326215443485,3.6434024206563147,4.125349328137464,6.284106347764015,5.624488498850182,4.97132998080881,7.705018368157484,8.925514433979313
AZE,6.0486053615450555,4.684263461829335,4.7982107888680225,4.735644373221014,4.653479455589729,5.459505158915304,4.94308528104916,0.0,5.997016206907788,7.794870209180376,7.3632397059797805,5.561517851229993,4.622787315109713,6.249638485685293,6.4052928298854255,5.167578271500412,3.420350856216334,5.584553560823538,3.6406852619791854,5.73978646752451,4.512236816706627,3.7541008373170013,8.465790352470172,7.992236314834025,5.35377244817372,5.814650759884013,3.803678736611869,4.876035446477608,7.265603955130618,6.244877469377657,6.84512698583445,5.553971756863102,4.033178846098218,7.786632814172839,6.502221345712765,4.9256000217373135,6.7893728861720595,4.6924006279320345,5.35156856714029,8.443893080695505,5.736268678809432,3.859829717890712,3.969503152083944,4.230344654658374,3.8916304615908874,5.86664817055294,5.249926537231965,7.440385834247378,5.316698627901633,5.192236108729776,6.303058471701309,4.361834851341888,5.962988786549612,4.2553820445268515,5.014467844779692,6.5485603963030306,6.592493300229386,7.404215975589031,5.735273849425412,6.603157940458546,5.096571677565281,4.448336417313994,5.732599977584628,5.724074272057922,4.534286438995466,3.972090713449147,5.615903223865169,5.0927906745367055,3.382159475741912,3.8781225645734185,6.283890075080809,6.401828425477104,5.817222312727369,6.441985544249445,3.4077058020059465,6.202847554910757,3.6722496956962836,6.8602523624106535,4.63112065409082,5.727586149084667,6.820825835277954,10.274285982990275,4.436072666704312,7.0078077499372,5.054956221591088,8.108773986788547,5.342615628414989,4.690483754855859,4.890086188253952,6.852242154030503,6.460593599042289,3.4981326033634885,4.378294095811577,7.76705095404169,7.685982027846318,5.588237916466705,3.528174867282695,7.186685519527667,6.341260928531326,5.251126167231238,7.251066808664778,3.180421919590423,5.943630509420022,8.56002710268572,4.214006938097933,6.222784649728555,4.882580267842173,6.571805009612048,5.011283454023334,4.38981944297593,6.441407008214865,4.351097474411206,3.643520757965739,4.582664134367255,4.482025290357561,5.3776328453862,3.071139415613403,5.464436998438579,5.694516024167937,4.502478641589067,4.216750972225522,7.41112099087321,4.3270928033773775,6.480658785583181,6.621356491388269,7.6992950036876335,7.0507685688658155,4.667547444176824,4.090744231506566,7.911612735336067,4.76010370056477,4.9073493065172205,5.535984717109887,5.701203592270357,5.561228740275805,8.27752501217634,7.215619122878935,4.260911111878404,4.430000550202121,8.396109639160896,5.988063154617531,4.23758678671956,4.0506494328099025,6.994685144945521,7.043752132631166,4.096004869468915,5.127269139701564,6.716906393246877,4.615446681404574,3.6639195823916335,5.331444207957141,5.594765722373523,6.151473042300016
BEL,9.17426581700472,5.621912285469923,4.585208114405866,5.148324709589449,5.268304677201812,3.27945411417513,1.8485552348131882,5.997016206907788,0.0,9.659026807492047,9.764445094106526,8.512745635746317,3.3558097378481966,5.9465810037375615,3.867195806521158,4.20719442006398,3.8414409589584295,5.468329096072233,6.3120603210530755,5.177488257325987,5.245608108511574,6.64862667903714,7.518294353222805,10.686775321257482,2.461705769643793,2.9142807598204774,3.6155953244056986,6.114070593684459,8.75146311220627,8.632524417330057,10.150251050498452,8.292306088278155,5.028037787502737,9.08672796826006,5.104380598638753,3.5248397479471003,3.02329122503396,2.773092176773321,2.485338166263538,6.8401163147058055,1.4187277050583385,4.855915944077374,5.726858371190204,5.007350792162319,7.0782477493883365,2.833882768498793,2.5550922697907494,10.407265229795826,2.335184779431359,5.2096804335916005,2.4225891223700016,6.83615346962778,2.4480286890620344,4.2228518674983375,8.459813230212575,9.583215564085148,8.80472271027107,9.496045866098472,8.311785155738328,3.11206298601915,6.464634215584295,6.08720500185793,3.4274395364207995,8.55827010734271,2.7471700437509567,7.254054043570776,7.998388735382462,3.892704265710709,5.255187717402802,6.672021505532125,3.504106479978749,3.184595650140622,3.0437016571865088,4.022910393211809,4.961677288116591,8.336588047336686,5.850475331772814,9.883120916250551,3.501038787568447,6.015079662577049,4.456033398012742,9.359956797407401,6.889017058325143,7.991455606706502,3.298129738713022,3.929820191705782,2.8778580213319502,5.324129016928332,5.72628084472235,9.109491604251069,5.407271671716804,4.5692180509388916,4.066198092041681,10.591951390166301,4.3877540298192725,3.4293882654094006,5.981984039138332,9.618096423339525,8.50399641464273,3.9864753111547673,9.263261515822828,4.3845135464728,7.299389436034964,11.421407349608392,5.87904000721379,1.0497816656476548,2.7800994760644797,8.031752017890954,3.2679301474642064,5.160417618463235,8.663374690798442,4.297223920894532,5.233774914727022,6.303882674247945,3.115370331752936,2.6513017785197994,5.679210154854374,5.285319339460202,6.098297590052884,4.267358028411997,4.027363098124371,9.709881208783234,4.132314017608217,8.333737698928237,3.2382044383514788,9.314679391762644,10.17190143757212,4.913163928360456,3.553792771894167,7.088949061032439,2.521351083144339,3.1030029538557047,1.94736137248282,7.557407133187172,7.668047980955394,11.691126210556721,8.836343523892582,5.154708473652983,7.994428271381598,8.148944503865,6.745968046551268,4.253353140120241,4.787371818508145,10.160687038155476,10.262552705818115,4.443713196846326,3.895726078463851,4.514163818732056,6.997529101603604,6.593936108734933,5.195761486738418,8.350723105183953,9.369674341379463
BEN,5.779464774663444,8.090916818361414,9.7363994032232,8.47378302510345,7.826170329953547,9.12651524450862,9.040218168322953,7.794870209180376,9.659026807492047,0.0,2.8934609466268406,5.527744603200619,8.448486384444717,9.493663103054045,8.870652035091041,8.701134038399704,8.442080278960722,6.230336896255382,6.19829438704189,7.816113408555301,9.827400904597638,6.135105762265504,7.969863597465481,3.903942893250426,9.370188710015647,9.214138337523108,7.97333199135784,7.702580349715182,2.221604012908319,2.5576369071674994,5.449993992080265,6.784281651801662,6.918749856272046,3.236506444596011,6.7152618384119895,7.3656596039594096,9.232296173626485,9.026188184863905,9.419704128273985,7.424735971970541,9.33551859256176,6.511776866501666,6.333908270405333,6.069452894997271,6.939713610730358,9.259625806443248,9.415536649927692,3.971536210323558,9.302279191546493,6.037582854587854,9.12110460871502,6.641832044596949,9.177929212309452,7.790075708597166,4.188374463548931,4.155706059204901,2.84892566896833,3.371265821019205,7.504783856874222,9.149174872627778,4.270582158799996,4.660228781716753,9.169994537191883,4.845171127315861,8.717557708405623,5.901262442669989,5.573013769319776,9.293917138435537,7.800057581490791,7.2895577551027895,9.3864115357614,8.575568215882356,9.098155593161957,9.872871644122853,7.693487704778572,3.886219447709093,5.975986986108963,5.487455379823952,9.552839771346207,10.103469198506849,9.3037826890149,10.855249586148183,6.4891129363234885,6.650237129941534,9.292310221100733,10.801101067743573,8.973768659375814,5.786638249388626,7.75930119762638,2.9422613301544516,7.034084434603664,7.104680061464512,8.462715990116081,2.391347663045995,9.523560332675089,8.715501854339756,6.675813909639419,4.13569717851767,3.3885569448983626,7.63937411793876,4.317623905028262,7.525797872660783,6.143236832781655,3.1161668597420067,5.120185006779543,9.478019773028882,9.520424431458755,5.545532477906064,8.447184685656097,8.594824872563246,4.032695009070681,6.62030969036913,6.08299739589783,4.936999585256373,8.728891747031895,8.700974208819167,5.716781894050568,6.970551754935907,10.374667244048755,8.26996129945978,8.614355764031258,4.476010643356966,9.292373020781195,2.393445258736424,10.58979401138645,4.575471272819458,3.0381838965143517,5.8647747711490075,8.439154752332337,5.964300451004029,8.985839054260802,8.948892766057554,9.240691327786417,6.494675396460178,6.7682469413148345,3.7291595466287264,2.2422172708527044,7.044638487455162,5.7491347101711305,6.384282355261552,7.0309119832746045,6.894898962617626,7.740111744889481,3.1321093894961427,3.6346492488507556,8.60497416192586,7.91000645115296,9.547508703968989,6.5476309277369,6.382789095143677,7.523991527946993,4.5206459460696164,7.489155222668717
