,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LBN,LBY,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SEN,SGP,SLB,SLE,SLV,SRB,STP,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TLS,TON,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VNM,ZAF,ZMB,ZWE
AGO,0.0,7.059054357453195,7.966206127075399,6.866936550763516,7.348073091310455,8.724890857338176,8.909493473936456,6.088959180050641,8.753471938633206,5.648437567853591,4.650505710008001,6.605579445024782,7.850971162137395,7.863307052889811,9.123994024656534,8.58119377937699,7.171568217591868,6.420017721051972,4.677646905191544,7.1289463556509896,7.494421411866435,5.74276972798547,4.621944347597862,7.079401946692324,8.693808004279743,9.300705404163178,6.879597927229278,7.163551409658958,4.872527553387339,4.623916319425881,4.115384036519771,3.1098807526310788,6.19705506937368,6.385676111661176,6.78200744147463,6.4890556671709065,8.794782561998765,8.8464109106353,9.460377910026283,7.396073404654095,8.99726626121697,6.070391482155477,4.286423997614603,5.43724502158736,4.942881815837942,8.642074647119529,8.853950440423706,6.918959035624965,8.856979536075148,6.510511623919481,8.894556545510435,3.4907493758544836,9.101117180959179,7.58769809934156,4.621797771694812,3.4671651889299873,5.489372792121082,5.432853919070425,6.129831689741473,9.018898668324944,4.875268411294483,4.797576016606243,8.417581476532574,5.5911743914042065,8.088451446552638,5.152804532225466,5.312856190444837,10.185704329413243,6.0647302106175145,3.3484024934296643,9.449152602770061,8.190934164198035,8.645668035383297,10.461260231403998,6.262501493231124,5.377047924318027,5.84431044820786,6.174971662163652,8.902527106962898,7.881558832477081,8.047948988870742,4.983736517630381,6.174956687662259,5.324861022017723,9.217009998998668,10.513564098259717,9.763189575806765,5.5525345743677015,7.415335818831801,4.663103161808887,7.53816491909278,6.379341035669329,7.9407530938206055,4.999949596064951,9.195020457025525,7.967782874432366,4.830134215001571,4.796683635543562,2.372683541856256,7.700277932666208,4.837506165997263,6.578233235146881,4.282430221527792,5.825073565194275,5.212130772905078,9.205797179531771,8.489452232381147,5.441703743461586,8.38086697218086,6.2155948356550335,5.931411690300545,6.863520982588313,6.242756807825726,5.14061729378056,8.393178065364392,8.40518982362576,6.065217476595362,5.386592530416434,10.06666343152297,7.230841989173796,7.505542586497222,5.381367134057615,7.7011518895986235,4.909046156168191,10.25277820731077,6.691391979030131,5.294280154016548,6.031238725487953,7.554441644391658,5.379360406227124,8.702002780335778,8.96048721932017,8.811459641168659,5.22325078355262,4.425425034674857,5.697139661294304,5.301381358265691,7.190442737936765,5.4215514909437355,7.946865224032016,7.598151837578486,5.695560291262079,6.109674794736062,4.563181668398929,5.506905199026457,7.30787600328375,7.40829959804429,9.447082675427174,6.310996625369027,6.306790400554377,5.724522629674473,3.4090416320452235,6.650704117992403
ALB,7.059054357453195,0.0,5.941336478970765,4.36705816564338,2.088592788738334,5.385839606972403,4.641741952901819,3.6086823829362906,5.384380425161084,7.10849733331371,7.1297355634774044,5.607269943791064,3.4620462666059475,7.1649468609317575,5.6151775476732535,3.578503283284958,3.533941612285085,4.170739292532253,4.042271393670708,4.894415052487718,5.511209125296391,5.087314245799472,5.705044334315002,7.071797439259909,5.1853039068442826,5.227296250332229,3.270182570949662,4.903560545366366,5.96287636637104,6.197213480033617,7.393681883080237,6.773699934150418,3.4387728367635924,5.918914743940904,4.3434904032240205,3.1131793867029613,5.0112524723135445,4.63545498386548,5.290402682814316,7.655006385543752,5.316836939467327,3.630538062154933,4.003701023437883,3.3362514212342007,3.841475364621491,4.7033268055695645,4.2914724380997855,7.821276082837295,4.597596575079462,3.6260828839402373,5.282613339890254,5.583200216318338,5.598830840650739,3.4167465159244466,5.596544169101953,6.5286777950400285,6.419959287660615,6.787555812770864,9.602355385187593,5.273959328583931,4.609360451131249,4.61140834986147,3.714471781474433,6.662561043772135,3.783768671727865,4.430416193150706,5.467868735645976,6.248079461582869,3.86426054743406,5.3798834185600795,5.396025529312984,5.12494250664316,4.726926380666812,6.4498630091939875,4.148754902085845,6.140403539094636,4.1413022993433835,6.271906864463393,4.785450377060951,8.049706094982394,4.401882958980543,5.316065774101034,4.451554151862013,6.980487508371211,4.285502861018023,7.484519493933319,4.656129697963587,3.4799910232883198,4.145660939448726,6.506252442028943,6.149920128703943,4.15458230133599,2.8471665607777035,7.62084725357011,5.207044846374636,3.5079785672895736,4.3704333325667175,6.992428262021405,6.157173216380906,3.3578086342928546,6.95940848285103,4.041788136919065,5.224187408506128,8.213133696731532,3.3212235892984228,5.674777634650319,5.1199641758021315,4.901990097157187,4.451461641823234,5.503992489846009,6.786115836276675,4.508639658886523,3.6856584596957047,4.635091768389893,3.814558124236439,4.077392963771924,3.3812471876514736,4.776583278693282,7.674329979528489,3.369007502284598,4.492885325339335,6.022023656416695,5.106633829829489,5.934373756540907,7.1306978355400235,6.933043823153444,7.3207524135542466,3.398016652566625,2.878252751760721,5.8968644504964765,4.302446671370129,4.443388357008438,4.993984882952896,5.501459663774761,3.6426233489669513,8.279400704861231,6.687748685689734,4.658411238189012,4.020563978637572,8.975959047771775,4.9501680663380325,2.793241163270702,3.650426733815132,6.412445191783774,7.750309244880684,3.713882609764056,3.3139942028940017,6.344495953934969,4.9657010011865825,5.07080261550932,5.126705336430482,6.359800905875621,6.82481300325951
ARE,7.966206127075399,5.941336478970765,0.0,5.667558697836673,6.547465396498158,4.765952001249644,4.61631349908667,4.7019771424645205,4.811138012985255,9.026771433966765,9.62020297930931,8.173800704310663,5.532299283126001,3.0669731136377427,6.592093187361687,7.184753452694357,5.144891026827904,6.343022554028001,5.696110176947115,6.702441117195131,3.970755555295138,7.433743967230742,7.311546415939917,10.62305104400781,4.659935205457617,4.431700578866789,4.099102599674651,6.419271260995614,8.77907023121584,8.332695703797743,9.174549701672927,7.37225162232519,5.871843823922716,9.12090910611537,7.19127250393703,5.153424899698779,5.16313297459624,4.845398751773932,5.378732171746719,9.29405855983273,5.19158692956078,5.4780112818741955,5.275301284288961,4.785509406576295,6.0354935522287505,5.886853439586686,5.412007784451406,10.666616449431904,5.113300878012992,6.4333225708302075,5.929658714225883,6.0964430118584945,5.547375274616055,6.977278178330619,7.880854386511344,8.586562565757932,9.343825824610397,9.631649411663544,8.278845584945888,6.249641637936885,6.411148664123412,6.4909973541109105,5.800970644662976,9.180934699016435,4.995673437245337,6.3942005701268325,7.928875757845158,7.074369939008498,5.08332320662566,5.776603721649368,5.555263032154792,5.177127591069592,5.533385611840248,7.010137495066363,4.171860939268881,8.510506734876842,6.281628470342028,8.16499841407787,4.1108852533379405,3.924408419315368,5.911733769082647,5.082379563923028,7.059218037528162,9.376813052189146,6.537044422489304,5.647537847983893,7.098503050533693,6.3986318498947305,6.523992514423955,8.832948936643016,7.406091373143578,4.742151798586566,6.652755434855795,9.59604053093746,5.395899795841767,6.328948650539858,5.336266918867167,9.477190522756821,7.641655473574564,5.875332846826122,9.61242580196378,3.706236254452936,7.9294741132045505,10.295090359019875,6.461115826446267,5.1754024095896,3.728534334454289,8.34200768110204,4.9392274693193645,2.883912140435534,8.279868302172156,5.428118326400445,5.667548119012397,6.57364285814661,5.215811862457853,5.665593042845979,6.136020829532236,7.035081953950354,5.788481906321833,5.062483877034083,5.124022965419203,9.446663368564332,4.895319076719357,8.165317166564007,5.586902162917234,9.448681766059398,9.63345119585935,6.070658306008484,5.7698737248579475,8.232946518716519,5.602212070670686,5.228087271193689,5.299842278510975,8.678477283076786,5.861062144032852,10.192363502928906,8.952829585162053,5.506509706084796,7.191232522234879,11.104618130381322,7.647067372472594,4.9212486977148995,5.664984016102007,8.733464687871537,9.830907606434021,5.503665330073038,5.585675740581289,6.324502605343179,6.697869740432158,5.987626357984137,6.6052910888675225,8.350996566212581,9.50576274546775
ARG,6.866936550763516,4.36705816564338,5.667558697836673,0.0,4.284847627386036,4.356271708977621,5.015410234667813,4.428724494247057,5.338291246625116,7.728386327563368,7.575681485145683,6.026911054075662,4.568703041470614,6.555247831424428,6.215005353683336,5.600148295066677,3.6395171633990424,5.771532253980906,4.246151898942144,2.5028047653195697,6.000750117112805,6.0128873151985225,5.506238544269264,7.968596339899127,4.277763259557088,5.49882466625391,2.542197792741949,3.9771540752219234,6.6284174483242175,6.6452408449703935,7.330324043997305,6.917982153947649,2.913892920310802,7.041711168101533,5.809343350550383,3.397523965486975,5.616652337155887,5.3350198056004805,4.671913265907581,8.453797160092714,5.029114658468046,3.1081215571889835,3.708918010520047,3.391860920718195,3.860322305556743,4.812002968218621,5.4593149783146595,8.103771994500741,4.836027085289929,5.194139853139014,4.610091710799224,5.5939803721155625,4.731195498749079,4.072184137178637,5.78172204896644,7.053942325954334,6.906769554390223,7.3774488962910345,10.407629854862815,5.692529698791734,5.1251503494124755,5.429256424258488,5.057842628051699,7.814304361694219,5.03036098103496,4.1561272380052,5.254716566448716,7.758224365971115,2.8803693884110717,4.759106073372233,5.825452242708979,4.218241157759685,4.454042192295467,5.6813025195910285,3.343636897971239,6.223431683553345,5.714806446307094,7.606584014771231,4.138470699166925,7.642926806639883,4.330543309952391,5.127036558171465,4.50287834010425,8.02565142042614,5.69044321043316,7.547941887887799,6.500256384645523,4.632794062455853,4.345994397611561,7.224306382181232,7.1698418304476474,3.1916203963918246,4.95691613395267,8.003959857395067,5.609789208050165,5.059395410377493,4.255812651597979,7.3775735173606956,6.938901334028615,5.18284413857498,7.137647821335771,4.214769599834175,6.237723516699538,8.545139718246785,4.640378141187796,5.582774324693783,4.740597717926415,5.410256761548663,4.149437167389755,5.335536484637821,6.478721822206241,4.971620930547797,2.945731650240702,4.825870562200866,4.236135458574149,4.6870299507817235,4.058943845824976,4.54281747218071,6.3472138328692225,4.727139237067123,2.76171827748297,6.778027804939187,4.1960486142659486,6.47598195185754,6.935257022829689,7.860599498917538,7.345563675968103,4.421737606183402,4.136889029570457,6.753100544134759,5.329117325331183,5.90908575294913,4.584131407899009,7.0522747057987845,4.067244912090641,8.504252971179879,7.458939044584329,5.126101538099547,5.199538628811532,9.004484978088282,6.462119771541242,3.7988135288157237,2.6696043202021102,6.702918766324308,8.317766920254906,3.4718465427376937,2.6636510104612667,4.743181178602937,3.8388307575984606,5.278532956903275,4.5271824531367395,6.422330355543564,6.457279236917571
ARM,7.348073091310455,2.088592788738334,6.547465396498158,4.284847627386036,0.0,5.782918213939609,5.106861391219866,4.035685218154426,5.810230967122142,7.680772264617426,7.687415500101095,5.929769150522033,3.445275665673787,7.980197656108053,5.634198481889822,3.4604908638171343,3.566090414218037,4.532830825492957,4.45254307438385,4.81733918841309,6.088401540676902,5.796542909904934,5.788122874510356,6.878848535604394,5.493704005477871,5.7719092336787385,3.4738545053666416,5.440958080436385,6.356068638283742,6.548496379337631,7.685295567841508,7.102326094173348,3.5385029329740045,6.317821149387943,4.728669183786716,3.825468873392974,5.425897361662305,5.065960761860532,5.496005567356422,7.729195744419243,5.57927387587596,3.9805934726238394,4.356623949916435,3.7927876143270405,4.120548078673965,4.896826844195694,4.460811865421138,8.479330225819448,5.131687215285033,3.8802829434532957,5.529008509933933,5.848919404193429,5.859530934634639,2.791487260751053,5.942565658684964,6.843160505311133,6.772406774855896,7.149224538707587,10.269489706787839,5.253590589998862,5.150048173631845,5.2180574496360626,3.8224181672516604,6.4939265472374,4.205638989113313,4.720435541235626,5.794986625111647,6.889550783838016,3.8027064676149456,5.67569686519064,5.525988726940102,5.5279164907204255,5.0155409968655125,6.737978288993602,4.283190420353232,6.56807282307749,4.389726476957535,7.278176088256319,5.298129073853879,8.714488954284008,4.712403385860498,5.415136377583229,4.9476673793287596,7.28149285897501,3.88243218020953,8.000971455590468,4.313867440279859,4.3087200381370225,3.9413735757749735,6.900504075765901,6.905162125042232,4.372805473101108,2.71676637460285,8.256905716579148,5.48856629203279,3.5331969711282274,4.420712007781612,7.369648455375814,6.772270656135423,3.6048032612164587,7.254451301352428,4.925207885706283,5.557832735568027,8.772252661457348,3.6172577963052377,6.221670172372768,5.694755882741828,5.224053190200527,4.744321227003972,6.16328964853334,7.118677436977003,5.0162069477903595,4.005332770144673,5.443519756051258,3.9406579793923013,4.415118841680807,3.910041050125626,4.919829267556752,8.160574368328149,3.2894172649189897,4.249338989006663,6.348986434121,5.047445237102025,6.471618457842179,7.710280478042925,7.823209100511591,7.4737018072327634,3.7159096153239286,2.6626501049038933,6.128487486768724,4.658092119658656,5.0312964455119475,5.479142951872039,5.390579010072706,4.359514540335975,8.82137731947577,7.2838027892147785,5.541384843063999,4.293179701322849,9.216882106995678,5.188112882197963,3.1012953294822196,4.302696590516821,7.005574224959936,8.66464217735547,3.232532292552994,3.372797757119867,6.384816206864987,4.669380046694771,5.697341915903631,4.839332913735774,6.68135847364451,6.942778015973449
AUS,8.724890857338176,5.385839606972403,4.765952001249644,4.356271708977621,5.782918213939609,0.0,2.732451593687974,5.9293163955427115,3.152724013732326,8.668903810656996,9.312523847867075,7.883810701565158,4.002384247543447,5.422606179269886,4.581806619189261,5.498501917064019,5.198905915379639,5.501729613399895,5.790090691160448,4.417936423876361,5.2183880736125206,7.782560559974889,6.891869252087508,10.224466029125471,1.4752653696330986,3.246831984261145,3.5074181604469636,5.7596422805947425,8.392205042771149,7.70173728805698,9.817977769033146,9.022691740295231,4.196493393547594,8.132970397096171,5.773546329538639,3.94831802425656,3.4819748327354967,3.292420032429353,2.738711974031951,8.930267965376698,2.794157152311015,4.781306587643232,5.477366432040176,4.489112790280455,5.6727750041051435,2.751479439773146,4.172057150754792,9.924628877238797,2.4291485405805755,5.889265892720221,2.3487660546523412,7.273794414890064,2.0536942054626883,5.74004699136789,8.088523455152721,8.983328646555146,8.563022466526986,9.027204827853907,10.475344443035743,3.292328263888964,6.127434754743036,6.156815428129529,3.53753442850144,8.936754107953513,4.010676263101035,6.551906055282137,7.552093448723186,5.199506401002266,4.8137767868864465,6.38832011399407,4.016168267972063,2.1074766911487135,2.2668474061404416,3.088683878581496,4.791275589253846,7.5589427808988665,6.351482814686788,8.995655887500634,3.1587170924030668,6.0509415957568615,4.1643798119595905,6.424766610321044,6.632129669097892,9.080137583769847,5.197107768811744,5.52563310055656,5.2206387601845305,5.257439886024999,6.309747119573141,8.539109681753677,6.785144832057566,3.8069524268686417,5.1967448537242396,9.398745134152636,4.63108229716628,4.60820657204252,6.471730411883851,9.105373550871697,8.507192589923477,5.05461582210794,8.866955635227393,4.669481229022436,7.370555035497137,10.115368783223708,6.054056220509559,2.9435455251466625,2.5067154473308326,7.798268018967696,1.9967216212447516,5.041269837347886,7.765698340680797,4.8176129364196925,5.082399606268018,6.249374664142555,3.3157669621559025,3.156211259019169,6.213536754358457,5.81541471862676,6.954658969156515,4.544459880117367,3.6864365847155662,8.43195803811337,5.243429841443495,7.493836974435125,6.292961568175802,8.728060181371273,9.562475292379945,5.080117543754976,4.189283672738531,7.3810420791449,4.4904263011611185,3.765656709642669,2.694513753373222,8.309018545363301,5.4246760029556045,10.602262669490624,8.433930840811872,5.810476732440315,7.063674232283037,9.890405230276473,6.974592525908967,4.6633339651292385,4.308789293187239,8.57439273196298,9.743055757878475,4.645755804250989,4.1893745270637135,2.4739505035146467,6.899681747015654,7.307802942785069,5.160829538517694,8.51901123332032,8.808321126168977
AUT,8.909493473936456,4.641741952901819,4.61631349908667,5.015410234667813,5.106861391219866,2.732451593687974,0.0,5.463759303110456,1.8779640073248662,8.930240617153325,9.43919495747742,8.007651403045065,2.6992741844047177,5.846511844344058,4.401888913362156,4.228872706207292,4.1822712541737594,4.9950841466154285,5.648397369979434,5.2392247586358165,4.693125842822663,6.978083480042434,6.5301358984669795,10.04737393262543,2.1470615742107717,2.1534867253754046,3.392778385440497,5.8557260359572725,8.396297819115292,8.051591629024076,9.923388502644297,8.929007551234525,4.6983446599360095,8.218748483448495,5.205510598904838,3.8059566742293534,2.6309404714886058,1.445751600523893,2.0104821137407836,8.066919639841686,1.8273719206683137,4.896294256487518,5.642963567554919,4.475992632826882,5.916766734972349,2.9025982480744097,2.5702575588898102,10.099957332653577,1.4588141448684577,4.9101290961195785,2.4639353520505978,7.384437436982493,2.4087203543800553,4.917881951243906,8.183256066551753,8.904419964871352,8.956223283559599,9.139404029191278,10.625092225676019,3.4542595955996767,6.209915537952983,5.834949796626278,2.279680391193084,9.087281472393364,2.183310824103633,6.754651628063766,7.684075402794289,3.9229021818598957,5.3105782519882325,6.643793120660777,3.3256006503592723,2.800233665515399,2.287652466075881,3.959168937059228,4.715488001400528,7.736361390369784,5.6016279997952525,8.692189953730455,2.5286487704879876,6.686837981497391,3.8324384887239713,6.258357954233572,6.3542087859166605,8.370848232266898,3.316978699186973,4.602383278773453,3.647168090899105,5.133046010807025,5.331164272077654,8.70804764741641,6.309284604251548,4.138986760167504,4.054525254959642,9.616074411048164,3.16660390159026,3.4892118653477167,6.223662485971303,9.061090156006584,8.550043936645599,3.623974267966221,8.971695277108044,4.1233825926779275,6.892146348832732,10.224907745771263,5.576746026167231,1.9917222220197073,2.3327822094516293,7.9685169450172415,2.4954264252211336,5.07914506222582,8.292253573089496,4.128425550128426,5.078667493051061,6.435945165712717,2.053903644269595,2.187461441149575,5.75335376185111,6.043415464311293,6.551637692547993,3.7272063659575876,3.7576181773188555,8.554772363082744,4.657865150362212,7.66649548389356,5.116934795887002,8.419093117761108,9.983632216217385,4.59129030855306,3.2667214747597,7.275442295652893,2.5509595327150487,1.6582206063818397,1.9246329091255145,7.615874617395822,5.700085515989965,10.562074601099312,8.51528417134064,5.0183325123865705,6.805486345487914,9.394907416100049,6.224738520329518,4.123535158033927,4.872594552682794,8.824531404184341,10.243648266971624,3.826918986487773,4.08828142869855,4.067298506690674,7.11614125170425,6.793108086200009,5.475606383628478,8.678648177682854,8.409538854010677
AZE,6.088959180050641,3.6086823829362906,4.7019771424645205,4.428724494247057,4.035685218154426,5.9293163955427115,5.463759303110456,0.0,6.293902060748467,7.119250484876522,7.001071462275405,5.843430154322973,5.002541200742527,6.143667391463252,7.261172726610839,5.918143391725766,3.758798569920018,5.469697454765443,3.5318245303353,5.340856089846616,4.382953011221556,5.137845534395301,5.60526026967138,7.21045074455612,5.719939886353562,5.9637333037824405,3.620221829321608,4.456086139518726,6.202144855928647,6.149192729651789,6.631859210995449,5.227397247399297,4.128041075062916,7.0275863219516435,6.306853897503665,4.542659774789348,6.423177505797758,5.386151929864536,5.956093755807532,8.855966181679452,6.289856069729783,4.049400443932974,3.3106613929755278,3.303660645040081,3.390417444318897,6.190620714404751,5.710383377578301,8.307892434876937,5.640436103403417,4.980646628086705,6.490622769328986,4.33422927908767,6.461052921164503,5.319425379087349,5.69521839216474,6.069209698453347,7.375292451856942,7.187330129765703,8.125052611542865,6.896541784879801,4.923221022253071,5.239355843570894,5.4114861283651035,6.952352797226405,5.0381908568517915,3.54057080594979,5.2508245967415625,7.712482430855994,3.4836218442320286,3.943957269560832,6.607631464253398,6.029583315396302,5.911850366833972,7.334177389241417,2.9983194460091616,6.411575523661265,4.382768535232541,6.2385855036331685,4.855824751083867,6.663652031080548,6.009971161703382,4.009677913838754,4.825374281070197,7.293381407236095,5.904886953332112,8.350631358002406,6.636253315282397,4.515668009003284,4.631194215412273,6.742769448184638,7.693517246069756,4.075805769617756,5.33086903001832,7.308970304339376,6.518052103700217,5.723633253905535,3.7815427037084124,7.119014461767521,5.7745533812435434,4.9266049222002035,7.152851356191506,3.578671648127591,5.900867507230888,7.787203827597363,4.506830345289711,6.654761175544886,5.052424127998957,6.045846695677457,5.532767360796055,3.950161946763889,6.39789527436736,5.607064368691432,3.5980174386829358,4.585993154415805,4.704824026243348,5.747487133151768,3.5614437991891665,5.786645645891542,6.326962091854661,3.6540408100891506,4.309578999678201,6.838410890542429,4.138718699422351,6.244655523846809,7.442511319355228,7.794894822438564,7.1099079954127316,4.625796318757428,4.601652678036592,7.151204202480894,5.346958004104271,5.639267579075288,5.97317548360125,5.854763642448609,4.106529690713567,7.312555152613635,6.9226409355489045,4.312371423620308,4.251710205689778,9.82108562082886,5.979733945871973,3.7634970544447492,4.400042056167931,6.253045598309797,7.693424985815807,4.3351418915053594,4.586566193991856,7.0169002896831785,4.451736801613171,4.1003242393355475,5.429945878594037,6.061174840370923,6.994765048562257
BEL,8.753471938633206,5.384380425161084,4.811138012985255,5.338291246625116,5.810230967122142,3.152724013732326,1.8779640073248662,6.293902060748467,0.0,9.28364306882253,9.752416299810081,8.707386235273288,3.2750751598382943,5.666583515257963,4.120525903685028,4.843090597408958,4.76182957558313,5.2008639362782105,6.094949419501398,5.674198939759652,5.1547414288479505,7.460592798097932,6.358823860653493,10.702887432324713,2.3552905417492025,2.4980655420450977,3.8042667403265185,6.540743656376303,8.620679643700717,8.35428897469208,10.078281743924482,8.89929527960729,5.259703139523568,8.634254010260912,5.238280795889879,4.038774681495509,2.5146155302220627,2.1927064531191536,2.647543428057928,7.297427337833582,1.436338258399462,5.291780228181019,5.9029000519646875,5.014100614980179,6.458942696345124,3.126963820524568,2.6526398431644593,10.383872101853537,2.192070700867459,5.2654272229846955,2.540889247394868,7.3056240998234605,2.3865237782147144,5.137917822018537,8.355073971852653,9.158361362331245,9.019555343404654,9.444952780494553,10.547366753440018,3.6652062657456126,6.590471782646272,5.945168465649195,3.1647673508279843,9.39860834614213,2.317986307140607,7.375524934267391,8.14663284905925,3.845839670696144,5.766763086443192,6.722132921666848,3.4113338066765593,2.3703362673411457,2.9463183473290977,4.6894093984610645,5.218993079045151,8.080696060979735,6.0294501223838575,9.199412646675567,3.3462043847570744,6.585395034759231,3.6638982515450293,6.327255614404901,6.997939407025568,8.27853263195858,3.8432820042483637,3.6176050459030606,4.191943497965668,5.458205612128456,5.977979880199841,8.957395458350513,5.802405623969072,4.5498276776577,4.371827405146872,9.947270866852444,2.6858599347603165,3.6020331306903497,6.404061188211953,9.227017753309044,8.579290469934485,4.31014089382953,9.214995397213231,4.371094042681932,6.809854993757839,10.61949527894992,5.841255612565359,1.2346370184070166,3.0536572540855373,8.198544406431033,2.807083305935553,5.307393935031669,8.826781078853429,3.9429980753379383,5.7509085396153115,6.821810033397489,3.069205936342099,2.8141960411245015,6.3476427684748815,5.612529434173017,7.106124686422142,4.815132724743761,4.355913569866533,8.894478116919034,5.260018225339301,7.988799608231771,4.628583414371574,8.570644453008912,10.355542705299897,5.076680727470851,3.857155499740593,6.989107629398286,2.895378857114486,2.5950167813746616,1.809014591385839,7.956412220128175,5.956620699407718,11.008065004974581,8.77084500798341,5.762436324256886,7.264864870419856,9.119159492726515,6.9687239246322275,4.270675384867933,5.055947770510823,9.186628764145391,10.526818987554453,4.258994299464306,4.5527990986404845,4.293450013364097,7.569461751027243,7.385290702363971,5.46020914631826,8.721119047078693,8.605287887567856
BEN,5.648437567853591,7.10849733331371,9.026771433966765,7.728386327563368,7.680772264617426,8.668903810656996,8.930240617153325,7.119250484876522,9.28364306882253,0.0,2.733933491482428,4.793260704653025,7.819652021241696,8.56836455729076,8.617351974214069,8.799333950662797,7.995842339353966,5.840201489430099,4.2702776809532965,7.361908653514084,8.910136225157254,5.895048539566633,6.850913908959915,5.263887263335583,9.199935870190329,9.206962451526955,7.6509325742919,7.541676868819409,2.9566492531163053,2.115212467940837,4.479374631225706,6.907925876485693,6.389143941231236,3.129479120239529,5.949819829011098,6.629588048145366,8.552251847624419,9.09195758537907,9.700780551151173,7.838663300227455,9.413472577404397,5.781688087063336,6.077175257955065,5.474696049222248,5.4596464884315985,8.984374734361486,9.43241483934129,3.795747621806626,9.08874699912182,5.598708191272435,8.960348218885265,6.731313520445664,9.232613964550128,8.223483755500697,3.858111580033907,3.332400493229958,3.516058991638166,2.5507871311709693,8.347059988154673,8.806719700443416,3.652869250070428,4.242482749452057,8.337660850942783,4.726824371021718,8.672770406369814,5.611339421164607,5.392946835183024,9.857131781227014,7.3706763992461095,5.94459118799618,9.780999422759361,8.520438293984382,8.573130746580759,9.835374632849106,7.3094882878016705,2.8685362822819958,5.473206718598607,3.878109169446073,9.05829138990728,9.013556410203602,7.416981335837915,8.013201087674807,6.527041983576956,6.609909125496435,9.674288973604439,10.703391252474248,9.621223671192833,4.986687753712103,7.453168537910829,2.6237200333187887,7.253675349539182,6.493594635042312,8.43372361333193,1.9818353366712775,9.385680044818013,8.228865428436293,6.3901139184456435,2.8246123497923277,4.539621586057419,7.208319941307541,3.6831922293755994,7.204081443440575,5.692764867991331,2.8003545641552896,4.949060647378215,9.308589353601782,8.957970225334394,4.707672552389557,8.383005843398237,7.788949900316187,3.1817838405012,6.61005959215132,6.027323829061681,4.474294348633046,8.703697084205698,8.338244702339816,5.812213747781529,6.707079246305676,10.737064316185364,7.429196702356693,8.35038290388176,3.823602053718772,9.107611751352996,1.940720688853594,10.774552308671058,4.778558202526429,3.6200792762736147,5.268514356354431,8.176931551511878,5.446062594975423,9.317998875071792,8.86287186817537,9.277349085181028,6.169991832229456,4.804547737981049,4.202074798253538,1.6810405053716364,6.62845558903438,5.153318039795869,7.701941724867544,5.979479356106661,6.595274604554922,6.7200596979672005,2.7692598617986555,3.9458293894290963,8.000067914458922,7.409494834211912,9.452237075100205,6.99989205522921,6.431705068035742,6.892379613337997,4.665940372445422,6.289477892705684
