,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LBN,LBY,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SEN,SGP,SLB,SLE,SLV,SRB,STP,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TLS,TON,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VNM,ZAF,ZMB,ZWE
AGO,0.0,7.397551552654958,8.6233226400163,6.842571097538092,7.145719408583533,7.739891053274593,7.7965159264175234,6.728648012660822,8.396395599266116,4.253886005240161,3.662672578182717,5.71448949506224,7.246423545424374,8.63108032031715,8.705124500091634,7.099476832226948,7.781236365412803,6.083724450051242,4.991991659794765,6.126697364182174,8.673904823384309,6.3011655434498826,4.746807396196223,4.328653343614051,7.62242608328769,8.42903526466071,6.972975831219943,7.648817436708702,3.7312592814107495,2.9017743235493,3.674198048369451,3.223187432685667,5.267208098256998,5.011756643219736,6.858271395664368,6.987885600101929,8.737249483107076,7.598256669435064,8.248660308379124,6.548487851686759,8.094540751995318,5.598620829744524,4.578816392516758,5.611552617236325,5.205105342808476,7.607391789331812,8.023188580767886,5.009151679580931,7.8297922172520495,6.386315935506687,7.742368064453078,4.712770188272453,7.953759726981255,7.042371608210973,4.237227170930016,3.4666236694173653,3.7754563425410206,4.214086752932037,4.503998746224237,7.887145443042498,5.215118181721051,4.1667647054678385,7.456024800781302,3.918188273051768,7.531221065045662,5.541891389106976,5.812864403557916,8.194544317183961,6.0505170500618,6.006449661864539,8.701192642980152,7.536757145396521,7.793311603372003,8.826018887028097,6.489123250534967,4.026427520819664,6.293661877524022,6.357554729508396,8.76046340492319,8.63480066995093,9.092490404316877,7.063548610100646,6.933233436653557,4.528855896251566,7.510765347285559,10.292569455485662,7.703083276442086,5.236974405766569,8.14774114356246,3.7137158811327566,8.244963022572591,6.138045624668056,7.164354670040313,3.8006404665284115,9.66395023333124,8.17506120089938,6.134087996678236,3.410756845004656,2.4952764385208615,8.00701701936375,3.890728941524243,6.817281291342367,3.3916283764552815,5.717874532434213,4.674522016459539,8.34883250565303,8.399043105934902,5.475786893757652,7.402653337249954,7.402031004893005,3.8898739939978397,6.372207306652082,5.070838381077353,5.696508694004139,7.946133658077861,7.254595494753392,4.995925551176366,4.924138674294161,10.08778034091336,7.009498131438945,7.762806074510584,3.789396357344793,7.069173375174584,3.428291802355575,9.610055913557524,5.142986257018453,4.414081486850123,5.738214079610487,7.33417471471538,7.317936500954259,7.79307026882594,8.16981710804096,8.03733473733414,4.715685241995009,5.7083083193507935,5.404844503506848,4.0487537883058025,7.281875611972906,5.217559122461424,9.730349195159887,7.66035414624323,5.6004399296315395,6.543072976413804,4.2779053362380255,4.03432116954602,12.879433426887177,7.202797503312832,8.617856596983193,5.189095643393945,6.533258102170521,5.244801798225497,3.5892886319653496,7.278888403712145
ALB,7.397551552654958,0.0,7.132073858712425,5.013099855563126,2.2690745860895483,5.8121430680643815,4.837346464418949,3.792633605973228,5.30869192074061,7.7005014909622425,7.9963285602521506,5.681367045231157,3.598809886580638,7.203203619718699,5.233893502765295,2.671738127612327,3.3943770494363195,4.4172209578510815,4.365055523716945,4.358461315058248,6.352194931327788,3.9715197208758517,5.662228467843134,8.066856963854564,6.007156250018088,5.3640699376677174,3.7430395786845514,5.062547848752834,6.984877831913849,6.821036034337426,8.366333736516998,6.435608107481866,3.947282171822129,6.472018843693539,4.304967731191481,3.252260111168206,5.162105832888749,5.2778592789707055,5.32921148923032,6.630474403664495,4.9183114607448255,3.8022536824129,4.44846742237175,3.5608779271888014,4.806620073757623,4.6429053423767765,5.426884178177592,8.322700943203994,4.5687416398099305,3.8603954322487057,4.75743163105752,5.969365704567411,5.706188891766893,2.849295764427897,5.976626935372791,7.40419393660677,6.332935071733239,7.25141426657359,7.766151164434739,3.6755928811007608,4.729266071457658,4.33578511045087,3.3151082185140957,6.6170372414672824,4.025287253538802,4.872148905810288,5.323440736529817,5.910634662014563,4.134494665851671,6.6461526100540915,4.969560889918909,6.4506842373929585,4.155697702929091,5.634455239137086,4.674030970080022,6.206689918548675,4.222752110099609,5.980004418521604,4.991659538164711,9.107532757941279,7.1685836049771945,6.8603890953462185,4.35626328605576,6.89712729609734,4.498243770536393,7.544031141128621,4.039033361825504,3.6297494195085322,3.6026985836343797,7.646576275108147,4.4256284895099975,4.419983110748435,2.6484590671590187,8.409769943777407,7.355771108189945,3.4842789795886655,4.392188496561092,7.946890832922445,6.578670658846807,3.040687869670286,7.816923688768805,4.251061613589277,5.827904712582081,9.943786858452459,3.766399468622832,5.724268882721408,5.55187054377833,4.770424315498872,5.2897733733023955,8.45203988418809,6.681887376284204,3.856481288319242,4.285886817136663,4.52903188589215,4.216832013308631,4.121379697342573,3.412222189317919,5.998294667432365,7.249262306946052,3.2756154895498018,4.71298814222389,7.089856339786656,7.55801709146397,6.646098299985047,8.354344135453012,7.218132909093009,7.564301251775651,3.847055848876637,2.7443920056872053,7.5571903385449,3.787930662694665,4.256424871649481,4.879305956032915,5.448835102038851,8.27570377656328,10.448170445072819,6.7246825270795,4.69710866975426,4.752099991737373,10.736641203849583,4.774753089098329,3.657323123032969,3.7824166857963486,7.974974063597244,7.926230948585156,7.643371934509171,3.517995525818395,6.3987519807998385,4.472573773278759,4.755159089806693,5.650234887911969,7.142318376619014,9.362113254204763
ARE,8.6233226400163,7.132073858712425,0.0,6.620750097532789,6.265868373476709,3.7623091838448,3.904253482610913,5.437573233204107,4.314649288972482,9.437706377353605,9.711940253190308,7.8257317959533745,4.967838379099685,2.108359294097137,6.305886391588817,5.6453510115338235,5.044192244128691,6.4223444879299025,5.814346158374444,6.5580745251172985,5.096268982242814,6.287641108141621,6.866179039971995,10.905910041819892,3.4049461835506176,3.7254089689905046,4.840657396224766,6.426918757598281,8.523202068385809,8.474958992205528,9.50093551228009,7.796779178201964,6.0153697700418824,9.238455694867298,7.216731239527392,5.614250653052314,5.235278073427188,3.196428006004774,4.601551395644431,8.647089652744208,4.136956206303159,5.5872056873371125,6.1662473763566465,5.484439600366178,6.639876956165203,5.085792472431106,4.261248252222097,10.548676477240633,4.74488140549083,7.046478923015434,5.536518044072566,6.655444291737845,4.835038096058908,5.925949313882874,7.617238710256555,9.44032756548495,8.87311797700696,9.712925929306957,7.538891709915581,5.77675862880452,6.557939068029512,6.200560463663758,5.092762052849631,9.385915877213929,4.738802875025748,6.542315930874061,7.693055782179852,3.102401207785216,5.334669414985201,6.557819869491733,4.997325638467568,4.587336276152902,5.269122135996643,5.61566823090468,4.462956736146247,8.742946956890284,6.188233775769571,7.136043495241621,4.247217683095641,4.015583333559978,9.026401002355636,7.483238806095113,7.526314930184973,8.72690198625024,4.022503338665828,5.459103137667803,5.1938779060644675,6.161836662189199,7.628735892715883,9.471227469155329,6.401129274255032,4.863809073545771,5.634791503794204,9.923443514063234,5.198299191981464,6.424033804296755,4.9163808058555905,9.5666460039886,7.995044770992554,6.702584251358168,9.937267210442839,3.5791223298742914,7.365067028641285,11.404752352383044,6.247781816373564,4.308907586888193,4.060595309380648,8.799927773197094,4.44226030212919,3.641161791906623,8.915598861846016,5.099408417155823,5.3607107127934865,6.324471694289893,4.740489786325447,4.675417853015332,5.632221520239729,7.319145576739071,4.81522467137606,5.224949334153599,5.5586783128007236,9.269437204579607,3.6254932571161604,7.807992200308579,3.3124662279010537,8.623042110473765,9.721316453567315,5.919934250644943,5.463834774995005,9.922896331713991,4.83658699118942,4.2436343833078025,4.879081980444113,8.251248778460727,9.41952530744296,11.04763869084357,8.821391506096267,4.924809820887485,7.58959651380351,11.28463596669665,8.378172347953347,6.01591218980418,5.7586318663576925,9.236096331098762,9.50523706636743,12.6832339038642,6.136241539354516,6.028559978712463,6.010221160092411,5.625567559073696,6.8641624945531525,7.971704766565869,11.3288129547571
ARG,6.842571097538092,5.013099855563126,6.620750097532789,0.0,5.39376277753642,4.110575994691765,4.389792123787898,5.492547512967985,5.071759266132615,7.996402393631299,8.344140804099096,6.051540396183108,4.235068938699701,6.7421896419183565,5.628334414856243,4.5064386014358515,4.63695097227513,5.614156778813607,4.084830264408066,3.181429965329451,7.539084535436077,5.6092885280990545,5.828069190676549,8.728107949170681,4.428940462130028,5.090474131152712,3.0495622265766844,4.541475631596798,7.167393839505703,6.6195234183332365,8.58759828754885,7.397539360657222,3.0140370240424774,7.426130419396042,5.821841792066033,4.429848368455665,5.95580483440933,4.605692710198486,4.038985644642399,8.214434580035107,4.866731978128751,3.5965613742293567,4.230363229900049,3.73276886035753,4.566266537282022,4.03093541305053,5.191035978301733,8.380494048047492,4.174977140576303,6.199983665944313,4.023535147313552,6.934678865177186,4.101895561455178,5.230508977331284,5.9983042004699385,8.29173916271541,6.822801362705692,7.878434965552213,6.864597892097037,4.313958285804682,4.811352143955824,5.133007357210383,4.465666604706867,6.413241379608428,4.3235083520829605,4.925148569976798,5.767667563768395,5.862986644431647,3.2971384328703612,7.224090166184864,5.269730326162254,4.8449185316634145,3.7466313218962535,4.1263758311477385,4.341066203490662,6.670177878981291,5.836008106348415,7.265492210584232,4.401924578507176,7.7322105607466245,6.648919200995089,8.179593595616863,5.137526236182504,7.812871970419696,4.7478990219909365,7.6266828612238164,4.625574589664558,4.438258252165645,5.676399477171806,8.006503512333433,6.424355549144656,3.8238604535194596,4.9415742300285705,8.794728421298439,7.6264516433084015,5.586485983887477,5.440024674852682,8.587053823555888,7.311601089683879,5.890234011686964,7.929666067926327,4.678822239789209,6.600699274812924,9.931393586250566,5.144133357364146,4.95854977097677,5.81654355442464,5.724668774181982,4.009429290525873,7.308623787137799,6.004345649498384,4.956294917405242,3.199565532950971,4.791813888164942,4.241032697063677,4.376383925064399,4.670876885855334,5.740218302073198,7.453922738155156,3.8590361769815757,3.7371359522536736,8.042706738800922,5.706141734193496,6.841503248543224,7.863104212272827,8.076656081126592,8.183305787214204,4.515567559560053,4.380880883007209,7.768545831730996,5.057078031902878,5.2270220769747455,4.413103547140143,7.072166352677915,7.383065503648928,10.552698247291717,7.434192063523356,5.049730910327549,6.460404714574402,11.188115541733294,6.908627831448921,4.361733227819016,2.937782006811434,8.071616324688172,8.043266205802004,9.702021886886483,3.556501008544278,4.439574913275095,4.7381810796267345,6.064982517607018,5.131112880599515,7.2993669712591664,7.872928469104128
ARM,7.145719408583533,2.2690745860895483,6.265868373476709,5.39376277753642,0.0,5.188739652643695,4.374085209914088,4.107289771949688,4.383923150155576,7.509489276518421,7.885102928788656,5.787711521777993,2.9764721396886005,6.402905555893164,4.2567190813260884,2.5152561980970547,3.3204429271152915,4.053934923557272,4.156872967117811,4.2990739664593125,6.158010081563121,4.10029326480782,4.887129824087453,8.184977468395966,5.292623142469942,4.551264881934453,3.6299437033050754,5.158439122010013,6.640285434795684,6.627426772278276,7.802150157803218,6.071646406259969,4.011101523416752,6.489899022527469,3.6651032714077068,2.5378740440825944,4.111000915540367,4.738564466905567,4.984710655037321,5.439259989603326,4.253759696423636,3.4839623230948784,4.337733077778311,3.5383161448368123,4.688731263584643,4.0506938113112545,4.864574022274079,8.53258110100446,4.325393902425069,3.0302952142628246,4.195546213035815,5.537251105898163,5.051945140311397,1.1950374484374922,5.9680535771507826,7.304775925781965,6.0626109481318275,7.333843953848498,7.595456630991419,3.1133487609023094,4.540899189588449,3.826734748637515,2.738483686524377,6.917280576101122,3.747680733498501,5.005527245205022,5.393117831855126,5.347404297989646,3.970676485567482,6.322695387964704,4.302381886477739,5.533308260523376,3.962464611799972,5.389243891124906,3.8616440948992623,5.984178976692442,3.4926388826085817,6.149575548626005,4.84102922486761,8.568643822568104,7.092929422722,6.447774579187435,4.881489128392783,6.477185326796832,3.7794513282327626,6.477645872730901,3.658913945287458,3.4026619905279505,3.991990001558971,7.485822280115748,3.7909002357619004,4.002014009314557,2.188146028697723,8.353857865750903,5.8996410792438665,2.4838725717544126,3.737979461886104,7.628829683649864,6.099415859516673,2.60229373739245,7.902073479524532,3.6959124861652484,5.197625001377801,10.088918992367814,3.6626351225980485,5.009370119879848,5.348832456958036,5.097501551587101,4.726215578606357,7.773314119488376,6.881192843621233,2.5346918761071935,4.362432725350911,4.126589454917101,4.113143045478993,3.4331003582344084,3.0945429775591604,5.354974184428833,7.096940981402727,3.00048504421104,4.550050981549525,6.670299103355429,7.091435352713328,6.379786384026783,7.264685953795405,7.121304030496836,7.54074544511873,3.511755803200533,2.1684430525816034,7.13679485695747,3.182042239799321,3.756013326448901,4.3673468527986845,5.06335870711074,8.236587651367802,10.35918755597651,6.509699203447503,4.579763519207592,4.766498635276347,11.051779985315019,5.150134618467315,3.2697844988053264,3.518804952721205,8.066856552364683,7.860550943547848,8.218105611717625,3.4189305911393792,5.836595126104901,4.171471516094646,4.666473091952611,4.939823507204583,6.435965762857642,9.262925216286867
AUS,7.739891053274593,5.8121430680643815,3.7623091838448,4.110575994691765,5.188739652643695,0.0,2.6580398371512572,5.022887067547989,3.0972195981901365,8.680586793607523,8.951112218426427,6.860769899735506,3.5673220493676694,4.052051595878314,4.858898279169787,4.210919183419132,4.098087486582564,5.518411971223775,4.30602578776985,4.020102816351207,5.676799972481044,5.428159275085279,5.642399187948577,10.096457421835037,1.22343497443678,3.2276232316508278,2.8914140210835777,4.354484687215905,7.764735418547896,7.467008668249095,9.032691613194896,7.561467763741706,3.907348752968579,8.222911636418917,5.717370591720943,3.9297918107871634,4.351387427643866,2.5369435872742487,2.642043316312128,8.18020211378307,2.9296580702012487,4.089126035381555,4.553200271857596,3.895378055386189,5.495146094985247,2.765738526766656,3.651408043345407,9.603224704313616,2.7914010541514442,6.045286714568595,2.9803761311749803,6.669543721871058,2.4295616890399097,4.74629809424464,7.183388021160433,9.042027329612386,7.748363072581047,8.707228302766785,7.008450727294401,3.6703033207828346,5.232439798335502,5.279599013914376,3.5760187377825514,8.26850062202238,3.7168641594344125,5.580624501262774,6.413630222795434,4.134036386825672,3.7144152704085585,6.211685523759457,3.3281668538878044,2.3569500782865256,3.0023694549281785,3.0261369822068698,3.2233332983452074,7.447224480956877,5.57284741141761,7.502178753159016,2.763116477303668,5.1642235041044495,8.143163385542977,7.5318437953075605,6.202214185857402,8.121506944760359,3.3444904697050277,5.597609282001387,3.938409571528332,4.832512522585944,6.2279315120270535,8.704248343595197,5.414589555236821,3.682882745039665,4.709918971799739,9.447112660210957,5.303442821085222,4.962641068230214,4.908645685197511,9.08341441028226,7.5058402864416305,5.767482088806547,8.873679180266684,3.358263244369913,6.718352110807984,10.718545582550892,5.545475137794196,3.051890976595579,3.3496011339702667,7.319826470643998,1.7562951137008749,4.981386446246837,7.503607883911799,4.0053108457471,3.8570424605565647,4.992668746843169,3.413832191933649,3.0435096425454673,4.845508119577971,6.199590325827474,5.44009476948594,3.558203504054318,3.2182509977173637,8.415200802960648,3.4500811846055988,7.102435901796985,5.2079909297310225,8.054558349392108,9.302180641220149,4.566006746005734,4.057113516226163,8.343642589630942,4.104973310072417,3.721242505211286,3.0525548686845028,7.539531547552549,8.7599115924055,10.953967891663588,8.012302414183216,4.2730835778666645,6.964094643063811,10.762492009541718,7.155275545021937,4.6212946115926865,3.97465971339259,8.732536326809127,8.722315751174827,10.728936409063865,3.8509390134462986,3.2465741720367194,4.804039796625509,5.839781289292348,5.375979919291625,7.4962734644476505,10.213089939491272
AUT,7.7965159264175234,4.837346464418949,3.904253482610913,4.389792123787898,4.374085209914088,2.6580398371512572,0.0,4.32962049098377,1.7115123458519135,8.847205838782534,8.764430356129473,7.002570616790427,2.2135225986942606,4.295449679527667,4.135549930995234,2.8962975748127286,3.3020914054147084,4.373878314653483,4.352766705919347,4.3973120299334365,5.078235635261293,4.849143462649618,5.168583427072197,9.836241053248079,2.3916568649746237,2.070957371262461,2.4479681510344466,4.945156623269876,7.919407449995169,7.604901547273937,9.048307544891255,7.1359318048361216,3.9215207505069625,8.010157774577547,4.894865733062624,3.315639048849765,2.8381162300935365,1.4061514927498462,2.008077971342213,7.172335191311387,1.4020003117898598,3.8843946240975504,4.946757306156038,3.606422236799925,5.569136016796611,2.370053435251843,1.7819966170058466,9.887184188529266,1.1978541258194273,5.451602846386505,2.3792700103298263,6.394398031101641,2.2761363323970585,4.037282270289198,7.105274690721386,8.773947631369845,7.790850958269746,8.66329610495149,6.605210237558497,2.6489987805224047,5.176662758930625,4.796433608387949,2.200541931949129,8.080955956524596,1.7700302905650758,5.894360598592715,6.613420389912157,2.379288894082334,4.319521182775481,6.092597056192354,3.1663998976565284,3.1421349034968222,2.1914603873734526,3.3231856291129316,3.6296105139006047,7.4275360267520165,5.0293296666068965,7.116082914568304,2.4469145586163763,5.751233482685829,7.494629178885801,7.292845130804187,5.3870326295906565,7.349981705518818,1.5270207222886465,4.365414516609013,2.0281241079083276,4.3144503967298835,5.083988196144323,8.587595406452829,4.298339967125482,3.698298672396655,3.199252715027073,9.449969315875816,5.0021466704306565,3.8791108130968337,4.773532911908211,8.888640096740641,7.419405383467763,4.351295156439756,8.734463853550755,3.0870602057148813,6.149322639117108,10.873288697814182,4.976236927722634,1.9638581631385241,2.994297578103083,7.019810881774788,2.4490493702373595,5.57494662850749,7.581167869210008,3.54157501334479,3.834432493417679,4.927028308838177,2.1758533666932833,1.924450949093353,4.520786901784029,5.7306416344701665,5.491178454259902,2.3710053318918254,3.738460329541027,8.322639284541195,4.569992591698999,7.1191702425215135,4.786191309405605,7.68339499239296,9.224181718723786,3.98271545030564,2.85866844781588,7.996828908796541,2.2136692097724464,1.911980921159522,1.5760876981791214,6.617398498945837,9.00508027413361,11.117359332622021,7.940146055720915,3.7997993553259857,6.753913254651188,9.908664055515993,6.268624163918417,3.6269293253534687,4.047505453479572,8.95934281014558,8.936304284016808,9.973639771458567,3.3244816163726982,4.358797679402974,5.018673630245263,5.350008456197262,5.026940799323063,7.270309053589808,10.16578299398216
AZE,6.728648012660822,3.792633605973228,5.437573233204107,5.492547512967985,4.107289771949688,5.022887067547989,4.32962049098377,0.0,5.2118954603118075,7.402217077916211,7.399790509923358,5.429894038912761,3.7951067385619934,5.388759902596835,6.017826310905022,3.501360824310813,3.5640486566257557,4.913086103607041,3.421097303643235,4.402260076205957,3.932810274133173,4.08875082971917,5.117260283886263,7.95008673391774,4.911004351481983,4.98481705669567,3.6180707475910068,4.547800395001799,6.505859890882937,6.202897290174255,7.6174130189683025,5.137593270057625,3.923982473105699,6.957379076485867,5.704449367236842,4.11495559122991,5.793818616846734,4.362718436053282,4.651846706499096,7.344914923807772,4.436081134785428,3.3359443296268743,3.6824343967782616,3.249874075952673,4.430419460128836,4.920852718947237,5.098720658955712,8.24156714571371,4.413264458791878,4.753263715263888,4.949690828506606,4.212887979641531,5.305675591026355,4.176554325598259,5.664219547524503,7.007933586074997,6.716759824502305,7.260579008781142,5.909986929773793,4.800865490539914,4.629694888636009,4.281062343704137,3.945266091534502,6.675811179731149,3.9287784745316934,3.9465484146329075,5.048408906341923,4.909069717107147,3.8804492957226264,3.888416466763742,5.407155536848116,5.918938781015743,4.351445079254586,5.380823169440044,3.8024126255863875,6.23206975910111,4.411028213025068,5.188085868840684,4.351593529823869,6.768924509319484,8.647322730449028,5.3880704412391385,4.944990746018792,6.362536505056285,4.342536733043313,7.749060541166255,4.430156641551491,3.7320775323161968,4.774840581400393,7.266781832789202,5.6825970156119325,3.5325753470907135,3.8358637446535937,7.7128180726928885,7.60523084493399,5.28683314715112,3.8693677072372292,7.544195725411797,6.192655364564321,4.473454952882039,7.699723360796671,2.9878184501476746,5.5005771242786565,9.312979860769078,3.974932394956513,5.436171798402831,3.6897523261467216,5.890067956382725,4.9666009405443585,6.189278148492565,6.415228538543089,4.121115459482743,3.4760933787872967,4.1211796774150296,3.775109711524368,4.456522459470483,3.1970280950792884,5.511828666343748,5.229423221163472,3.420705312003855,4.137626302074714,7.280300200604774,5.409136100339172,6.114753301497424,7.285642799764701,6.964036846524734,7.516440565955803,3.90927066420224,3.6559798585734318,8.819080849147449,3.822449758387181,4.198613848002915,4.908281839699051,5.492637363478985,8.664438422607386,9.304122184899644,6.4809473090960426,3.915473881386419,4.555037823546269,8.9563251354616,5.730401179003312,4.048246493262845,4.4707639285580845,7.172487563916025,7.4714258730696,9.548544636086742,4.496021022931179,6.00567827966377,3.8953670229951443,3.8068897767787537,5.049548045607366,6.408914567089124,10.465453473188019
BEL,8.396395599266116,5.30869192074061,4.314649288972482,5.071759266132615,4.383923150155576,3.0972195981901365,1.7115123458519135,5.2118954603118075,0.0,9.32594255522979,9.356960756746904,7.815793406744914,2.3467256426464616,4.539320885056982,3.7611012982073415,3.500766466728489,3.635453103126313,4.980397557412612,5.041039218989284,4.699570495660505,5.635405499884703,5.604519771669947,5.5076243235570495,10.413448885241017,2.9172996324456753,2.181797791179021,3.0994824428855634,5.428553471993939,8.41244484936018,8.210442774577482,9.453662393433724,7.724200234354833,4.618087333544706,8.586768969223924,4.756573741078608,3.4297767884991215,2.22584235725753,2.3349433312349905,2.326028029369034,6.832271740192785,1.2282277635075514,4.510722690684214,5.607539010956602,4.367643819138686,6.431409985119379,2.5063415291258497,2.4411269451761317,10.654380212277966,2.0720342615856473,5.488586311663678,2.211456704614831,6.935227931372159,2.2860679376155733,4.1053056080651515,7.816670348406797,9.33085020086117,8.215216387505185,9.200884522490078,7.364330120043473,2.381634290803144,5.795024253641517,5.318877835897138,2.5976762636323216,8.879613940745843,2.2972760623504516,6.67991893710926,7.214180485483434,3.2034345107326803,4.980609551657373,6.716403509490169,2.9164899741393797,3.150908720043652,2.694890546885461,3.372011188420019,4.253641761611206,7.976491109674897,5.464293945708328,7.8489022854213975,2.8873524484908346,6.339952642817825,7.440286272457987,7.487313121300691,6.374814890654607,7.746801143458625,2.2398175803414775,3.4634242480162145,2.4802516228332903,4.785430581279933,5.352587904775385,9.148285277865327,4.289490147288821,4.178899223721838,3.600788925021143,10.116159604452928,4.237745708644835,3.6723982340148362,5.232376694159857,9.36179580233327,7.891394179691662,4.49298358822729,9.448233687321165,3.663181874024808,6.627443010746942,11.577369197845831,5.578703310672603,1.1481283963435673,3.6793178463814185,7.410710739422093,2.9090292149662607,6.33393580938546,8.331009929737002,3.7203683210706036,4.647267672845091,5.360528334136349,2.8734816474454776,2.4223433507945744,5.151033724834206,5.987640882114462,5.810339293018815,3.131608794790462,4.14735555279593,8.808316168235196,5.439092476631741,7.642574373511498,4.654008756063343,8.278093085255492,9.83196852465875,4.323382369989668,3.1189500713839924,8.00459103183896,2.617759313077204,2.5806365465384613,1.4766555642217127,7.229161993363808,9.644522709624509,11.859503580783521,8.424308284135941,4.332796177696539,7.536698123268428,10.548510143666796,6.803052408509579,4.014903973349122,4.30375257777965,9.74251876216517,9.646662912055964,9.611690324822774,3.448256248554835,4.451381391556085,5.722229635502218,6.051112140996099,5.353842388678492,7.737307643391119,10.690466016832733
BEN,4.253886005240161,7.7005014909622425,9.437706377353605,7.996402393631299,7.509489276518421,8.680586793607523,8.847205838782534,7.402217077916211,9.32594255522979,0.0,2.8616850654523662,4.876577321077424,7.771260296245034,9.161586276706153,8.855799937222612,7.881000644269963,8.263308533617385,6.402516203358723,5.3176384033712845,6.942991964383407,9.624940251277025,6.0553922087424885,6.8026229279012895,3.137257320239966,8.820166564701422,9.163429831232184,8.132073937466517,8.105552140897892,1.4446827070128523,2.1620319237363654,3.7582813617538147,5.336220629227372,6.420319300714211,3.085732645713898,7.047173973686137,7.386738009106834,9.10916518554652,8.46990039335239,9.160132482414667,7.009912973977165,9.081622576067058,6.087903254724399,6.0938971119578715,5.857005506630727,5.579826417932794,8.771791550718104,9.11832116048238,3.300259081910893,9.016586277507356,6.069639705285021,8.711545444792812,6.658248059582624,8.77336180038112,7.3504387901469,3.5286235025916195,2.6197719858660418,2.5697369399701273,2.1450013244558828,6.6888081103031,8.674224173462699,4.485323816849525,4.643207262769189,8.04180240208338,4.504846977121697,8.361053604692918,5.4592230634289205,5.35180405067784,9.218008456258215,7.104984826860014,7.602996178567263,9.232977010098036,8.4298692285387,8.707216060651714,9.449773649221402,7.087577564400263,3.083478147704821,6.081805119364007,4.874607220966126,9.4029018445256,9.90756555304492,9.028490414537387,8.67976935449828,6.81101372071501,5.840429197270718,8.49900313677767,10.89988263911377,8.56499259811619,6.04220735728556,7.513439678659403,2.3550621135084553,7.7608339847438454,6.459244851060417,7.994577342302145,2.3766075530133994,9.742157166242448,8.632560909828456,6.682037548401452,3.2508884140053764,3.7438814376583207,7.759294392187037,3.512417912040206,7.473721564260989,5.27572494813065,3.2477385141744457,4.97357482807622,9.258920710680554,9.340019901917548,4.860508018616237,8.145654566866629,8.857748824647333,3.682883202150212,6.750939540562047,6.192378170493233,5.329703539509502,8.53238912036088,7.873884645522231,5.472327183186992,6.619694843764408,10.235777228291044,7.6447935104458615,8.212711764248818,3.786132155389707,8.667384164870933,2.603206677359935,10.358870381233862,4.369748732539398,2.1700296463663187,5.680728377013385,7.968574151925453,6.58021417179948,8.570418390498636,8.798929742772188,9.288160328230859,6.2686114217013,5.910244253900111,3.7648040261631586,1.6789420569442182,7.111584759174337,5.245433509243223,10.084054535901181,6.919883814731356,6.928132775478346,7.492216868031633,2.8441160057468977,2.621768539548431,12.89806082655839,7.897139647153517,9.001125220240153,5.740394511640692,6.1693828328679094,7.1960237107145275,3.9172879401077587,7.9396150941374355
